Шаран-Туймазы;119;Шаран;60,0476789474487;73,186351776123;Туймазы;59,7044503061395;72,7754761545282;165
Кумертау-Ермолаево;102;Кумертау;62,0444156646729;69,3144878387451;Ермолаево;62,0499105453491;69,2097702026367;165
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;Стерлитамак;62,2137942930468;70,9302315225407;Ясное 2;NULL;NULL;164
Уфа - Суровка;107;Уфа;62,2843813573507;73,0739957909835;Михайловка (в ст. д.Суровка);62,1498184204102;73,1549530029297;163
Нефтекамск - Амзя - 9 км;116-2;Амзя;61,9794998168945;71,3588485717773;Нефтекамск;60,3442287804945;75,6877160702112;154
Уфа - Кушнаренково;258;Кушнаренково;61,5291397094727;73,7307754516602;Уфа;62,2843813573507;73,0739957909835;151
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;150
Уфа - Кушнаренково;258;Кушнаренково;61,5291397094727;73,7307754516602;Граница г. Уфа (Затон);62,107120513916;73,1578521728516;149
Стерлитамак (кол. Рынок) - Наумовка;109;Техникум;62,1675796508789;70,7073135375977;Стерлитамак;62,2137942930468;70,9302315225407;146
Уфа - Лесхоз;108;Сады (обратное);62,1694488525391;70,8558883666992;Уфа;62,2843813573507;73,0739957909835;144
"""Стерлитамак - Сады """"Рощинский""""""";162;Стерлитамак;62,2137942930468;70,9302315225407;п.Рощинский обратное направление;62,2051696777344;71,1448593139648;138
Уфа - Лесхоз;108;п. Дмитриевка;62,0349502563477;73,1816635131836;Уфа;62,2843813573507;73,0739957909835;136
Нефтекамск-Амзя;116;Нефтекамск;60,3442287804945;75,6877160702112;Амзя 1;60,4749298095703;75,9521636962891;129
Кумертау-Мелеуз;101;Кумертау;62,0444156646729;69,3144878387451;Мелеуз;62,2065202985491;69,681296648298;127
Нефтекамск-Зубовка с/о;111;д. Воробьево;60,3569412231445;75,7582015991211;"""С/о """"Зеленая роща""""""";60,3248901367188;75,8167114257813;126
Кумертау-Мелеуз;101;Мелеуз;62,2065202985491;69,681296648298;Кумертау;62,0444156646729;69,3144878387451;122
Стерлитамак - Сады Аэропорт 2;110-2;Стерлитамак;62,2137942930468;70,9302315225407;Сады Аэропорт-2;62,0642509460449;70,7295227050781;121
Салават-Мелеуз;102;Зирган МГ (изОренбурга);62,1685409545898;70,1571502685547;Салават;62,1580488031561;70,4199778238932;114
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;Стерлитамак;62,2137942930468;70,9302315225407;Красноусольский;62,7925933837891;71,4237482706706;107
Октябрьский - Туймазы ч/з Нарышево;106;Туймазы;59,7044503061395;72,7754761545282;Старые Туймазы (в ст. Туймазы АВ);59,6004981994629;72,6756286621094;104
Уфа (Южный автовокзал) - Шипово;124;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;102
"""Стерлитамак - Сады """"Каучук 5/3""""""";157-б;Стерлитамак;62,2137942930468;70,9302315225407;Сады Каучук-5;62,0379219055176;70,8871994018555;102
Нефтекамск АВ - Уфа (Южный автовокзал);588;Уфа;62,2843813573507;73,0739957909835;Нефтекамск;60,3442287804945;75,6877160702112;99
"""Стерлитамак - Сады """"Ильмень""""""";125;Сады (обратное);62,1694488525391;70,8558883666992;Стерлитамак;62,2137942930468;70,9302315225407;99
Уфа (К.Рынок)-Ст.Черкассы;111;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;98
Нефтекамск АВ - Уфа (Южный автовокзал);588;Нефтекамск;60,3442287804945;75,6877160702112;Уфа;62,2843813573507;73,0739957909835;97
"""Стерлитамак - Сады """"Строитель 3""""""";158;сады Строитель 3;59,5618209838867;72,6509780883789;Стерлитамак;62,2137942930468;70,9302315225407;96
"""Уфа - Сады """"Нарат""""""";152;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;91
"""Уфа - Сады """"Нарат""""""";152;Уфа;62,2843813573507;73,0739957909835;Булгаково (в ст. Уфы);62,1613502502441;72,5758438110352;91
"""Стерлитамак - Сады """"Ясное""""""";157;Развилка;62,0911102294922;70,9363327026367;Стерлитамак;62,2137942930468;70,9302315225407;90
"""Стерлитамак - Сады """"Строитель 3""""""";158;Стерлитамак;62,2137942930468;70,9302315225407;сады Строитель 3;59,5618209838867;72,6509780883789;89
"""Стерлитамак - Сады """"Веселое""""""";126;Стерлитамак;62,2137942930468;70,9302315225407;Стерлитамак;62,2137942930468;70,9302315225407;89
Октябрьский - Туймазы ч/з Нарышево;106;Октябрьский;59,4753243965015;72,540652091043;Октябрьский;59,4753243965015;72,540652091043;86
Салават АВ- Стерлитамак АВ;101;Стерлитамак;62,2137942930468;70,9302315225407;Наумовка;62,2061882019043;70,7599411010742;85
Уфа - Лесхоз;108;Уфа;62,2843813573507;73,0739957909835;Сады (обратное);62,1694488525391;70,8558883666992;83
Кумертау-Ермолаево;102;Кумертау;62,0444156646729;69,3144878387451;Кумертау;62,0444156646729;69,3144878387451;82
Октябрьский-Туймазы;106;Туймазы;59,4035186767578;72,3084030151367;Октябрьский;59,4753243965015;72,540652091043;81
Уфа (Южный автовокзал) - Нижегородка;164;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;80
Уфа (ул. Дзержинского) - Аэропорт;101;Уфа;62,2843813573507;73,0739957909835;Металлобаза (в ст. города);62,1713600158691;72,7459030151367;79
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;Ясное 2;NULL;NULL;Стерлитамак;62,2137942930468;70,9302315225407;78
Шаран-Туймазы;119;Туймазы;59,7044503061395;72,7754761545282;с. Тюменяк (в ст. Бирск);59,8119201660156;72,9230194091797;75
