Стерлитамак;62,2137942930468;70,9302315225407;Сады ранний Рассвет;62,0080490112305;70,8541488647461;103,25;60,5;15,978;0
Туймазы;59,7044503061395;72,7754761545282;Шаран;60,0476789474487;73,186351776123;26,113;97,889;47,758;6,795
Уфа;62,2843813573507;73,0739957909835;Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;44,296;62,372;61,118;8,898
д. Воробьево;60,3569412231445;75,7582015991211;"""С/о """"Зеленая роща""""""";60,3248901367188;75,8167114257813;59,5;52,5;54;10,5
Приютово;59,9741080147879;71,4234760829381;Белебей;60,1639169262302;71,8110947147492;53,259;76,196;32,703;7,827
Октябрьский;59,4753243965015;72,540652091043;Октябрьский;59,4753243965015;72,540652091043;32,233;88,991;41,191;7,089
Граница г. Уфа (Затон);62,107120513916;73,1578521728516;д. Вавилово;62,0968284606934;73,1764068603516;70,833;28;68,333;2
Сады (обратное);62,1694488525391;70,8558883666992;Уфа;62,2843813573507;73,0739957909835;115,057;21,508;27,134;5
Амзя;61,9794998168945;71,3588485717773;Нефтекамск;60,3442287804945;75,6877160702112;67,689;58,368;29,947;11,293
Металлобаза (в ст. города);62,1713600158691;72,7459030151367;Уфа;62,2843813573507;73,0739957909835;60,497;43,813;46,673;8,702
Нефтекамск;60,3442287804945;75,6877160702112;Амзя 1;60,4749298095703;75,9521636962891;18,911;62,652;59,281;18,015
Ермолаево;62,0499105453491;69,2097702026367;Кумертау;62,0444156646729;69,3144878387451;73,533;62,829;16,233;3,469
Шаран;60,0476789474487;73,186351776123;Туймазы;59,7044503061395;72,7754761545282;41,202;74,022;39,873;0
Кушнаренково;61,5291397094727;73,7307754516602;Уфа;62,2843813573507;73,0739957909835;72,048;67,096;8,04;5,429
п. Дмитриевка;62,0349502563477;73,1816635131836;Уфа;62,2843813573507;73,0739957909835;116,641;15,778;14,46;4,625
ост. Ташкиново (в ст.города);60,3433303833008;75,5858612060547;Ташкиновский парк;60,3414192199707;75,5736694335938;43,5;32,25;67;0
Ясное 2;NULL;NULL;Стерлитамак;62,2137942930468;70,9302315225407;7,911;68,917;64,604;0
Кушнаренково;61,5291397094727;73,7307754516602;Граница г. Уфа (Затон);62,107120513916;73,1578521728516;57,092;56,145;13,118;14,315
"""Сады """"Нарат""""""";61,8999290466309;72,4119567871094;Уфа;62,2843813573507;73,0739957909835;44,292;7,636;79,95;7
Стерлитамак;62,2137942930468;70,9302315225407;Красноусольский;62,7925933837891;71,4237482706706;18,432;70,041;49,327;0
Белебей;60,1639169262302;71,8110947147492;Приютово;59,9741080147879;71,4234760829381;10,758;69,785;48,096;7,908
Кумертау;62,0444156646729;69,3144878387451;Ермолаево;62,0499105453491;69,2097702026367;34,154;68,697;28,176;2,667
Красноусольский;62,7925933837891;71,4237482706706;Стерлитамак;62,2137942930468;70,9302315225407;42,331;55,089;31,077;4,159
Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;Уфа;62,2843813573507;73,0739957909835;54,754;37,224;29,441;8,364
Уфа;62,2843813573507;73,0739957909835;Сад №4;62,4177207946777;73,3074417114258;12,188;108,156;2,523;0
Зирган МГ (изОренбурга);62,1685409545898;70,1571502685547;Салават;62,1580488031561;70,4199778238932;31,013;59,132;27,276;2,964
Стерлитамак;62,2137942930468;70,9302315225407;Покровка;62,4311790466309;71,3377685546875;12,917;58,581;40,313;6,395
Нефтекамск;60,3442287804945;75,6877160702112;Уфа;62,2843813573507;73,0739957909835;40,746;42,952;20,805;12,56
Туймазы;59,7044503061395;72,7754761545282;Октябрьский;59,4753243965015;72,540652091043;46,333;44,429;11,125;14,846
Уфа;62,2843813573507;73,0739957909835;Сады (обратное);62,1694488525391;70,8558883666992;34,145;27,286;50,377;3,333
п.Рощинский обратное направление;62,2051696777344;71,1448593139648;Стерлитамак;62,2137942930468;70,9302315225407;5,974;51,152;45,267;10
Стерлитамак;62,2137942930468;70,9302315225407;п.Рощинский обратное направление;62,2051696777344;71,1448593139648;56,194;39,95;12,683;3,554
Уфа;62,2843813573507;73,0739957909835;Нефтекамск;60,3442287804945;75,6877160702112;20,443;53,549;26,713;11,463
Уфа;62,2843813573507;73,0739957909835;д. Вавилово;62,0968284606934;73,1764068603516;15,341;73,6;20,807;1,111
Стерлитамак;62,2137942930468;70,9302315225407;Сады Каучук-5;62,0379219055176;70,8871994018555;58,738;40,356;4,045;0
КПМ (в ст. Иванаево);60,950309753418;74,5033493041992;КПМ (в ст. Иванаево);60,950309753418;74,5033493041992;38,25;15,4;46,75;0
Сады УАИ (в ст. Мусино);62,1769104003906;72,3410034179688;Уфа;62,2843813573507;73,0739957909835;17,479;39,095;35,199;8
Стерлитамак;62,2137942930468;70,9302315225407;сады Строитель 3;59,5618209838867;72,6509780883789;56,512;35,674;6,415;0
Нефтекамск;60,3442287804945;75,6877160702112;Краснохолмский;61,1543106079102;75,4824111938477;24,251;46,6;27,144;0
Туймазы;59,7044503061395;72,7754761545282;Старые Туймазы (в ст. Туймазы АВ);59,6004981994629;72,6756286621094;20,437;41,081;29,274;4,731
Уфа;62,2843813573507;73,0739957909835;Туймазы;59,7044503061395;72,7754761545282;18,057;43,492;27,254;6,026
Стерлитамак;62,2137942930468;70,9302315225407;Сады Аэропорт-2;62,0642509460449;70,7295227050781;49,667;36,6;7,475;0
Туймазы;59,7044503061395;72,7754761545282;Уфа;62,2843813573507;73,0739957909835;19,311;37,425;25,68;7,879
Сады (обратное);62,1694488525391;70,8558883666992;Стерлитамак;62,2137942930468;70,9302315225407;7,825;45,012;34,974;2
Мелеуз;62,2065202985491;69,681296648298;Кумертау;62,0444156646729;69,3144878387451;18,926;43;23,133;4,621
Кумертау;62,0444156646729;69,3144878387451;Мелеуз;62,2065202985491;69,681296648298;19,007;40,044;25,111;4,364
сады Строитель 3;59,5618209838867;72,6509780883789;Стерлитамак;62,2137942930468;70,9302315225407;0;37,543;47,822;0
пер. Нижегородка;62,1099700927734;72,7769393920898;Уфа;62,2843813573507;73,0739957909835;61,283;11,681;8,742;3,5
Нефтекамск;60,3442287804945;75,6877160702112;Раздолье;60,4789581298828;75,7915878295898;13,218;36,393;26,724;8,432
Уфа;62,2843813573507;73,0739957909835;Булгаково (в ст. Уфы);62,1613502502441;72,5758438110352;26,933;7,412;48,397;1
п. Зубово 1;62,1678695678711;72,807502746582;Уфа;62,2843813573507;73,0739957909835;53,173;12,086;12,981;3,592
Сады Аэропорт-2;62,0642509460449;70,7295227050781;Стерлитамак;62,2137942930468;70,9302315225407;4,581;29,136;45,889;0
Уфа;62,2843813573507;73,0739957909835;Октябрьский;59,4753243965015;72,540652091043;13,656;42,713;22,238;0
Октябрьский;59,4753243965015;72,540652091043;Уфа;62,2843813573507;73,0739957909835;20,886;35,989;17,246;3
Шипово;62,571891784668;72,6846313476563;Уфа;62,2843813573507;73,0739957909835;2,733;37,699;24,517;11,5
Сады Каучук-5;62,0379219055176;70,8871994018555;Стерлитамак;62,2137942930468;70,9302315225407;2,294;30,045;43,929;0
Уфа;62,2843813573507;73,0739957909835;"""Сады """"Нарат""""""";61,8999290466309;72,4119567871094;40,75;0;26,174;8
Уфа;62,2843813573507;73,0739957909835;Шипово;62,571891784668;72,6846313476563;36,108;21,625;13,864;0
Краснохолмский;61,1543106079102;75,4824111938477;Нефтекамск;60,3442287804945;75,6877160702112;23,378;25,519;22,154;0
Амзя 1;60,4749298095703;75,9521636962891;Нефтекамск;60,3442287804945;75,6877160702112;31,676;25,895;10,421;3
Дюртюли;60,9999590421978;74,4713568436472;Уфа;62,2843813573507;73,0739957909835;22,098;22,976;21,724;3,429
Уфа;62,2843813573507;73,0739957909835;Михайловка (в ст. д.Суровка);62,1498184204102;73,1549530029297;25,778;28,733;13,083;2,5
