М 250 Стерлитамак АВ - Красноармейский;>;07:27:16.8400000;М 250 Стерлитамак АВ - Красноармейский;49,6;<;0;07:25:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;>;15:02:23.6833333;М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;54,7;<;0;15:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
М 809 Уфа (Южный АВ) - Шаран ч/з Чекмагуш;<;19:41:06.0266667;М 809 Уфа (Южный АВ) - Шаран ч/з Чекмагуш;52,5;>;0;19:30:00.0000000;ВС;NULL;NULL;NULL;Круглогодично
М 924 Аскарово - Белорецк;>;19:33:25.3266667;М 924 Аскарово - Белорецк;45,8;<;0;19:30:00.0000000;ВС;NULL;NULL;NULL;Круглогодично
МН Стерлитамак - Раевка;<;11:09:59.4066667;МН Стерлитамак - Раевка;48,6;>;0;11:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
МН Стерлитамак - Раевка;>;11:08:59.4433333;МН Стерлитамак - Раевка;48,6;<;0;11:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;07:01:07.3266667;П 101 И Салават - Ишимбай;43;>;0;07:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;07:51:07.3266667;П 101 И Салават - Ишимбай;43;>;0;07:40:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;08:11:07.3266667;П 101 И Салават - Ишимбай;43;>;0;08:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;08:31:07.3266667;П 101 И Салават - Ишимбай;43;>;0;08:20:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;14:31:07.3266667;П 101 И Салават - Ишимбай;43;>;0;14:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;16:01:07.3266667;П 101 И Салават - Ишимбай;43;>;0;16:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;07:50:49.9966667;П 101 И Салават - Ишимбай;43;<;0;07:40:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;08:10:49.9966667;П 101 И Салават - Ишимбай;43;<;0;08:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;08:30:49.9966667;П 101 И Салават - Ишимбай;43;<;0;08:20:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;08:50:49.9966667;П 101 И Салават - Ишимбай;43;<;0;08:40:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;09:10:49.9966667;П 101 И Салават - Ишимбай;43;<;0;09:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;16:00:49.9966667;П 101 И Салават - Ишимбай;43;<;0;16:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;>;17:00:49.9966667;П 101 И Салават - Ишимбай;43;<;0;16:50:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Кумертау - Мелеуз;<;20:11:59.7200000;П 101 Кумертау - Мелеуз;43;>;0;20:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Кумертау - Мелеуз;>;20:11:59.7200000;П 101 Кумертау - Мелеуз;43;<;0;20:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;06:59:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;06:47:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;06:59:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;06:59:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;10:24:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;10:12:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;<;15:20:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;>;0;15:16:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
П 101 Нефтекамск - Николо-Березовка;>;06:59:15.5033333;П 101 Нефтекамск - Николо-Березовка;43;<;0;06:47:00.0000000;ПН-ПТ;NULL;NULL;NULL;Круглогодично
М 201 Стерлитамак - Кабакуш;>;20:02:38.7966667;М 201 Стерлитамак - Кабакуш;52,4;<;0;20:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
М 618 Бакалы - Октябрьский;>;21:34:40.1066667;М 618 Бакалы - Октябрьский;43,4;<;0;21:15:00.0000000;ВС;NULL;NULL;NULL;Круглогодично
М 809 Уфа (Южный АВ) - Шаран ч/з Чекмагуш;<;18:11:06.0266667;М 809 Уфа (Южный АВ) - Шаран ч/з Чекмагуш;52,5;>;0;18:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;10:31:07.3266667;П 101 И Салават - Ишимбай;43;>;0;10:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;11:31:07.3266667;П 101 И Салават - Ишимбай;43;>;0;11:30:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
П 101 И Салават - Ишимбай;<;12:01:07.3266667;П 101 И Салават - Ишимбай;43;>;0;12:00:00.0000000;ПН-ВС;NULL;NULL;NULL;Круглогодично
