Белебей;60,1639169262302;71,8110947147492;Приютово;59,9741080147879;71,4234760829381;136
Кушнаренково;61,5291397094727;73,7307754516602;Уфа;62,2843813573507;73,0739957909835;135
д. Воробьево;60,3569412231445;75,7582015991211;"""С/о """"Зеленая роща""""""";60,3248901367188;75,8167114257813;135
Раздолье;60,4789581298828;75,7915878295898;Профилакторий;60,5364418029785;75,8215713500977;134
Стерлитамак;62,2137942930468;70,9302315225407;Красноусольский;62,7925933837891;71,4237482706706;133
Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;Уфа;62,2843813573507;73,0739957909835;128
Нефтекамск;60,3442287804945;75,6877160702112;Профилакторий;60,5364418029785;75,8215713500977;126
Красноусольский;62,7925933837891;71,4237482706706;Стерлитамак;62,2137942930468;70,9302315225407;124
Кумертау;62,0444156646729;69,3144878387451;Ермолаево;62,0499105453491;69,2097702026367;124
"""Сады """"Нарат""""""";61,8999290466309;72,4119567871094;Уфа;62,2843813573507;73,0739957909835;120
Зирган МГ (изОренбурга);62,1685409545898;70,1571502685547;Салават;62,1580488031561;70,4199778238932;119
Стерлитамак;62,2137942930468;70,9302315225407;Покровка;62,4311790466309;71,3377685546875;113
Уфа;62,2843813573507;73,0739957909835;Нефтекамск;60,3442287804945;75,6877160702112;112
Уфа;62,2843813573507;73,0739957909835;Сады (обратное);62,1694488525391;70,8558883666992;109
Нефтекамск;60,3442287804945;75,6877160702112;Уфа;62,2843813573507;73,0739957909835;108
Уфа;62,2843813573507;73,0739957909835;Сад №4;62,4177207946777;73,3074417114258;106
п.Рощинский обратное направление;62,2051696777344;71,1448593139648;Стерлитамак;62,2137942930468;70,9302315225407;97
Стерлитамак;62,2137942930468;70,9302315225407;Сады Каучук-5;62,0379219055176;70,8871994018555;95
Уфа;62,2843813573507;73,0739957909835;Туймазы;59,7044503061395;72,7754761545282;94
Туймазы;59,7044503061395;72,7754761545282;Старые Туймазы (в ст. Туймазы АВ);59,6004981994629;72,6756286621094;94
Стерлитамак;62,2137942930468;70,9302315225407;сады Строитель 3;59,5618209838867;72,6509780883789;94
Затон КПМ (межгород);62,1130905151367;73,1513366699219;Затон КПМ (межгород);62,1130905151367;73,1513366699219;91
Стерлитамак;62,2137942930468;70,9302315225407;Сады Аэропорт-2;62,0642509460449;70,7295227050781;90
Стерлитамак;62,2137942930468;70,9302315225407;п.Рощинский обратное направление;62,2051696777344;71,1448593139648;90
Мелеуз;62,2065202985491;69,681296648298;Кумертау;62,0444156646729;69,3144878387451;89
Нефтекамск;60,3442287804945;75,6877160702112;Краснохолмский;61,1543106079102;75,4824111938477;88
Кумертау;62,0444156646729;69,3144878387451;Мелеуз;62,2065202985491;69,681296648298;88
