126;"Стерлитамак - Сады ""Веселое""";15,5137383374694
125;"Стерлитамак - Сады ""Ильмень""";11
157-б;"Стерлитамак - Сады ""Каучук 5/3""";15,6138775351896
109;"Стерлитамак - Сады ""Майские""";13,5977218528813
159;"Стерлитамак - Сады ""Подлесное""";29,0275437586027
162;"Стерлитамак - Сады ""Рощинский""";7,77246442973446
132;"Стерлитамак - Сады ""Сосновка""";9,76628280156537
158;"Стерлитамак - Сады ""Строитель 3""";5,59999990463257
157-2;"Стерлитамак - Сады ""Ясное 2""";15,1228667364547
157;"Стерлитамак - Сады ""Ясное""";13,9266152201447
126;"Уфа - П/т ""Автомобилист""";31,11809497725
109;"Уфа - с/х ""Шемяк""";26,8641899472784
123;"Уфа - Сады ""Лесная поляна""";21,9293544457978
152;"Уфа - Сады ""Нарат""";55,9792855798621
111 к;"Уфа - Сады ""Факел""";28,7499697747564
135;"Уфа фирма МИР - Сады ""Демские""";21,9129852744311
120;Агидель-Нефтекамск;35,1714892208502
924;Аскарово- Белорецк;40,6383770711158
844;Аскарово- Сибай;76,0369521653844
939;Баймак - Акъяр ч/з Юлдыбаево;48,5329525483304
618;Бакалы - Октябрьский;72,6353529899737
629;Бакалы - Туймазы;59,0103327761067
633;Белебей - Туймазы;58,8699212737298
530Р;Белебей - Уфа;154,026496130829
132;Белебей-М.Москва;40,5337591947348
101;Белебей-Приютово;28,7820473918815
117;Белебей-Суккулово;32,4458823529412
109;Белорецк- Миндяк;36,4034310384004
645;Бижбуляк - Белебей;60,0280696817324
560;Бижбуляк - Уфа ч/з Аксеново;208,523640937011
535;Бирск - Уфа ч/з Зап. развилку;89,8173814041746
127;Бирск-Баймурзино;22,6284153005464
120;Бирск-Мишкино;28,0495004164987
110;В. Яркеево-Дюртюли;27,0259375739516
762;Верхнеяркеево - Нефтекамск;89,157636549579
917;Верхнеяркеево - Туймазы;93,4070414660267
536;Дюртюли - Уфа;107,556418294034
107;Дюртюли- Базитамак;23,2247360482655
115;Дюртюли-Бирск (переправа);40,4366984074711
611;Исянгулово - Уфа;131,42020980687
102;Ишимбай - Стерлитамак;30,7498265343192
653;Караидель - Бирск;74,0729214130968
968;Караидель - Нефтекамск;182,526576717083
102;Кумертау-Ермолаево;13
105;Кумертау-Кинзебаево;32,4766636712929
101;Кумертау-Мелеуз;24,9200520615468
110;Кумертау-Михайловка;40,3979399010316
118;Кумертау-Мраково;58,3372468182054
116;Кутлугуза-Стерлитамак;51,2449530516432
581;Мелеуз - Уфа;150,040170697049
225;Мелеуз-Мраково;55,7304521599828
229;Мелеуз-Федоровка;42,3666224193673
241;Мелеуз-Юмагузино;37,4899964386362
116-2;Нефтекамск - Амзя - 9 км;13,506057842205
671;Нефтекамск - Бирск;94,2247317068073
675;Нефтекамск - В. Татышлы - Ст. Балтачево;54,7892156862745
112 э;Нефтекамск - Карманово;24,0614904156795
106;Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;35,363553548796
588;Нефтекамск АВ - Уфа (Южный автовокзал);148,964629027103
116;Нефтекамск-Амзя;18,5669926569857
111;Нефтекамск-Зубовка с/о;9,08388059627564
113;Нефтекамск-Калтасы;24,428635517183
112;Нефтекамск-Кармановская ГРЭС;16,8615524583091
132;Нефтекамск-Карякино;9,69999980926514
115;Нефтекамск-Красный Холм;37,1865627224799
102;Нефтекамск-Куяново;33,0300627537277
110;Нефтекамск-Саузбашево;32,3391045820217
108;Нефтекамск-Ст.Уразаево с/о;10,192490289167
114;Нефтекамск-Янаул;41,1281044725341
619;Октябрьский - Белебей;67,9879226845513
621;Октябрьский - Ермекеево;41,7800926398379
626;Октябрьский - Нефтекамск;171,170332408635
822;Октябрьский - Стерлитамак через Туймазы;132,667527607707
106;Октябрьский - Туймазы ч/з Нарышево;21,2675215566198
600;Октябрьский - Уфа экспресс;166,236033083645
12;Октябрьский- Серафимовский;28,7310002644857
106;Октябрьский-Туймазы;18,2164693297571
113;Октябрьский-Шахово;29,5672597864769
116;Петровск (Петровское)-Стерлитамак;37,9824468085106
103;Петровск-Макарово-Стерлитамак;34,4313904068002
717;Приютово - Октябрьский;49,8616039815029
623;Приютово - Стерлитамак;98,9059931947629
130;Русский Юрмаш - Уфа (Южный автовокзал);23,6178712969
741;Саит-Баба-Уфа;110,604917857191
101;Салават АВ- Стерлитамак АВ;28,6989260531038
101 и;Салават-Ишимбай;16,2799468518202
102;Салават-Мелеуз;37,7907070490306
106;Салават-Сухаревка;16,1949860724234
552С;сан. Красноусольск - Уфа;132,379969008304
282 к;сан. Красноусольск-Стерлитамак ч/з рынок;60,0376468260753
105;Семилетка-В.Яркеево;34,3558369658232
750;Сибай - Акъяр ч/з Подольск;76,0248119373535
738;Сибай - Кумертау;120,269706488244
918;Сибай - Стерлитамак;137,652889503336
113;Сибай-Баймак;36,2308861872167
522;Сибай-Исяново;64,9079996744792
114;Сибай-Кусеево;28,9608375086676
281;Стерлитамак - Золотоношка;39,4856575618124
122;Стерлитамак - Кармаскалы;16,1824291672866
298;Стерлитамак - Максимовка - Алга;40,9735513525733
106;Стерлитамак - Мебельный;23,6964856230032
290;Стерлитамак - Наумкино;24,8934763344846
111;Стерлитамак - с/х Рощинский;5,84348327336186
110-2;Стерлитамак - Сады Аэропорт 2;24,9422222156446
115;Стерлитамак - Семенкино;19,5015951933514
117;Стерлитамак - Шеверли;25,5909139270135
119;Стерлитамак - Янгискаин;38,4691488488503
109;Стерлитамак (кол. Рынок) - Наумовка;14,0502463672155
113;Стерлитамак АВ - Талачево;16,1004937820044
