200004;54;0;NULL;NULL;Салават - Уфа Южный АВ  551;551;4
200005;54;0;NULL;NULL;Салават - Уфа Южный АВ  551и 177км;551и 177км;15
200006;54;0;NULL;NULL;Уфа Южный АВ - Салават  5512;5512;8
200007;54;0;NULL;NULL;Уфа Южный АВ - Салават  551и 177км;551и 177км;11
200008;54;0;NULL;NULL;Уфа Южный АВ - Салават  551ис;551ис;6
200009;54;0;NULL;NULL;Уфа Южный АВ - Салават  551ис 15г.;551ис 15г.;7
200025;54;2;10;3519;Салават-Уфа;551;15
