Уфа АЦ ВАЗ-Аэропорт;110;1248.700000000000;30.340000;1220.500000000000;29.660000;1201.100000000000;29.190000;444.900000000000;10.810000;4115.200000000000
Уфа (ул. Дзержинского) - Аэропорт;101;1181.700000000000;32.810000;1196.800000000000;33.230000;1113.500000000000;30.920000;109.200000000000;3.030000;3601.200000000000
Октябрьский - Туймазы ч/з Нарышево;106;685.700000000000;24.790000;1290.800000000000;46.660000;733.600000000000;26.520000;56.100000000000;2.030000;2766.200000000000
Салават АВ- Стерлитамак АВ;101;463.400000000000;19.730000;1102.700000000000;46.960000;644.700000000000;27.450000;137.500000000000;5.860000;2348.300000000000
Уфа - Лесхоз;108;665.300000000000;47.790000;282.100000000000;20.270000;430.800000000000;30.950000;13.800000000000;0.990000;1392.000000000000
Салават-Мелеуз;102;249.900000000000;20.530000;560.500000000000;46.050000;350.100000000000;28.760000;56.700000000000;4.660000;1217.200000000000
Нефтекамск-Янаул;114;298.100000000000;25.240000;564.700000000000;47.810000;281.800000000000;23.860000;36.600000000000;3.100000;1181.200000000000
Ишимбай - Стерлитамак;102;239.700000000000;20.660000;570.400000000000;49.160000;313.300000000000;27.000000;37.000000000000;3.190000;1160.400000000000
Уфа Южный АВ - Мусино;120;277.666666666662;27.330000;461.166666666658;45.400000;276.999999999995;27.270000;0.000000000000;0.000000;1015.833333333315
"""Стерлитамак - Сады """"Ясное""""""";157;323.800000000000;33.620000;314.000000000000;32.610000;325.200000000000;33.770000;0.000000000000;0.000000;963.000000000000
Нефтекамск-Кармановская ГРЭС;112;186.100000000000;21.400000;305.500000000000;35.130000;254.900000000000;29.310000;123.200000000000;14.170000;869.700000000000
Салават-Ишимбай;101 и;258.900000000000;30.030000;322.700000000000;37.430000;262.700000000000;30.470000;17.900000000000;2.080000;862.200000000000
Уфа - Кушнаренково;258;229.100000000000;29.680000;358.200000000000;46.410000;168.900000000000;21.880000;15.600000000000;2.020000;771.800000000000
Белебей-Приютово;101;143.700000000000;20.600000;326.200000000000;46.770000;182.700000000000;26.190000;44.900000000000;6.440000;697.500000000000
Нефтекамск - Амзя - 9 км;116-2;246.900000000000;35.520000;223.700000000000;32.180000;177.000000000000;25.460000;47.500000000000;6.830000;695.100000000000
Шаран-Туймазы;119;122.900000000000;18.550000;346.500000000000;52.290000;177.000000000000;26.710000;16.200000000000;2.440000;662.600000000000
Агидель-Нефтекамск;120;151.000000000000;25.630000;262.000000000000;44.470000;128.900000000000;21.880000;47.300000000000;8.030000;589.200000000000
Сибай-Баймак;113;93.300000000000;16.270000;308.100000000000;53.730000;158.100000000000;27.570000;13.900000000000;2.420000;573.400000000000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;274.800000000000;49.240000;121.700000000000;21.810000;127.600000000000;22.860000;34.000000000000;6.090000;558.100000000000
Стерлитамак (кол. Рынок) - Наумовка;109;137.800000000000;25.760000;227.600000000000;42.550000;147.000000000000;27.480000;22.500000000000;4.210000;534.900000000000
Нефтекамск АВ - Уфа (Южный автовокзал);588;90.100000000000;19.630000;221.100000000000;48.180000;122.100000000000;26.610000;25.600000000000;5.580000;458.900000000000
Кумертау-Ермолаево;102;157.100000000000;35.960000;185.100000000000;42.370000;92.600000000000;21.190000;2.100000000000;0.480000;436.900000000000
Нефтекамск-Калтасы;113;109.600000000000;27.080000;220.200000000000;54.400000;75.000000000000;18.530000;0.000000000000;0.000000;404.800000000000
Туймазы- Октябрьский- Серафимовский;2;40.700000000000;10.080000;185.400000000000;45.910000;152.000000000000;37.640000;25.700000000000;6.360000;403.800000000000
Стерлитамак - с/х Рощинский;111;86.900000000000;25.860000;141.200000000000;42.010000;92.400000000000;27.490000;15.600000000000;4.640000;336.100000000000
Октябрьский-Туймазы;106;78.100000000000;24.510000;146.200000000000;45.870000;85.500000000000;26.830000;8.900000000000;2.790000;318.700000000000
Уфа (Южный автовокзал) - Шипово;124;122.300000000000;38.680000;102.100000000000;32.290000;85.500000000000;27.040000;6.300000000000;1.990000;316.200000000000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;170.400000000000;55.000000;82.500000000000;26.630000;56.800000000000;18.330000;0.100000000000;0.030000;309.800000000000
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;124.000000000000;41.860000;117.400000000000;39.640000;54.800000000000;18.500000;0.000000000000;0.000000;296.200000000000
"""Уфа - Сады """"Нарат""""""";152;139.000000000000;47.600000;16.000000000000;5.480000;137.000000000000;46.920000;0.000000000000;0.000000;292.000000000000
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;52.700000000000;18.190000;150.900000000000;52.090000;85.300000000000;29.440000;0.800000000000;0.280000;289.700000000000
Кумертау-Мелеуз;101;68.500000000000;23.810000;133.400000000000;46.370000;75.600000000000;26.280000;10.200000000000;3.550000;287.700000000000
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;117.800000000000;48.040000;60.200000000000;24.550000;67.200000000000;27.410000;0.000000000000;0.000000;245.200000000000
Нефтекамск-Амзя;116;28.900000000000;11.820000;108.500000000000;44.380000;85.600000000000;35.010000;21.500000000000;8.790000;244.500000000000
Уфа - Суровка;107;69.000000000000;29.610000;113.000000000000;48.500000;50.000000000000;21.460000;1.000000000000;0.430000;233.000000000000
"""Стерлитамак - Сады """"Ильмень""""""";125;46.000000000000;19.970000;134.600000000000;58.420000;49.800000000000;21.610000;0.000000000000;0.000000;230.400000000000
Уфа (Северный автовокзал)- Тикеево;139;68.400000000000;29.820000;58.400000000000;25.460000;80.800000000000;35.220000;21.800000000000;9.500000;229.400000000000
