Уфа АЦ ВАЗ-Аэропорт;110;3580.750000000000
Уфа (ул. Дзержинского) - Аэропорт;101;3110.000000000000
Октябрьский - Туймазы ч/з Нарышево;106;2497.250000000000
Салават АВ- Стерлитамак АВ;101;2234.000000000000
Уфа - Лесхоз;108;1233.333333333318
Нефтекамск-Янаул;114;1213.000000000000
Салават-Мелеуз;102;1142.250000000000
"""Стерлитамак - Сады """"Ясное""""""";157;1049.500000000000
Ишимбай - Стерлитамак;102;980.000000000000
Нефтекамск-Кармановская ГРЭС;112;947.750000000000
Уфа - Кушнаренково;258;694.750000000000
Салават-Ишимбай;101 и;640.000000000000
Нефтекамск - Амзя - 9 км;116-2;627.250000000000
Белебей-Приютово;101;625.750000000000
Шаран-Туймазы;119;618.250000000000
Сибай-Баймак;113;564.250000000000
Агидель-Нефтекамск;120;551.250000000000
Стерлитамак (кол. Рынок) - Наумовка;109;498.250000000000
Нефтекамск АВ - Уфа (Южный автовокзал);588;475.000000000000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;404.750000000000
Уфа Южный АВ - Мусино;120;400.999999999981
Нефтекамск-Калтасы;113;370.500000000000
Кумертау-Ермолаево;102;342.000000000000
Туймазы- Октябрьский- Серафимовский;2;308.750000000000
Стерлитамак - с/х Рощинский;111;301.000000000000
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;300.500000000000
Кумертау-Мелеуз;101;293.500000000000
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;277.500000000000
Октябрьский-Туймазы;106;275.000000000000
Уфа (Южный автовокзал) - Шипово;124;256.999999999977
Уфа (Северный автовокзал)- Тикеево;139;243.000000000000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;243.000000000000
"""Уфа - Сады """"Нарат""""""";152;238.000000000000
"""Стерлитамак - Сады """"Каучук 5/3""""""";157-б;236.000000000000
Нефтекамск-Зубовка с/о;111;219.500000000000
"""Стерлитамак - Сады """"Рощинский""""""";162;209.500000000000
Нефтекамск-Ст. Буртюк;105а;205.500000000000
Уфа - Янаул ч/з зап. Развилку;584;205.000000000000
Нефтекамск-Амзя;116;205.000000000000
Уфа (К.Рынок)-Ст.Черкассы;111;201.500000000000
Чишмы-Уфа;151;198.500000000000
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;190.000000000000
Уфа (Южный автовокзал) - Нижегородка;164;188.333333333329
"""Стерлитамак - Сады """"Строитель 3""""""";158;187.000000000000
Стерлитамак - Сады Аэропорт 2;110-2;178.500000000000
"""Стерлитамак - Сады """"Ильмень""""""";125;173.500000000000
Уфа - Караидель ч/з Благовещенск;577;172.500000000000
Уфа - Суровка;107;163.000000000000
Туймазы - НижнеЗаитово;108;162.750000000000
Бакалы - Октябрьский;618;160.000000000000
Уфа - Кумлекулево;113;154.999999999985
Уфа - Октябрьский через Туймазы;600 Т;152.000000000000
Нефтекамск-Красный Холм;115;146.500000000000
Чекмагуш-Дюртюли;202;142.500000000000
Туймазы - Уфа;590;140.250000000000
Нефтекамск - Бирск;671;136.000000000000
Уфа - Агидель;586;133.500000000000
Стерлитамак - Шеверли;117;129.250000000000
"""Стерлитамак - Сады """"Веселое""""""";126;129.000000000000
Мелеуз-Федоровка;229;126.750000000000
Приютово - Октябрьский;717;123.750000000000
Уфа - Сибай;798;119.000000000000
Бирск - Уфа ч/з Зап. развилку;535;118.750000000000
сан. Красноусольск - Уфа;552С;116.000000000000
Стерлитамак - Максимовка - Алга;298;116.000000000000
Октябрьский - Стерлитамак через Туймазы;822;114.500000000000
Уфа - В. Татышлы;547;114.250000000000
Федоровка АС- Салават АВ;500;113.250000000000
Стерлитамак - Золотоношка;281;106.000000000000
Уфа - Кумертау;591;106.000000000000
Уфа (Южный автовокзал) - Таптыково;164 Т;103.250000000000
Стерлитамак - Мебельный;106;102.750000000000
Октябрьский - Уфа экспресс;600;95.500000000000
Стерлитамак АВ-сан. Красноусольский;282;94.000000000000
"""Стерлитамак - Сады """"Майские""""""";109;93.500000000000
Янаул - Октябрьский;744;93.500000000000
Стерлитамак - Янгискаин;119;93.000000000000
Стерлитамак АВ - Талачево;113;90.750000000000
Сибай-Кусеево;114;89.750000000000
Уфа - Аскино ч/з Благовещенск;567;84.250000000000
"""Уфа фирма МИР - Сады """"Демские""""""";135;80.000000000000
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;77.000000000000
Уфа - Мишкино ч/з Зап. развилку;557;74.750000000000
Петровск-Макарово-Стерлитамак;103;70.250000000000
