Салават-Мелеуз;102;Салават;62,1580488031561;70,4199778238932;Зирган МГ (изОренбурга);62,1685409545898;70,1571502685547;198.250000000000;225.777777777776;-27.527777777776;-12.190000
Нефтекамск-Кармановская ГРЭС;112;Нефтекамск;60,3442287804945;75,6877160702112;Карманово;60,6490783691406;75,9502487182617;195.250000000000;165.444444444442;29.805555555558;18.020000
Нефтекамск-Янаул;114;Нефтекамск;60,3442287804945;75,6877160702112;Янаул;61,0832973827015;76,021052273837;192.500000000000;207.333333333333;-14.833333333333;-7.150000
Агидель-Нефтекамск;120;Нефтекамск;60,3442287804945;75,6877160702112;Агидель;60,0021919250488;75,3203796386719;185.250000000000;184.111111111110;1.138888888890;0.620000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;185.000000000000;206.222222222220;-21.222222222220;-10.290000
Уфа (Южный автовокзал) - Шипово;124;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;182.999999999992;102.250000000000;80.749999999992;78.970000
Уфа - Кушнаренково;258;Кушнаренково;61,5291397094727;73,7307754516602;Уфа;62,2843813573507;73,0739957909835;182.000000000000;150.999999999998;31.000000000002;20.530000
Туймазы- Октябрьский- Серафимовский;2;Туймазы;59,7044503061395;72,7754761545282;Серафимовский;59,7897135416667;72,4846954345703;181.250000000000;205.666666666666;-24.416666666666;-11.870000
Уфа - Кушнаренково;258;Кушнаренково;61,5291397094727;73,7307754516602;Граница г. Уфа (Затон);62,107120513916;73,1578521728516;181.000000000000;149.444444444443;31.555555555557;21.120000
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Приютово;59,9741080147879;71,4234760829381;168.000000000000;184.999999999998;-16.999999999998;-9.190000
Уфа - Суровка;107;Уфа;62,2843813573507;73,0739957909835;Михайловка (в ст. д.Суровка);62,1498184204102;73,1549530029297;163.000000000000;163.000000000000;0.000000000000;0.000000
Нефтекамск-Кармановская ГРЭС;112;Нефтекамск;60,3442287804945;75,6877160702112;Раздолье;60,4789581298828;75,7915878295898;153.750000000000;74.555555555554;79.194444444446;106.220000
Шаран-Туймазы;119;Туймазы;59,7044503061395;72,7754761545282;Шаран;60,0476789474487;73,186351776123;151.500000000000;169.777777777775;-18.277777777775;-10.770000
Нефтекамск-Кармановская ГРЭС;112;Раздолье;60,4789581298828;75,7915878295898;Раздолье;60,4789581298828;75,7915878295898;143.750000000000;64.111111111110;79.638888888890;124.220000
Нефтекамск-Кармановская ГРЭС;112;Нефтекамск;60,3442287804945;75,6877160702112;Профилакторий;60,5364418029785;75,8215713500977;143.750000000000;64.111111111110;79.638888888890;124.220000
Нефтекамск-Кармановская ГРЭС;112;Раздолье;60,4789581298828;75,7915878295898;Профилакторий;60,5364418029785;75,8215713500977;143.750000000000;64.222222222221;79.527777777779;123.830000
Нефтекамск - Амзя - 9 км;116-2;Амзя;61,9794998168945;71,3588485717773;Нефтекамск;60,3442287804945;75,6877160702112;143.000000000000;154.444444444443;-11.444444444443;-7.410000
Стерлитамак (кол. Рынок) - Наумовка;109;Стерлитамак;62,2137942930468;70,9302315225407;Наумовка;62,2061882019043;70,7599411010742;142.500000000000;182.111111111108;-39.611111111108;-21.750000
"""Стерлитамак - Сады """"Рощинский""""""";162;Стерлитамак;62,2137942930468;70,9302315225407;п.Рощинский обратное направление;62,2051696777344;71,1448593139648;137.500000000000;137.500000000000;0.000000000000;0.000000
Кумертау-Ермолаево;102;Ермолаево;62,0499105453491;69,2097702026367;Кумертау;62,0444156646729;69,3144878387451;136.500000000000;178.888888888887;-42.388888888887;-23.700000
Чишмы-Уфа;151;"""Кафе """"Отдых""""""";62,1901092529297;72,8301467895508;п. Зубово 1;62,1678695678711;72,807502746582;136.500000000000;60.666666666665;75.833333333335;125.000000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;Алексеевка 1 (115 м-т);62,2561187744141;73,1938400268555;135.000000000000;59.999999999998;75.000000000002;125.000000
Нефтекамск-Амзя;116;Нефтекамск;60,3442287804945;75,6877160702112;Амзя 1;60,4749298095703;75,9521636962891;129.500000000000;128.999999999999;0.500000000001;0.390000
Кумертау-Ермолаево;102;Кумертау;62,0444156646729;69,3144878387451;Ермолаево;62,0499105453491;69,2097702026367;127.500000000000;164.555555555554;-37.055555555554;-22.520000
Нефтекамск-Зубовка с/о;111;д. Воробьево;60,3569412231445;75,7582015991211;"""С/о """"Зеленая роща""""""";60,3248901367188;75,8167114257813;125.500000000000;125.500000000000;0.000000000000;0.000000
Уфа (Южный автовокзал) - Б.Славы - Авдон;122;Уфа;62,2843813573507;73,0739957909835;Уфа;62,2843813573507;73,0739957909835;121.750000000000;150.222222222221;-28.472222222221;-18.950000
Нефтекамск АВ - Уфа (Южный автовокзал);588;Нефтекамск;60,3442287804945;75,6877160702112;Уфа;62,2843813573507;73,0739957909835;121.500000000000;96.666666666665;24.833333333335;25.690000
