Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;ул. Ленина, ул. Коммунистическая, ул. Аксакова, ул. Дзержинского, ул. Вагонная, Вагонная ул., Большая Шерстомойная ул., ул. Большая Шерстомойная, ул. Силикатная, ул. Рабочая, ул. Выгонная, ул. Нехаева, Нехаева ул., Карьерная ул., ул. Карьерная, Карьерная ул., Благоварская ул., ул. Благоварская, Благоварская ул., Рижская ул., ул. Саляма, ул. Деревенская Переправа, ул. Рабочая, ул. Силикатная, ул. Большая Шерстомойная, Большая Шерстомойная ул., Вагонная ул., ул. Вагонная, ул. Дзержинского, ул. Аксакова, ул. Коммунистическая, ул. Ленина
Г 024 Левый берег р. Белой - Школа №128;<;ул. Летчиков, ул. Ахметова
Г 024 Левый берег р. Белой - Школа №128;>;ул. Ахметова, ул. Летчиков
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;ул. Ульяновых, ул. Первомайская, ул. Конституции, ул. Комарова, Тоннельная ул., пр. Октября, ул. Трамвайная, Уфимское шоссе, ул. Чудская, ул. Сипайловская, ул. Баязита Бикбая, ул. Юрия Гагарина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;ул. Юрия Гагарина, ул. Маршала Жукова, ул. Академика Королёва, ул. Юрия Гагарина, ул. Баязита Бикбая, ул. Сипайловская, ул. Чудская, Уфимское шоссе, ул. Трамвайная, пр. Октября, Тоннельная ул., ул. Комарова, ул. Космонавтов, ул. Первомайская, ул. Ульяновых, Автодорога Р240 Уфа – Оренбург, ул. Ульяновых
Г 034 Ул. Гилева - Узловая автобаза;<;ул. Глазовская, ул. Демьяна Бедного, Демьяна Бедного ул., ул. Евгения Столярова, Дёмское шоссе, ул. Правды, ул. Ухтомского, Ухтомского ул., ул. Левитана, Левитана ул., Новороссийская ул., ул. Новороссийская, пер. Павлика Морозова, Балаово ул., Баланово ул., ул. Баланово, ул. Гилёва
Г 034 Ул. Гилева - Узловая автобаза;>;ул. Гилёва, ул. Баланово, Баланово ул., пер. Павлика Морозова, ул. Новороссийская, Новороссийская ул., Левитана ул., ул. Левитана, Левитана ул., Таллинская ул., ул. Правды, Дёмское шоссе, ул. Евгения Столярова, Демьяна Бедного ул., ул. Демьяна Бедного, ул. Глазовская
Г 035 ст. Шакша - ДК УМПО;<;ул. Высовольтная, ул. Шоссеёная, ул. Гвардейская, ул. Касимовская, Автодорога Уфа - Шакша, ул. Перспективная, ул. Интернациональная, Интернациональная ул., ул. Машиностроителей
Г 035 ст. Шакша - ДК УМПО;>;ул. Машиностроителей, Интернациональная ул., ул. Интернациональная, ул. Перспективная, Автодорога Уфа - Шакша, ул. Касимовская, ул. Гвардейская, ул. Шоссеёная, ул. Высовольтная
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;ул. Юрия Гагарина, ул. Маршала Жукова, ул. Баязита Бикбая, ул. Сипайловская, ул. Чудская, Уфимское шоссе, Уфимское ш., ул. Российская, ул. Комсомольская, ул. Шафиева, пр. Октября, ул. 50 лет СССР, ул. Рихарда Зорге, ул. Города Галле, ул. Пархоменко, бульвар Ибрагимова, ул. Карла Маркса, ул. Коммунистическая, ул. Ленина
