Уфа АЦ ВАЗ-Аэропорт;110;1053.500000000000;29.420000;1134.000000000000;31.670000;1039.500000000000;29.030000;353.750000000000;9.880000;3580.750000000000
Уфа (ул. Дзержинского) - Аэропорт;101;1016.500000000000;32.680000;1040.000000000000;33.440000;984.250000000000;31.650000;69.250000000000;2.230000;3110.000000000000
Октябрьский - Туймазы ч/з Нарышево;106;547.250000000000;21.910000;1173.750000000000;47.000000;709.000000000000;28.390000;67.250000000000;2.690000;2497.250000000000
Салават АВ- Стерлитамак АВ;101;401.750000000000;17.980000;1077.000000000000;48.210000;640.750000000000;28.680000;114.500000000000;5.130000;2234.000000000000
Уфа - Лесхоз;108;705.333333333328;57.190000;231.999999999995;18.810000;291.999999999996;23.680000;3.999999999999;0.320000;1233.333333333318
Нефтекамск-Янаул;114;295.750000000000;24.380000;578.250000000000;47.670000;305.250000000000;25.160000;33.750000000000;2.780000;1213.000000000000
Салават-Мелеуз;102;187.750000000000;16.440000;506.750000000000;44.360000;379.750000000000;33.250000;68.000000000000;5.950000;1142.250000000000
"""Стерлитамак - Сады """"Ясное""""""";157;330.500000000000;31.490000;350.500000000000;33.400000;368.500000000000;35.110000;0.000000000000;0.000000;1049.500000000000
Ишимбай - Стерлитамак;102;215.250000000000;21.960000;475.500000000000;48.520000;250.250000000000;25.540000;39.000000000000;3.980000;980.000000000000
Нефтекамск-Кармановская ГРЭС;112;159.250000000000;16.800000;471.750000000000;49.780000;217.000000000000;22.900000;99.750000000000;10.520000;947.750000000000
Уфа - Кушнаренково;258;172.500000000000;24.830000;373.250000000000;53.720000;123.500000000000;17.780000;25.500000000000;3.670000;694.750000000000
Салават-Ишимбай;101 и;189.250000000000;29.570000;241.250000000000;37.700000;183.750000000000;28.710000;25.750000000000;4.020000;640.000000000000
Нефтекамск - Амзя - 9 км;116-2;182.250000000000;29.060000;233.750000000000;37.270000;170.250000000000;27.140000;41.000000000000;6.540000;627.250000000000
Белебей-Приютово;101;121.000000000000;19.340000;268.500000000000;42.910000;196.000000000000;31.320000;40.250000000000;6.430000;625.750000000000
Шаран-Туймазы;119;114.750000000000;18.560000;304.250000000000;49.210000;187.750000000000;30.370000;11.500000000000;1.860000;618.250000000000
Сибай-Баймак;113;116.250000000000;20.600000;265.500000000000;47.050000;173.750000000000;30.790000;8.750000000000;1.550000;564.250000000000
Агидель-Нефтекамск;120;140.750000000000;25.530000;236.000000000000;42.810000;126.500000000000;22.950000;48.000000000000;8.710000;551.250000000000
Стерлитамак (кол. Рынок) - Наумовка;109;114.500000000000;22.980000;208.250000000000;41.800000;150.000000000000;30.110000;25.500000000000;5.120000;498.250000000000
Нефтекамск АВ - Уфа (Южный автовокзал);588;83.000000000000;17.470000;211.750000000000;44.580000;145.750000000000;30.680000;34.500000000000;7.260000;475.000000000000
Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;178.750000000000;44.160000;101.500000000000;25.080000;106.250000000000;26.250000;18.250000000000;4.510000;404.750000000000
Уфа Южный АВ - Мусино;120;99.333333333328;24.770000;194.333333333326;48.460000;107.333333333327;26.770000;0.000000000000;0.000000;400.999999999981
Нефтекамск-Калтасы;113;91.750000000000;24.760000;192.250000000000;51.890000;86.500000000000;23.350000;0.000000000000;0.000000;370.500000000000
Кумертау-Ермолаево;102;107.500000000000;31.430000;157.000000000000;45.910000;73.250000000000;21.420000;4.250000000000;1.240000;342.000000000000
Туймазы- Октябрьский- Серафимовский;2;33.500000000000;10.850000;134.000000000000;43.400000;117.250000000000;37.980000;24.000000000000;7.770000;308.750000000000
Стерлитамак - с/х Рощинский;111;68.000000000000;22.590000;123.500000000000;41.030000;92.750000000000;30.810000;16.750000000000;5.560000;301.000000000000
"""Стерлитамак - Сады """"Ясное 2""""""";157-2;137.500000000000;45.760000;99.500000000000;33.110000;63.500000000000;21.130000;0.000000000000;0.000000;300.500000000000
Кумертау-Мелеуз;101;66.750000000000;22.740000;127.000000000000;43.270000;87.000000000000;29.640000;12.750000000000;4.340000;293.500000000000
сан. Красноусольск-Стерлитамак ч/з рынок;282 к;44.750000000000;16.130000;141.250000000000;50.900000;89.500000000000;32.250000;2.000000000000;0.720000;277.500000000000
Октябрьский-Туймазы;106;53.750000000000;19.550000;137.750000000000;50.090000;79.000000000000;28.730000;4.500000000000;1.640000;275.000000000000
Уфа (Южный автовокзал) - Шипово;124;102.999999999993;40.080000;83.333333333326;32.430000;68.999999999992;26.850000;1.666666666666;0.650000;256.999999999977
Уфа (Северный автовокзал)- Тикеево;139;66.000000000000;27.160000;82.500000000000;33.950000;72.000000000000;29.630000;22.500000000000;9.260000;243.000000000000
Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;105.250000000000;43.310000;80.250000000000;33.020000;57.500000000000;23.660000;0.000000000000;0.000000;243.000000000000
"""Уфа - Сады """"Нарат""""""";152;71.000000000000;29.830000;4.000000000000;1.680000;163.000000000000;68.490000;0.000000000000;0.000000;238.000000000000
"""Стерлитамак - Сады """"Каучук 5/3""""""";157-б;68.500000000000;29.030000;84.500000000000;35.810000;83.000000000000;35.170000;0.000000000000;0.000000;236.000000000000
Нефтекамск-Зубовка с/о;111;58.000000000000;26.420000;58.500000000000;26.650000;88.000000000000;40.090000;15.000000000000;6.830000;219.500000000000
"""Стерлитамак - Сады """"Рощинский""""""";162;76.500000000000;36.520000;69.500000000000;33.170000;63.500000000000;30.310000;0.000000000000;0.000000;209.500000000000
