Уфа (Южный автовокзал) - Таптыково;164 Т;46.000000;15.250000;36.080000;2.660000
Стерлитамак - Мебельный;106;27.490000;42.090000;29.200000;1.220000
Октябрьский - Уфа экспресс;600;22.770000;57.070000;20.160000;0.000000
Стерлитамак АВ-сан. Красноусольский;282;23.940000;47.610000;28.460000;0.000000
"""Стерлитамак - Сады """"Майские""""""";109;29.410000;45.450000;25.130000;0.000000
Янаул - Октябрьский;744;44.390000;36.360000;11.760000;7.490000
Стерлитамак - Янгискаин;119;36.560000;28.490000;34.950000;0.000000
Стерлитамак АВ - Талачево;113;41.600000;34.990000;23.420000;0.000000
Сибай-Кусеево;114;26.740000;48.750000;13.090000;11.420000
Уфа - Аскино ч/з Благовещенск;567;21.070000;42.730000;35.910000;0.300000
"""Уфа фирма МИР - Сады """"Демские""""""";135;48.750000;0.000000;51.250000;0.000000
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;10.060000;72.400000;17.530000;0.000000
Уфа - Мишкино ч/з Зап. развилку;557;17.060000;63.880000;19.060000;0.000000
Петровск-Макарово-Стерлитамак;103;33.450000;60.140000;6.410000;0.000000
Мелеуз-В.Биккузино;242;8.630000;51.080000;40.290000;0.000000
Уфа - Караидель ч/з Зап. развилку;577;37.910000;20.940000;41.160000;0.000000
"""Уфа - Сады """"Лесная поляна""""""";123;50.000000;2.940000;47.060000;0.000000
Шаран - Уфа ч/з Чекмагуш;809;26.490000;48.880000;22.010000;2.610000
Уфа - Янаул;584;9.810000;21.510000;68.680000;0.000000
Кармаскалы- Уфа (Южный автовокзал);253 к;22.640000;50.940000;26.420000;0.000000
Дюртюли - Уфа;536;33.330000;30.680000;35.980000;0.000000
Уфа - Федоровка;571;39.920000;47.670000;10.080000;2.330000
Дюртюли- Базитамак;107;15.140000;49.000000;35.860000;0.000000
Нефтекамск - Карманово;112 э;16.180000;0.000000;53.110000;30.710000
Стерлитамак - Сады Сосновка;132;0.000000;15.000000;85.000000;0.000000
Кумертау-Михайловка;110;36.440000;24.580000;38.980000;0.000000
"""Стерлитамак - Сады """"Подлесное""""""";159;54.240000;0.000000;45.760000;0.000000
Уфа - Акъяр;578;27.660000;41.280000;17.020000;14.040000
Семилетка-В.Яркеево;105;25.860000;51.720000;22.410000;0.000000
Калтасы - Уфа;564;0.000000;58.620000;41.380000;0.000000
Нефтекамск-Ст.Уразаево с/о;108;46.490000;0.000000;53.510000;0.000000
Октябрьский - Ермекеево;621;20.090000;55.360000;24.550000;0.000000
Туймазы - Якшаево;1;32.430000;42.340000;25.230000;0.000000
Уфа (Северный автовокзал)-Федоровка;132;36.360000;7.270000;54.550000;1.820000
Янаул-Кармановская ГРЭС;118;52.360000;0.000000;47.640000;0.000000
Уфа - Архангельское ч/з Булгаково;582;15.000000;45.500000;26.500000;13.000000
Русский Юрмаш - Уфа (Южный автовокзал);130;76.000000;2.000000;22.000000;0.000000
Стерлитамак АВ-Стерлибашево АС;149;17.190000;31.770000;51.040000;0.000000
Бирск-Каргино;123;42.710000;57.290000;0.000000;0.000000
Октябрьский - Белебей;619;26.180000;47.120000;26.180000;0.520000
Уфа - Бирск ч/з Благовещенск;534;33.330000;56.080000;10.580000;0.000000
"""Уфа - Сады """"Бачурино""""""";113 к;0.000000;14.890000;85.110000;0.000000
Октябрьский-Шахово;113;0.000000;79.790000;20.210000;0.000000
Исянгулово - Уфа;611;43.850000;10.160000;34.220000;11.760000
Белебей - Стерлитамак через Киргиз Мияки;800К;16.130000;49.460000;34.410000;0.000000
Белебей - Туймазы;633;0.000000;77.170000;22.830000;0.000000
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;40.660000;12.090000;47.250000;0.000000
Учалы - Стерлитамак;828;36.460000;54.700000;8.840000;0.000000
Уфа (К.Рынок)-Иглино;165;38.890000;31.110000;30.000000;0.000000
Сибай - Стерлитамак;918;19.550000;64.800000;15.640000;0.000000
Белебей-Суккулово;117;22.030000;68.360000;9.600000;0.000000
Мелеуз-Юмагузино;241;21.590000;60.230000;18.180000;0.000000
Стерлитамак - Кармаскалы;122;22.160000;32.390000;45.450000;0.000000
Стерлитамак - Наумкино;290;0.000000;0.000000;100.000000;0.000000
Уфа (Южный автовокзал)-Енгалышево;142;43.680000;28.740000;25.290000;2.300000
Уфа - Архангельское ч/з Кабаково;604;26.350000;27.540000;46.110000;0.000000
Сибай - Акъяр ч/з Подольск;750;0.000000;51.500000;47.900000;0.600000
Бижбуляк - Белебей;645;32.120000;20.000000;47.880000;0.000000
Мелеуз-Мраково;225;13.330000;55.150000;31.520000;0.000000
Уфа-Н.Киешки;572;23.930000;39.260000;36.810000;0.000000
Бижбуляк - Уфа ч/з Аксеново;560;16.050000;41.360000;35.190000;7.410000
Октябрьский - Нефтекамск;626;36.020000;45.340000;18.630000;0.000000
Янаул - Чургулды;110 Я;15.820000;48.730000;35.440000;0.000000
Кумертау-Кинзебаево;105;43.670000;0.000000;51.900000;4.430000
В. Яркеево-Дюртюли;110;55.260000;0.000000;44.740000;0.000000
