Уфа (Южный автовокзал)-Тимкино;121 соц;55.500000000000
Сибай - Стерлитамак;918;55.100000000000
Нефтекамск-Ст.Уразаево с/о;108;54.200000000000
Уфа - Янаул;584;53.900000000000
Уфа - Акъяр;578;52.100000000000
Нефтекамск-Куяново;102;50.900000000000
Стерлитамак - Кармаскалы;122;50.800000000000
Уфа (Южный автовокзал) - Федоровка;125;50.333333333328
Стерлитамак АВ-Стерлибашево АС;149;50.300000000000
Белебей-Суккулово;117;50.200000000000
Уфа (Южный автовокзал)-Енгалышево;142;49.500000000000
Нефтекамск-Калегино;121;49.000000000000
Октябрьский - Белебей;619;48.700000000000
Туймазы - Якшаево;1;48.200000000000
Стерлитамак - Наумкино;290;47.600000000000
Исянгулово - Уфа;611;46.200000000000
Октябрьский-Шахово;113;45.000000000000
Уфа -Стерлитамак;531;45.000000000000
Янаул - Чургулды;110 Я;44.600000000000
"""Стерлитамак - Сады """"Подлесное""""""";159;44.400000000000
Мелеуз-Мраково;225;44.200000000000
Бижбуляк - Уфа ч/з Аксеново;560;43.500000000000
Уфа - Бирск ч/з Благовещенск;534;43.400000000000
Октябрьский - Ермекеево;621;43.400000000000
Уфа - Архангельское ч/з Кабаково;604;43.375000000000
Бижбуляк - Белебей;645;42.700000000000
Стерлитамак - Семенкино;115;42.428571428566
Уфа - Федоровка;571;41.500000000000
Дюртюли - Уфа;536;40.900000000000
Уфа - Мишкино ч/з Зап. развилку;557;40.700000000000
Салават-Сухаревка;106;40.700000000000
Уфа - Белебей;530;40.700000000000
"""Уфа южный АВ - Сады """"Юматово""""""";114;40.000000000000
Бирск-Мишкино;120;39.900000000000
"""Уфа - П/т """"Автомобилист""""""";126;39.500000000000
Уфа Южный АВ - Первушино;117 к;39.500000000000
Октябрьский- Серафимовский;12;39.500000000000
Уфа - Валентиновка;592;38.666666666659
Приютово - Стерлитамак;623;38.666666666649
Мелеуз-В.Биккузино;242;38.500000000000
Семилетка-В.Яркеево;105;38.000000000000
Саит-Баба-Уфа;741;38.000000000000
Бирск-Каргино;123;38.000000000000
Янаул-Кр. Холм;109;37.400000000000
Октябрьский - Нефтекамск;626;37.200000000000
Учалы - Стерлитамак;828;37.200000000000
Уфа - Мраково;601;36.900000000000
Сибай - Акъяр ч/з Подольск;750;36.888888888880
Кумертау-Кинзебаево;105;36.000000000000
Белорецк- Миндяк;109;35.900000000000
Белебей - Стерлитамак через Киргиз Мияки;800К;35.800000000000
Стерлитамак АВ-Стерлибашево АС- Янгурча;170;35.700000000000
Стерлитамак АВ - Янгискаин;119 Т;35.500000000000
Янаул-Калтасы;102;34.900000000000
В. Яркеево-Дюртюли;110;34.875000000000
Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;34.800000000000
Белорецк - Учалы;805;33.800000000000
Уфа - Учалы;593;33.600000000000
Бакалы - Туймазы;629;33.500000000000
Дюртюли-Бирск (переправа);115;33.500000000000
Уфа - Балагушево;150;32.500000000000
"""Уфа - Сады """"Бачурино""""""";113 к;32.000000000000
Караидель - Нефтекамск;968;30.000000000000
Уфа - Аскино ч/з Зап. развилку;567;29.900000000000
Стерлитамак-Красноусольск АС;282;29.800000000000
Баймак - Акъяр ч/з Юлдыбаево;939;29.166666666648
Уфа (К.Рынок)-В.Изяк;105;29.111111111102
Белебей - Туймазы;633;29.000000000000
Верхнеяркеево - Нефтекамск;762;28.200000000000
Бирск-Баймурзино;127;27.750000000000
Стерлитамак АВ-Мраково;205;27.200000000000
"""Уфа - Сады """"Каряка""""""";156;27.000000000000
Уфа (Южный автовокзал) - сан. Алкино;127;25.400000000000
Нордовка-Салават;123 ф;23.100000000000
Аскарово- Белорецк;924;22.500000000000
Стерлитамак АВ-Месели-Манеево;116;22.200000000000
Кармаскалы-Уфа (Южный автовокзал);253 соц;21.750000000000
Сибай - Кумертау;738;21.400000000000
Белебей - Уфа;530Р;20.700000000000
Верхнеяркеево - Туймазы;917;20.000000000000
Аскарово- Сибай;844;19.800000000000
Нефтекамск-Саузбашево;110;19.000000000000
Архангельское - Стерлитамак ч/з З.Караново;919;18.500000000000
Уфа - Янаул ч/з Кр. Холм;584;18.200000000000
Кумертау-Мраково;118;17.750000000000
Нефтекамск-Карякино;132;16.000000000000
Уфа - Бураево ч/з Зап. развилку;594;15.625000000000
Зилаир - Сибай ч/з Юлдыбаево;792;15.600000000000
Петровск (Петровское)-Стерлитамак;116;15.600000000000
Мелеуз - Уфа;581;15.555555555553
Уфа - Октябрьский через Серафимовку;600 С;15.400000000000
Бирск - Измарино  341160;"341160    ";15.200000000000
Кутлугуза-Стерлитамак;116;15.000000000000
Стерлитамак АВ-Стерлибашево АС - Булаж;185;13.500000000000
Кандры - Туймазы;NULL;13.300000000000
Уфа - Нефтекамск б/з в Дюртюли;588;12.625000000000
Самарское - Сибай ч/з Акъяр АС 750;"750       ";12.600000000000
Нефтекамск - Старобалтачево  065673 С;65673 С;12.400000000000
Янаул - Бирск;770;12.000000000000
Янаул - Бураево;570к;11.375000000000
Уфа южный АВ - Бузовьязы;129;11.000000000000
Стерлитамак АВ-Кабакуш;201;10.000000000000
Белебей-М.Москва;132;10.000000000000
Туймазы - Сайраново ч/з Кандры;NULL;9.600000000000
Стерлитамак - Утяково;154;9.500000000000
Уфа - Кандры;737;9.000000000000
Старобалтачево - Нефтекамск  065675 С;65675 С;8.600000000000
Стерлитамак АВ-Зилим-Караново;190;7.600000000000
Стерлитамак АВ-Саитбаба;240;7.600000000000
Уфа - Салават через Ишимбай;551И;7.400000000000
Стерлитамак АВ-Юмагузино;225;7.000000000000
Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;6.700000000000
Стерлитамак АВ-д. Северная;210;5.800000000000
Стерлитамак АВ-Коварды;220;5.500000000000
Уфа - Сады УАИ;120 к;5.000000000000
Красный Холм - Ст.Яшь;NULL;5.000000000000
Караидель - Бирск;653;4.999999999998
Стерлитамак АВ-Наумкино - Толбазы АС;510;4.500000000000
Нефтекамск - В. Татышлы - Ст. Балтачево;675;3.777777777774
Стерлитамак-Белое озеро-Антоновка;145;3.500000000000
Стерлитамак АВ-Салихово ч/з Канакаево;500;2.600000000000
Стерлитамак - Стерлибашево ч/з Кабакуш;NULL;1.750000000000
Стерлитамак АВ-Красноармейский;250;1.125000000000
Красный Холм - Качак;NULL;1.000000000000
Стерлитамак АВ-Тавричанка;244;1.000000000000
Уфа Южный АВ - Верхние Киги  б/з Сев.АВ 596 Гал;"596 Гал   ";0.100000000000
