"""Стерлитамак - Сады """"Майские""""""";109;20.650000;48.700000;30.650000;0.000000
Стерлитамак АВ - Талачево;113;40.490000;36.740000;22.770000;0.000000
Стерлитамак - Золотоношка;281;26.560000;51.110000;20.120000;2.210000
Октябрьский - Уфа экспресс;600;24.020000;51.180000;24.800000;0.000000
Уфа - Кумертау;591;19.310000;44.930000;34.480000;1.280000
Сибай-Кусеево;114;25.640000;54.560000;16.410000;3.380000
Русский Юрмаш - Уфа (Южный автовокзал);130;58.280000;12.300000;29.200000;0.230000
Стерлитамак - Мебельный;106;25.870000;37.660000;33.010000;3.460000
Уфа - В. Татышлы;547;41.330000;37.020000;21.220000;0.440000
Уфа - Агидель;586;22.950000;37.050000;40.000000;0.000000
Нефтекамск - Карманово;112 э;18.560000;9.340000;41.690000;30.410000
Стерлитамак АВ-сан. Красноусольский;282;26.130000;43.440000;30.430000;0.000000
"""Уфа фирма МИР - Сады """"Демские""""""";135;58.720000;0.000000;41.280000;0.000000
Янаул - Октябрьский;744;46.710000;39.780000;9.080000;4.420000
Уфа - Караидель ч/з Зап. развилку;577;25.060000;26.410000;48.530000;0.000000
Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;14.800000;67.450000;17.760000;0.000000
Кармаскалы- Уфа (Южный автовокзал);253 к;24.690000;54.030000;21.280000;0.000000
Уфа - Аскино ч/з Благовещенск;567;32.280000;35.830000;31.890000;0.000000
Шаран - Уфа ч/з Чекмагуш;809;28.070000;52.330000;19.320000;0.280000
"""Уфа - Сады """"Лесная поляна""""""";123;52.480000;0.000000;47.520000;0.000000
Дюртюли- Базитамак;107;15.610000;64.800000;18.110000;1.470000
Туймазы - Уфа через Кандры;595;19.270000;52.500000;28.220000;0.000000
"""Уфа - с/х """"Шемяк""""""";109;59.560000;2.880000;36.720000;0.850000
Уфа (Северный автовокзал)-Федоровка;132;67.190000;6.250000;26.560000;0.000000
Уфа - Александровка;154;55.470000;10.940000;13.280000;20.310000
"""Уфа - Сады """"Факел""""""";111 к;82.030000;0.000000;17.970000;0.000000
Петровск-Макарово-Стерлитамак;103;33.500000;56.050000;10.460000;0.000000
Уфа-Н.Киешки;572;30.150000;41.570000;28.280000;0.000000
Янаул-Кармановская ГРЭС;118;52.220000;0.000000;47.780000;0.000000
Мелеуз-Юмагузино;241;18.690000;67.650000;13.670000;0.000000
