Туймазы - Якшаево;1;Октябрьский;59,4753243965015;72,540652091043;Каратово (в ст. Якшеево);59,4096298217773;72,2701263427734;12;0.000000000000;2.583333333333;0.000000000000;0.000000000000
Туймазы - Якшаево;1;Октябрьский;59,4753243965015;72,540652091043;Уязы-Тамак (в ст. Каратово);59,3982810974121;72,324951171875;12;0.166666666666;6.833333333333;0.000000000000;0.000000000000
Туймазы - Якшаево;1;Октябрьский;59,4753243965015;72,540652091043;Якшаево МГ;59,4320106506348;72,2084426879883;12;0.166666666666;1.000000000000;0.000000000000;0.000000000000
Туймазы - Якшаево;1;Туймазы;59,7044503061395;72,7754761545282;Октябрьский;59,4753243965015;72,540652091043;12;15.250000000000;14.416666666666;5.750000000000;0.000000000000
Туймазы - Якшаево;1;Туймазы;59,7044503061395;72,7754761545282;Старые Туймазы (в ст. Туймазы АВ);59,6004981994629;72,6756286621094;12;0.666666666666;0.833333333333;1.500000000000;0.000000000000
Туймазы - Якшаево;1;Туймазы;59,7044503061395;72,7754761545282;Туймазы;59,7044503061395;72,7754761545282;12;0.000000000000;0.000000000000;0.250000000000;0.000000000000
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Белебей;60,1639169262302;71,8110947147492;14;2.142857142857;7.642857142857;4.000000000000;0.642857142857
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Воробьевка;60,0177001953125;71,5426330566406;14;0.000000000000;0.642857142857;0.857142857142;0.214285714285
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Дом Отдыха (обратный);62,372859954834;71,0278167724609;14;0.214285714285;0.500000000000;0.571428571428;0.000000000000
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Екатериновка;60,0255584716797;71,5679626464844;14;1.071428571428;3.928571428571;6.000000000000;1.142857142857
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Приютово;59,9741080147879;71,4234760829381;14;16.571428571428;94.714285714285;63.571428571428;7.857142857142
Белебей-Приютово;101;Белебей;60,1639169262302;71,8110947147492;Родники (для 101 м-та);60,1141395568848;71,7473831176758;14;2.500000000000;12.857142857142;5.142857142857;2.428571428571
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Белебей;60,1639169262302;71,8110947147492;14;75.000000000000;96.785714285714;43.357142857142;10.571428571428
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Воробьевка;60,0177001953125;71,5426330566406;14;2.571428571428;5.500000000000;1.214285714285;0.428571428571
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Дом Отдыха (обратный);62,372859954834;71,0278167724609;14;0.428571428571;0.500000000000;0.428571428571;0.000000000000
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Екатериновка;60,0255584716797;71,5679626464844;14;1.142857142857;7.071428571428;2.071428571428;0.000000000000
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Мартыново;60,0417594909668;71,6132736206055;14;0.214285714285;0.142857142857;0.000000000000;0.000000000000
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Новая дорога;60,0721702575684;71,6803665161133;14;0.142857142857;0.000000000000;0.000000000000;0.000000000000
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;Родники (для 101 м-та);60,1141395568848;71,7473831176758;14;0.000000000000;0.142857142857;0.000000000000;0.000000000000
Белебей-Приютово;101;Приютово;59,9741080147879;71,4234760829381;ШГПЗ;60,014820098877;71,4955902099609;14;0.214285714285;1.714285714285;0.071428571428;0.000000000000
Уфа (ул. Дзержинского) - Аэропорт;101;"Кафе ""Отдых""";62,1901092529297;72,8301467895508;Металлобаза (в ст. города);62,1713600158691;72,7459030151367;14;2.000000000000;0.571428571428;0.928571428571;0.142857142857
Уфа (ул. Дзержинского) - Аэропорт;101;"Кафе ""Отдых""";62,1901092529297;72,8301467895508;Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;14;348.142857142857;377.285714285714;335.571428571428;34.071428571428
Уфа (ул. Дзержинского) - Аэропорт;101;"Кафе ""Отдых""";62,1901092529297;72,8301467895508;Уфа;62,2843813573507;73,0739957909835;14;6.714285714285;3.571428571428;5.357142857142;0.285714285714
Уфа (ул. Дзержинского) - Аэропорт;101;Металлобаза (в ст. Аэропорта);62,1709518432617;72,7439422607422;Металлобаза (в ст. Аэропорта);62,1709518432617;72,7439422607422;14;0.928571428571;0.500000000000;0.500000000000;0.071428571428
Уфа (ул. Дзержинского) - Аэропорт;101;Металлобаза (в ст. Аэропорта);62,1709518432617;72,7439422607422;Уфа;62,2843813573507;73,0739957909835;14;6.642857142857;3.642857142857;5.071428571428;1.285714285714
Уфа (ул. Дзержинского) - Аэропорт;101;Металлобаза (в ст. города);62,1713600158691;72,7459030151367;"Кафе ""Отдых""";62,1901092529297;72,8301467895508;14;0.142857142857;0.357142857142;0.857142857142;0.142857142857
Уфа (ул. Дзержинского) - Аэропорт;101;Металлобаза (в ст. города);62,1713600158691;72,7459030151367;Поселок Чесноковка (в ст. города);62,1866188049316;72,7925872802734;14;0.571428571428;0.214285714285;0.214285714285;0.071428571428
Уфа (ул. Дзержинского) - Аэропорт;101;Поселок Чесноковка (в ст. Аэропорта);62,1875;72,7958984375;"Кафе ""Отдых""";62,1901092529297;72,8301467895508;14;0.000000000000;0.214285714285;1.142857142857;0.142857142857
