П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(обратное);5086;06:30 - 07:45;;20;;06:31;;07:31
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(обратное);5086;07:30 - 10:45;;10;;07:31;;10:31
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(обратное);5086;10:30 - 17:15;;20;;10:31;;17:01
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(обратное);5086;17:00 - 20:15;;10;;17:01;;20:01
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Васильевка 2(обратное);5086;20:00 - 20:45;;20;;20:01;;20:31
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(обратное);5098;06:30 - 07:45;;20;;06:39;;07:39
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(обратное);5098;07:30 - 10:45;;10;;07:39;;10:39
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(обратное);5098;10:30 - 17:15;;20;;10:39;;17:09
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(обратное);5098;17:00 - 20:15;;10;;17:09;;20:09
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(обратное);5098;20:00 - 20:45;;20;;20:09;;20:39
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;06:45 - 08:00;;20;;06:55;;07:55
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;07:45 - 11:00;;10;;07:55;;10:55
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;10:45 - 17:30;;20;;10:55;;17:25
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;17:15 - 20:30;;10;;17:25;;20:25
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;20:15 - 21:00;;20;;20:25;;20:55
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;06:00 - 07:00;20;;06:00;;07:00;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;07:00 - 10:00;10;;07:00;;10:00;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;10:00 - 16:30;20;;10:00;;16:30;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;16:30 - 19:30;10;;16:30;;19:30;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Салават АВ;5024;19:30 - 20:00;20;;19:30;;20:00;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(прямое);5099;06:15 - 07:30;20;;06:16;;07:16;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(прямое);5099;07:15 - 10:30;10;;07:16;;10:16;
П 101 Салават АВ - Стерлитамак АВ ПН-ВС;Кантюковка(прямое);5099;10:15 - 17:00;20;;10:16;;16:46;
