М 737 Уфа - Кандры;Кандры - Уфа;<;54;160;367;Демский энергоучасток;0,03;141,039
М 737 Уфа - Кандры;Кандры - Уфа;<;55;161;555;Демский энергоучасток;1,147;141,069
М 737 Уфа - Кандры;Кандры - Уфа;<;56;675;972;Ул. Гатчинская;0,035;142,216
М 737 Уфа - Кандры;Кандры - Уфа;<;57;674;353;Ул. Гатчинская;0,362;142,251
М 737 Уфа - Кандры;Кандры - Уфа;<;58;806;354;Ул. Мусоргского;0,024;142,614
М 737 Уфа - Кандры;Кандры - Уфа;<;59;807;971;Ул. Мусоргского;0,194;142,638
М 737 Уфа - Кандры;Кандры - Уфа;<;60;624;356;Ул. Аургазинская;0,064;142,832
М 737 Уфа - Кандры;Кандры - Уфа;<;61;625;970;Ул. Аургазинская;0,131;142,895
М 737 Уфа - Кандры;Кандры - Уфа;<;62;777;969;Ул. Магистральная;0,374;143,026
М 737 Уфа - Кандры;Кандры - Уфа;<;63;803;827;Ул. Минская;0,027;143,4
М 737 Уфа - Кандры;Кандры - Уфа;<;64;802;363;Ул. Минская;0,284;143,427
М 737 Уфа - Кандры;Кандры - Уфа;<;65;470;828;Сады;0,02;143,711
М 737 Уфа - Кандры;Кандры - Уфа;<;66;469;364;Сады;0,66;143,73
М 737 Уфа - Кандры;Кандры - Уфа;<;67;336;974;"""НПО """"Иммунопрепарат""""""";8,23;144,39
М 737 Уфа - Кандры;Кандры - Уфа;<;68;5773;1589;Миловка;10,281;152,62
М 737 Уфа - Кандры;Кандры - Уфа;<;69;306;1017;Микрорайон Сафроновский;0,032;162,901
М 737 Уфа - Кандры;Кандры - Уфа;<;70;305;188;Микрорайон Сафроновский;0,465;162,933
М 737 Уфа - Кандры;Кандры - Уфа;<;71;36;1018;Базисный проезд;0,038;163,398
М 737 Уфа - Кандры;Кандры - Уфа;<;72;35;182;Базисный проезд;0,612;163,436
М 737 Уфа - Кандры;Кандры - Уфа;<;73;5;148;Автодром;1,252;164,048
М 737 Уфа - Кандры;Кандры - Уфа;<;74;443;831;Речная;0,043;165,3
М 737 Уфа - Кандры;Кандры - Уфа;<;75;442;142;Речная;0,552;165,343
М 737 Уфа - Кандры;Кандры - Уфа;<;76;218;830;Зеленая гора;0,036;165,896
М 737 Уфа - Кандры;Кандры - Уфа;<;77;217;141;Зеленая гора;0,838;165,931
М 737 Уфа - Кандры;Кандры - Уфа;<;78;1042;30;Южный автовокзал;0,135;166,77
М 737 Уфа - Кандры;Кандры - Уфа;<;NULL;1046;1196;Южный автовокзал;0,095;166,905
М 737 Уфа - Кандры;Кандры - Уфа;<;79;1044;609;Южный автовокзал;0;167
М 737 Уфа - Кандры;Уфа - Кандры;>;1;1044;609;Южный автовокзал;65,103;0
М 737 Уфа - Кандры;Уфа - Кандры;>;2;6521;1258;Чишмы АС;36,861;65,103
М 737 Уфа - Кандры;Уфа - Кандры;>;NULL;2095;1261;Покровка перекресток М/Г;32,821;101,965
М 737 Уфа - Кандры;Уфа - Кандры;>;NULL;2114;1260;Буздякский перекресток;32,069;134,785
М 737 Уфа - Кандры;Уфа - Кандры;>;3;10385;NULL;Кандры АС М/Г;0;166,854
