NULL;117;919;Архангельское - Стерлитамак ч/з З.Караново;116,857031067935
NULL;195;253 к;Кармаскалы- Уфа (Южный автовокзал);43,1159096961599
NULL;228;105а;Нефтекамск-Ст. Буртюк;20,7482384478272
NULL;234;123 ф;Нордовка-Салават;35,3287841178275
NULL;285;NULL;Стерлитамак - Стерлибашево ч/з Кабакуш;63,7343118190765
NULL;303;110;Уфа АЦ ВАЗ-Аэропорт;4,45259016210383
NULL;356;121 соц;Уфа (Южный автовокзал)-Тимкино;42,323319348422
NULL;371;570к;Янаул - Бураево;77,9168207357218
NULL;276;132;Стерлитамак - Сады Сосновка;10,8755491782796
1;269;126;"""Стерлитамак - Сады """"Веселое""""""";17,9361667978833
2;270;125;"""Стерлитамак - Сады """"Ильмень""""""";4,77535610313492
3;271;157-б;"""Стерлитамак - Сады """"Каучук 5/3""""""";12,2763513805648
4;272;109;"""Стерлитамак - Сады """"Майские""""""";11,5070806849733
5;274;159;"""Стерлитамак - Сады """"Подлесное""""""";21,5912993907928
6;275;162;"""Стерлитамак - Сады """"Рощинский""""""";9,65517881862278
7;276;132;"""Стерлитамак - Сады """"Сосновка""""""";10,8755491782796
8;277;158;"""Стерлитамак - Сады """"Строитель 3""""""";6,82314791361983
9;280;157-2;"""Стерлитамак - Сады """"Ясное 2""""""";13,8339434882749
10;281;157;"""Стерлитамак - Сады """"Ясное""""""";13,5831367444184
11;318;126;"""Уфа - П/т """"Автомобилист""""""";35,5046388814738
12;322;109;"""Уфа - с/х """"Шемяк""""""";15,8320479058383
13;325;123;"""Уфа - Сады """"Лесная поляна""""""";18,617000579834
14;128;152;"""Уфа - Сады """"Нарат""""""";27,3474531336132
15;326;111 к;"""Уфа - Сады """"Факел""""""";40,0553845819437
16;358;135;"""Уфа фирма МИР - Сады """"Демские""""""";13,6079998016357
17;160;120;Агидель-Нефтекамск;35,0306061432905
18;118;924;Аскарово- Белорецк;47,3798679591991
19;114;844;Аскарово- Сибай;71,3119252574059
20;119;939;Баймак - Акъяр ч/з Юлдыбаево;44,6740487875004
21;85;618;Бакалы - Октябрьский;65,9777839161147
22;89;629;Бакалы - Туймазы;54,2526369653261
23;90;633;Белебей - Туймазы;56,1061530235486
24;47;530Р;Белебей - Уфа;149,429956025829
25;171;132;Белебей-М.Москва;33,81420926253
26;2;101;Белебей-Приютово;21,3131426299869
27;172;117;Белебей-Суккулово;26,6730987411184
28;173;109;Белорецк- Миндяк;34,2173539247653
29;91;645;Бижбуляк - Белебей;55,9561419477538
30;59;560;Бижбуляк - Уфа ч/з Аксеново;196,001365502675
31;147;535;Бирск - Уфа ч/з Зап. развилку;89,5877260102166
32;175;127;Бирск-Баймурзино;21,4635076336827
33;178;120;Бирск-Мишкино;14,5882325662149
34;183;110;В. Яркеево-Дюртюли;31,8033983546532
35;105;762;Верхнеяркеево - Нефтекамск;82,6715205545601
36;115;917;Верхнеяркеево - Туймазы;88,22694116615
37;52;536;Дюртюли - Уфа;108,603303362604
38;188;107;Дюртюли- Базитамак;21,3272183390074
39;11;115;Дюртюли-Бирск (переправа);35,9410594378676
40;84;611;Исянгулово - Уфа;123,970615701099
41;5;102;Ишимбай - Стерлитамак;29,2775922193382
42;92;653;Караидель - Бирск;88,2641868442297
43;120;968;Караидель - Нефтекамск;155,05172735102
44;208;102;Кумертау-Ермолаево;7,45900011062622
45;123;105;Кумертау-Кинзебаево;31,1404392883942
46;148;101;Кумертау-Мелеуз;24,8193885144536
47;9;110;Кумертау-Михайловка;34,7077693192855
48;15;118;Кумертау-Мраково;55,4659600581153
49;209;116;Кутлугуза-Стерлитамак;50,5527909320334
50;67;581;Мелеуз - Уфа;170,707085673014
51;32;225;Мелеуз-Мраково;55,673826235921
52;34;229;Мелеуз-Федоровка;42,9957223637814
53;212;241;Мелеуз-Юмагузино;42,4183141948273
54;217;116-2;Нефтекамск - Амзя - 9 км;14,5396813124222
55;93;671;Нефтекамск - Бирск;92,9343824531185
56;96;675;Нефтекамск - В. Татышлы - Ст. Балтачево;54,0259332249307
57;219;112 э;Нефтекамск - Карманово;23,3635563255954
58;125;106;Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;39,3815849088273
59;74;588;Нефтекамск АВ - Уфа (Южный автовокзал);153,877443083617
60;221;116;Нефтекамск-Амзя;17,7934343145414
61;222;111;Нефтекамск-Зубовка с/о;8,01474005342966
62;224;113;Нефтекамск-Калтасы;23,4647356761084
63;225;112;Нефтекамск-Кармановская ГРЭС;13,4008981581055
64;226;132;Нефтекамск-Карякино;9,22399997711182
65;12;115;Нефтекамск-Красный Холм;37,670174371467
66;150;102;Нефтекамск-Куяново;31,6907982154514
67;227;110;Нефтекамск-Саузбашево;35,1366985082626
