114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;2;07:20 - 10:10;;15;;07:25;;10:10
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;3;10:20 - 16:35;;20;;10:25;;16:35
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;4;16:50 - 19:40;;15;;16:55;;19:40
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;Уптино;-;5;19:50 - 20:55;;20;;19:55;;20:55
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;1;06:55 - 07:10;;20;;06:55;;07:05
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;2;07:25 - 10:15;;15;;07:25;;10:10
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;3;10:25 - 16:40;;20;;10:25;;16:35
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;4;16:55 - 19:45;;15;;16:55;;19:40
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;перекрёсток Авдон;-;5;19:55 - 21:00;;20;;19:55;;20:55
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;1;07:00 - 07:15;;20;;07:05;;07:15
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;2;07:30 - 10:20;;15;;07:35;;10:20
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;3;10:30 - 16:45;;20;;10:35;;16:45
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;4;17:00 - 19:50;;15;;17:05;;19:50
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;СУ - 820;-;5;20:00 - 21:05;;20;;20:05;;21:05
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;1;07:05 - 07:20;;20;;07:05;;07:15
114а Уфа (Дема) - д. Новомихайловка;ПН-ВС;Круглогодично;АЗС №105;-;2;07:35 - 10:25;;15;;07:35;;10:20
