П 106 Октябрьский - Туймазы;27,5;43
П 106 Салават - Сухаревка;31,8;43
П 106 Стерлитамак - Мебельный;31,5;43
П 107 Баймак - Юлдыбаево;35;43
П 107 Дюртюли - Базитамак;40,8;47,4
П 107 Уфа (Южный АВ) - Суровка;30;43
П 108 Нефтекамск - Ст. Уразаево - с/о Уразаево;26;43
П 108 Туймазы - Нижнезаитово;30,6;43
П 109 Белорецк - Миндяк;32,8;43
П 109 Стерлитамак - Наумовка;26,2;43
П 109 Стерлитамак - Сады Майские;28;43
П 109 Уфа (Южный АВ) - с/х Шемяк;38,4;45,7
П 109 Янаул - Кр. Холм;35,6;43
П 110 В. Яркеево - Дюртюли;40,1;43
П 110 Нефтекамск - Саузбашево;32,5;43
П 110 Уфа (АЦ ВАЗ) - Аэропорт;27,1;43
П 110 Я Янаул - Чургулды;32,5;43
П 110 Я Янаул - Шулганово;32,5;43
П 110-2 Стерлитамак - Сады Аэропорт 2;28;43
П 110С  Уфа (Уфимский Док) - Аэропорт;25,9;48,5
П 111 Нефтекамск - Зубовка с/о;22,5;43
П 111 Стерлитамак - с/х Рощинский;21,8;43
П 111 Стерлитамак (пр. Ленина) - с/х Рощинский;21,8;43
П 111 Стерлитамак (Хим. завод) - с/х Рощинский;21,8;43
П 111к Уфа (Южный АВ) - Сады Факел;25,7;43
П 112 а Стерлитамак - Сады Урняк  Кожевник;29,1;43
П 112 Нефтекамск - Кармановская ГРЭС;29;43
П 112 Сибай - Туяляс (не с АВ);38,8;43
П 112 Стерлитамак - Сады Урняк Цветаевка;28;43
П 112 Э Нефтекамск - Карманово;27,1;43
П 113 Нефтекамск - Калтасы;26,5;43
П 113 Октябрьский - Шахово;26,7;43
П 113 Сибай - Баймак;36,8;43
П 113 Стерлитамак АВ - Талачево;33,4;43
П 113 Уфа (Южный АВ) - Кумлекулево;33,4;43
П 113К Уфа (Южный АВ) - Сады Бачурино;30,3;43
П 114 Нефтекамск - Янаул;28,3;43
П 114 Сибай - Кусеево;35,1;43
П 115 Сибай - Карамалы;34,4;43
П 115 Стерлитамак - Семенкино;26,4;43
П 116 Бирск - Изимарино;40,9;45,4
П 116 Бирск - Тымбаево;40,9;44,8
П 116 Кутлугуза - Стерлитамак;37,6;43
П 116 Нефтекамск - Амзя;22,3;43
П 116 Салават Автовокзал - Сады Сухайла;17,8;43
П 116 Стерлитамак АВ - Месели - Манеево;27,7;43
П 116-2 Нефтекамск - Амзя - 9 км;23;43
П 117 Белебей - Суккулово;26,4;43
П 117 к Уфа (Южный АВ) - Первушино;37,7;43,6
П 117 Сибай - Туркменово;27;43
П 117 Стерлитамак - Шеверли;33,7;43
П 118 Ермекеево - Белебей;50,1;60,7
П 118 Янаул - Кармановская ГРЭС;36,7;43
П 119 Стерлитамак - Янгискаин;32,9;43
П 119 т Стерлитамак АВ - Янгискаин;35;43
П 119 Шаран - Туймазы;30,8;43
