534 Бирск - Уфа ч/з западную развилку;Южный автовокзал;02061;Обратное направление;Круглогодично;СР-ВС;-;-;11:45
534 Бирск - Уфа ч/з западную развилку;Ильмурзино;-;Обратное направление;Круглогодично;ВТ, СР;08:16;"         1";08:17
534 Бирск - Уфа ч/з западную развилку;Ильмурзино;-;Обратное направление;Круглогодично;ПН, ПТ-ВС;11:06;"         1";11:07
534 Бирск - Уфа ч/з западную развилку;Ильмурзино;-;Обратное направление;Круглогодично;ПН-ВС;"14:56; 16:06";"         1";"14:57; 16:07"
534 Бирск - Уфа ч/з западную развилку;Ильмурзино;-;Обратное направление;Круглогодично;ПТ, ВС;"06:36; 07:36; 15:46; 17:06; 17:41";"         1";"06:37; 07:37; 15:47; 17:07; 17:42"
534 Бирск - Уфа ч/з западную развилку;Ильмурзино;-;Обратное направление;Круглогодично;СР-ВС;12:21;"         1";12:22
534 Бирск - Уфа ч/з западную развилку;Николаевский перек.;-;Обратное направление;Круглогодично;ВТ, СР;08:39;"         1";08:40
534 Бирск - Уфа ч/з западную развилку;Николаевский перек.;-;Обратное направление;Круглогодично;ПН, ПТ-ВС;11:29;"         1";11:30
534 Бирск - Уфа ч/з западную развилку;Николаевский перек.;-;Обратное направление;Круглогодично;ПН-ВС;"15:19; 16:29";"         1";"15:20; 16:30"
534 Бирск - Уфа ч/з западную развилку;Николаевский перек.;-;Обратное направление;Круглогодично;ПТ, ВС;"06:59; 07:59; 16:09; 17:29; 18:04";"         1";"07:00; 08:00; 16:10; 17:30; 18:05"
534 Бирск - Уфа ч/з западную развилку;Николаевский перек.;-;Обратное направление;Круглогодично;СР-ВС;12:44;"         1";12:45
534 Бирск - Уфа ч/з западную развилку;Уд. Дуваней М/Г;-;Обратное направление;Круглогодично;ВТ, СР;08:48;"         1";08:49
534 Бирск - Уфа ч/з западную развилку;Уд. Дуваней М/Г;-;Обратное направление;Круглогодично;ПН, ПТ-ВС;11:38;"         1";11:39
534 Бирск - Уфа ч/з западную развилку;Уд. Дуваней М/Г;-;Обратное направление;Круглогодично;ПН-ВС;"15:28; 16:38";"         1";"15:29; 16:39"
534 Бирск - Уфа ч/з западную развилку;Уд. Дуваней М/Г;-;Обратное направление;Круглогодично;ПТ, ВС;"07:08; 08:08; 16:18; 17:38; 18:13";"         1";"07:09; 08:09; 16:19; 17:39; 18:14"
534 Бирск - Уфа ч/з западную развилку;Уд. Дуваней М/Г;-;Обратное направление;Круглогодично;СР-ВС;12:53;"         1";12:54
534 Бирск - Уфа ч/з западную развилку;Бирск АВ;02007;Обратное направление;Круглогодично;ВТ, СР;09:29;-;-
534 Бирск - Уфа ч/з западную развилку;Бирск АВ;02007;Обратное направление;Круглогодично;ПН, ПТ-ВС;12:19;-;-
534 Бирск - Уфа ч/з западную развилку;Бирск АВ;02007;Обратное направление;Круглогодично;ПН-ВС;"16:09; 17:19";-;-
534 Бирск - Уфа ч/з западную развилку;Бирск АВ;02007;Обратное направление;Круглогодично;ПТ, ВС;"07:49; 08:49; 16:59; 18:19; 18:54";-;-
534 Бирск - Уфа ч/з западную развилку;Бирск АВ;02007;Обратное направление;Круглогодично;СР-ВС;13:34;-;-
