NULL;54;551И;Уфа - Салават через Ишимбай;127,86603585605
NULL;117;919;Архангельское - Стерлитамак ч/з З.Караново;122,424031555586
NULL;195;253 к;Кармаскалы- Уфа (Южный автовокзал);43,6149336218231
NULL;228;105а;Нефтекамск-Ст. Буртюк;24,2623147761561
NULL;234;123 ф;Нордовка-Салават;34,8547178704642
NULL;285;NULL;Стерлитамак - Стерлибашево ч/з Кабакуш;59,0241793900085
NULL;303;110;Уфа АЦ ВАЗ-Аэропорт;4,33608328777811
NULL;356;121 соц;Уфа (Южный автовокзал)-Тимкино;43,4160003662109
NULL;371;570к;Янаул - Бураево;77,1572665038061
NULL;276;132;Стерлитамак - Сады Сосновка;11,1616869563516
1;269;126;"Стерлитамак - Сады ""Веселое""";18,423634804131
2;270;125;"Стерлитамак - Сады ""Ильмень""";4,7537304639117
3;271;157-б;"Стерлитамак - Сады ""Каучук 5/3""";12,2328014078043
4;272;109;"Стерлитамак - Сады ""Майские""";11,8968119083041
5;274;159;"Стерлитамак - Сады ""Подлесное""";21,9864002128463
6;275;162;"Стерлитамак - Сады ""Рощинский""";9,70017608434907
7;276;132;"Стерлитамак - Сады ""Сосновка""";11,1616869563516
8;277;158;"Стерлитамак - Сады ""Строитель 3""";6,82444054505717
9;280;157-2;"Стерлитамак - Сады ""Ясное 2""";16,257999420166
10;281;157;"Стерлитамак - Сады ""Ясное""";13,884270421924
11;318;126;"Уфа - П/т ""Автомобилист""";31,9567110049758
12;322;109;"Уфа - с/х ""Шемяк""";25,3814783180739
13;325;123;"Уфа - Сады ""Лесная поляна""";18,8120002746582
14;128;152;"Уфа - Сады ""Нарат""";49,9225563020765
15;326;111 к;"Уфа - Сады ""Факел""";39,8094453390821
16;358;135;"Уфа фирма МИР - Сады ""Демские""";13,6079998016357
17;160;120;Агидель-Нефтекамск;34,9626304634014
18;118;924;Аскарово- Белорецк;52,4566134683441
19;114;844;Аскарово- Сибай;70,6707803640058
20;119;939;Баймак - Акъяр ч/з Юлдыбаево;44,3424497727971
21;85;618;Бакалы - Октябрьский;71,4033915912512
22;89;629;Бакалы - Туймазы;61,2339440060425
23;90;633;Белебей - Туймазы;58,080145973701
24;47;530Р;Белебей - Уфа;154,175166192581
25;171;132;Белебей-М.Москва;34,3702553595815
26;2;101;Белебей-Приютово;21,9018847377729
27;172;117;Белебей-Суккулово;26,2062979769475
28;173;109;Белорецк- Миндяк;35,1302313586848
29;91;645;Бижбуляк - Белебей;56,2549837390292
30;59;560;Бижбуляк - Уфа ч/з Аксеново;197,050534135338
31;147;535;Бирск - Уфа ч/з Зап. развилку;91,2010894141769
32;175;127;Бирск-Баймурзино;21,0291353515668
33;178;120;Бирск-Мишкино;15,01401211293
34;183;110;В. Яркеево-Дюртюли;33,4038199588688
35;105;762;Верхнеяркеево - Нефтекамск;86,585601030852
36;115;917;Верхнеяркеево - Туймазы;101,788084204338
37;52;536;Дюртюли - Уфа;116,119802372825
38;188;107;Дюртюли- Базитамак;22,1439903079474
39;11;115;Дюртюли-Бирск (переправа);43,4462651105935
40;84;611;Исянгулово - Уфа;128,623425653658
41;5;102;Ишимбай - Стерлитамак;29,5388651354161
42;92;653;Караидель - Бирск;83,1079084961503
43;120;968;Караидель - Нефтекамск;180,000526332456
44;208;102;Кумертау-Ермолаево;7,45900011062622
45;123;105;Кумертау-Кинзебаево;31,8270603470788
46;148;101;Кумертау-Мелеуз;25,0322529853936
47;9;110;Кумертау-Михайловка;37,8572078280228
48;15;118;Кумертау-Мраково;55,3939966513151
49;209;116;Кутлугуза-Стерлитамак;50,7192648587652
50;67;581;Мелеуз - Уфа;176,978497542587
51;32;225;Мелеуз-Мраково;55,7345510131577
52;34;229;Мелеуз-Федоровка;45,2706451734397
53;212;241;Мелеуз-Юмагузино;43,397101416367
54;217;116-2;Нефтекамск - Амзя - 9 км;15,0453145390888
55;93;671;Нефтекамск - Бирск;96,0603454942667
56;96;675;Нефтекамск - В. Татышлы - Ст. Балтачево;79,044455094771
57;219;112 э;Нефтекамск - Карманово;22,9584455481896
58;125;106;Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;46,5107800772435
59;74;588;Нефтекамск АВ - Уфа (Южный автовокзал);153,699286012828
60;221;116;Нефтекамск-Амзя;17,6664434066396
61;222;111;Нефтекамск-Зубовка с/о;9,52413591581886
62;224;113;Нефтекамск-Калтасы;26,4601231656174
63;225;112;Нефтекамск-Кармановская ГРЭС;17,8983739800024
64;226;132;Нефтекамск-Карякино;9,22399997711182
65;12;115;Нефтекамск-Красный Холм;41,85992067563
66;150;102;Нефтекамск-Куяново;31,8070685538173
67;227;110;Нефтекамск-Саузбашево;36,0743937962161
68;229;108;Нефтекамск-Ст.Уразаево с/о;10,1023935279714
69;231;114;Нефтекамск-Янаул;35,7454195511785
70;86;619;Октябрьский - Белебей;67,9087119461531
71;87;621;Октябрьский - Ермекеево;41,5874504500476
72;88;626;Октябрьский - Нефтекамск;170,800811421318
73;112;822;Октябрьский - Стерлитамак через Туймазы;127,317000199966
74;236;106;Октябрьский - Туймазы ч/з Нарышево;20,7680477380949
75;136;600;Октябрьский - Уфа экспресс;178,810034405857
76;127;12;Октябрьский- Серафимовский;28,193000793457
77;158;106;Октябрьский-Туймазы;17,1387367541771
78;238;113;Октябрьский-Шахово;29,4279193217013
79;242;116;Петровск (Петровское)-Стерлитамак;36,0442327406095
80;243;103;Петровск-Макарово-Стерлитамак;34,2337120397939
81;100;717;Приютово - Октябрьский;53,0623863817181
82;142;623;Приютово - Стерлитамак;90,8592822696091
