128;"""Уфа (Мега) - Сады """"Нарат""""""";152;"AMOUNT:      13860; AVGDIST:         58";"AMOUNT:       1123; AVGDIST:         18"
48;Уфа ( Мега) - Белебей;530;"AMOUNT:      32709; AVGDIST:        196";"AMOUNT:        450; AVGDIST:         95"
66;Уфа (Мега) - Акъяр;578;"AMOUNT:      11089; AVGDIST:        252";"AMOUNT:      13971; AVGDIST:         97"
23;Уфа (Мега) - Александровка;154;"AMOUNT:       2641; AVGDIST:         45";"AMOUNT:        452; AVGDIST:         12"
68;Уфа (Мега) - Архангельское ч/з Булгаково;582;"AMOUNT:      13691; AVGDIST:         93";"AMOUNT:        484; AVGDIST:         33"
83;Уфа (Мега) - Архангельское ч/з Кабаково;604;"AMOUNT:      10371; AVGDIST:         84";"AMOUNT:        433; AVGDIST:         16"
47;Уфа (Мега) - Белебей ч/з Раевку;530Р;"AMOUNT:      56700; AVGDIST:        199";"AMOUNT:       3034; AVGDIST:         41"
59;Уфа (Мега) - Бижбуляк ч/з Аксеново;560;"AMOUNT:      16188; AVGDIST:        198";"AMOUNT:        128; AVGDIST:         80"
182;Уфа (Мега) - Бузовьязы;129к;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
359;Уфа (Мега) - Бузовьязы;129к;"AMOUNT:        225; AVGDIST:         53";"AMOUNT:          0; AVGDIST:          0"
79;Уфа (Мега) - Валентиновка;592;"AMOUNT:       9494; AVGDIST:        102";"AMOUNT:        807; AVGDIST:         30"
84;Уфа (Мега) - Исянгулово;611;"AMOUNT:      39142; AVGDIST:        160";"AMOUNT:      31365; AVGDIST:        105"
101;Уфа (Мега) - Кандры;737;"AMOUNT:       5802; AVGDIST:        167";"AMOUNT:         87; AVGDIST:         66"
196;Уфа (Мега) - Кармаскалы;253соц;"AMOUNT:          0; AVGDIST:          0";"AMOUNT:          0; AVGDIST:          0"
195;Уфа (Мега) - Кармаскалы ч/з Шаймуратово;253к;"AMOUNT:       1771; AVGDIST:         44";"AMOUNT:       1529; AVGDIST:         46"
131;Уфа (Мега) - Красноусольск;552;"AMOUNT:          6; AVGDIST:        139";"AMOUNT:          0; AVGDIST:          0"
67;Уфа (Мега) - Мелеуз;581;"AMOUNT:       2945; AVGDIST:        198";"AMOUNT:          0; AVGDIST:          0"
82;Уфа (Мега) - Мраково;601;"AMOUNT:       1412; AVGDIST:        196";"AMOUNT:       5480; AVGDIST:         45"
152;Уфа (Мега) - Октябрьский через Серафимовку;600 С;"AMOUNT:      10407; AVGDIST:        164";"AMOUNT:         69; AVGDIST:         62"
81;Уфа (Мега) - Октябрьский через Туймазы;600 Т;"AMOUNT:     134475; AVGDIST:        185";"AMOUNT:      39545; AVGDIST:         65"
136;Уфа (Мега) - Октябрьский экспресс;600;"AMOUNT:      42845; AVGDIST:        179";"AMOUNT:       3978; AVGDIST:         73"
103;Уфа (Мега) - Саит-Баба;741;"AMOUNT:      16120; AVGDIST:        116";"AMOUNT:        787; AVGDIST:         17"
132;Уфа (Мега) - сан. Красноусольск;552С;"AMOUNT:      11685; AVGDIST:        139";"AMOUNT:        252; AVGDIST:         52"
109;Уфа (Мега) - Сибай;798;"AMOUNT:       4048; AVGDIST:        204";"AMOUNT:       7239; AVGDIST:        147"
49;Уфа (Мега) - Стерлитамак АВ;531;"AMOUNT:     137598; AVGDIST:        132";"AMOUNT:      12768; AVGDIST:         60"
