LINENAME;DIRECTIONCODE;TIMEPROFILENAME;INDEX;POSTRUNTIME;POSTLENGTH;ACCUMRUNTIME;STOPTIME;LINEROUTEITEM\STOPPOINT\NAME
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;21;67;0.461199172;2006;25;Мебельная фабрика
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;22;65;0.455689853;2098;25;Промкомбинат
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;23;113;0.786813235;2188;25;Уфимский фанерно-плиточный комбинат (УПФК)
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;24;74;0.513163687;2326;25;Ул. Саляма
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;25;120;0.843487333;2425;25;Ул. Рабочая
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;26;119;0.826701293;2570;25;"Автоцентр ""Субару"""
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;27;177;1.232099497;2714;25;Ул. Дзержинского
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;28;71;0.496487647;2916;20;Ул. Аксакова
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;29;81;0.563772313;3007;20;Ул. Красина
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;30;41;0.280423068;3108;20;Ул. Коммунистическая
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;31;42;0.294722286;3169;25;Башгосфилармония
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;32;90;0.701089217;3236;25;Уфимский государственный авиационный технический университет (УГАТУ)
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;33;73;0.600011297;3351;20;"Гостиница ""Башкортостан"""
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;34;66;0.468499312;3444;20;"Банк ""Уралсиб"""
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;<;B;35;0;0;3530;0;"Ледовый дворец ""Уфа-Арена"""
Г 024 Левый берег р. Белой - Школа №128;<;B;1;98;0.679819613;0;0;Ул. Летчиков
Г 024 Левый берег р. Белой - Школа №128;<;B;2;46;0.31928971;98;20;Михайловский поворот
Г 024 Левый берег р. Белой - Школа №128;<;B;3;58;0.403298854;164;20;Ул. Шмидта
Г 024 Левый берег р. Белой - Школа №128;<;B;4;41;0.284816721;242;20;"Рынок ""Зареченский"""
Г 024 Левый берег р. Белой - Школа №128;<;B;5;71;0.4950207;303;20;Школа №46
Г 024 Левый берег р. Белой - Школа №128;<;B;6;38;0.26852047;394;20;Речное училище
Г 024 Левый берег р. Белой - Школа №128;<;B;7;46;0.321766776;452;20;Ул. Пожарского
Г 024 Левый берег р. Белой - Школа №128;<;B;8;93;0.648024797;518;20;Ул. Ахметова
Г 024 Левый берег р. Белой - Школа №128;<;B;9;124;0.862402906;631;25;Баня
Г 024 Левый берег р. Белой - Школа №128;<;B;10;76;0.529249021;780;25;Ул. Волжская
Г 024 Левый берег р. Белой - Школа №128;<;B;11;85;0.594777484;881;25;Ул. Береговая
Г 024 Левый берег р. Белой - Школа №128;<;B;12;0;0;991;0;Левый берег р. Белой
Г 024 Левый берег р. Белой - Школа №128;>;B;1;81;0.564399063;0;0;Левый берег р. Белой
Г 024 Левый берег р. Белой - Школа №128;>;B;2;74;0.51485518;81;25;Ул. Береговая
Г 024 Левый берег р. Белой - Школа №128;>;B;3;136;0.95056241;180;25;Ул. Волжская
Г 024 Левый берег р. Белой - Школа №128;>;B;4;77;0.534864145;341;25;Баня
Г 024 Левый берег р. Белой - Школа №128;>;B;5;60;0.422767867;443;20;Ул. Ахметова
Г 024 Левый берег р. Белой - Школа №128;>;B;6;47;0.324128731;523;20;Ул. Пожарского
Г 024 Левый берег р. Белой - Школа №128;>;B;7;48;0.335857867;590;20;Речное училище
Г 024 Левый берег р. Белой - Школа №128;>;B;8;37;0.260918807;658;20;Школа №46
Г 024 Левый берег р. Белой - Школа №128;>;B;9;62;0.429430523;715;20;"Рынок ""Зареченский"""
Г 024 Левый берег р. Белой - Школа №128;>;B;10;52;0.358908573;797;20;Ул. Шмидта
Г 024 Левый берег р. Белой - Школа №128;>;B;11;118;0.824410704;869;20;Михайловский поворот
Г 024 Левый берег р. Белой - Школа №128;>;B;12;0;0;1007;0;Ул. Летчиков
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;1;63;0.438582229;0;0;"Оздоровительный комплекс ""Сипайловский"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;2;107;0.739184986;63;20;Гипермаркет О`кей
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;3;102;0.70778603;190;25;Парк Кашкадан
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;4;24;0.163704889;317;20;"Детско-юношеский центр ""Салям"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;5;102;0.704633516;361;20;Ателье мод
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;6;77;0.53641139;483;20;Ул. Максима Рыльского
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;7;50;0.347598282;580;20;Ул. Юрия Гагарина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;8;59;0.405125501;650;20;"Супермаркет ""Матрица"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;9;51;0.351;729;20;Ул. Маршала Жукова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;10;108;0.753405527;800;20;Ул. Баязита Бикбая
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;11;52;0.355929907;928;25;Уфимское автотранспортное предприятие №6
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;12;99;0.690434955;1005;25;Ул. Ватутина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;13;40;0.277622084;1129;25;"Завод ""Авиаспецмонтаж"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;14;83;0.574968725;1194;25;Ул. Чайковского
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;15;99;0.691367825;1302;25;Фанерный комбинат
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;16;93;0.649396474;1426;20;Вторая площадка УМПО
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;17;151;1.044871395;1539;25;"ОАО ""Башмебель"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;18;22;0.172929581;1715;25;Городской Дворец культуры
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;19;53;0.448681377;1762;25;Ул. Трамвайная
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;20;211;1.69239718;1840;20;Парк им. Калинина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;21;62;0.433285514;2071;20;Ул. Комарова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;22;72;0.499414205;2153;20;Уфимский государственный нефтяной технический университет
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;23;50;0.344793376;2245;20;Ул. Космонавтов
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;24;38;0.260689449;2315;20;Площадь им. Серго Орджоникидзе
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;25;100;0.691428003;2373;20;Уфимский топливно-энергетический колледж
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;26;54;0.382410058;2493;20;Детский сад №80
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;27;90;0.629032463;2567;20;Орджоникидзевское РУВД
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;28;80;0.563925662;2677;25;Ул. Войкова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;29;42;0.295398964;2782;20;"Станция ""Бензин"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;B;30;0;0;2844;0;Теплоэнергоцентраль-1 (ТЭЦ-1)
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;1;44;0.309213925;0;0;Теплоэнергоцентраль-1 (ТЭЦ-1)
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;2;78;0.550846546;44;20;"Станция ""Бензин"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;3;99;0.693426145;142;20;Ул. Войкова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;4;54;0.374809583;261;20;Орджоникидзевское РУВД
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;5;70;0.490477683;335;20;Детский сад №80
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;6;35;0.243336798;425;20;Уфимский топливно-энергетический колледж
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;7;56;0.390362038;480;20;Площадь им. Серго Орджоникидзе
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;8;76;0.524368488;556;20;Ул. Конституции
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;9;52;0.366965407;652;20;"Стадион ""Нефтяник"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;10;86;0.593261904;724;20;Парк Победы
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;11;72;0.499625505;830;20;Уфимский государственный нефтяной технический университет
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;12;229;1.839869487;922;20;Ул. Комарова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;13;70;0.566709893;1171;20;Парк им. Калинина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;14;148;1.029362255;1261;20;Городской Дворец культуры
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;15;103;0.717683905;1429;20;"ОАО ""Башмебель"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;16;91;0.632025168;1552;25;Вторая площадка УМПО
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;17;87;0.601864582;1668;25;Фанерный комбинат
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;18;36;0.255350619;1780;25;Ул. Чайковского
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;19;98;0.679447441;1841;25;"Завод ""Авиаспецмонтаж"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;20;57;0.394835521;1964;25;Ул. Ватутина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;21;91;0.631355451;2046;25;Уфимское автотранспортное предприятие №6
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;22;75;0.514137369;2162;20;Ул. Баязита Бикбая
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;23;48;0.333269637;2257;20;Ул. Маршала Жукова
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;24;69;0.482471092;2325;20;"Супермаркет ""Матрица"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;25;85;0.586569685;2414;20;Ул. Юрия Гагарина
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;26;57;0.394245693;2519;20;Ул. Максима Рыльского
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;27;35;0.241578873;2596;20;Ателье мод
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;28;75;0.518283877;2651;20;"Детско-юношеский центр ""Салям"""
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;29;46;0.321294163;2746;20;Ул. Набережная
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;<;B;30;0;0;2812;0;"Оздоровительный комплекс ""Сипайловский"""
Г 034 Ул. Гилева - Узловая автобаза;<;B;1;44;0.309376919;0;0;Узловая автобаза
Г 034 Ул. Гилева - Узловая автобаза;<;B;2;34;0.234497444;44;25;Ул. Глазовская
Г 034 Ул. Гилева - Узловая автобаза;<;B;3;89;0.619704485;103;25;Озеро Кустаревское
Г 034 Ул. Гилева - Узловая автобаза;<;B;4;217;1.50362525;217;25;Ул. Демьяна Бедного
Г 034 Ул. Гилева - Узловая автобаза;<;B;5;507;3.520673231;459;25;Мкр. «Яркий»
Г 034 Ул. Гилева - Узловая автобаза;<;B;6;74;0.521017545;991;25;Ул. Правды
Г 034 Ул. Гилева - Узловая автобаза;<;B;7;80;0.555517296;1090;25;"Дворец детского и юношеского творчества ""Орион"""
Г 034 Ул. Гилева - Узловая автобаза;<;B;8;82;0.575439164;1195;20;Музей 112 Башкирской кавалерийской дивизии
Г 034 Ул. Гилева - Узловая автобаза;<;B;9;85;0.591804488;1297;20;Ул. Новороссийская
Г 034 Ул. Гилева - Узловая автобаза;<;B;10;31;0.213805235;1402;25;Ул. Гатчинская
Г 034 Ул. Гилева - Узловая автобаза;<;B;11;88;0.611206102;1458;25;Переулок Павлика Морозова
Г 034 Ул. Гилева - Узловая автобаза;<;B;12;97;0.674198407;1571;25;Демское кладбище
Г 034 Ул. Гилева - Узловая автобаза;<;B;13;34;0.239839132;1693;25;Переулок Баланово
Г 034 Ул. Гилева - Узловая автобаза;<;B;14;61;0.426661629;1752;25;Баланово
Г 034 Ул. Гилева - Узловая автобаза;<;B;15;0;0;1838;0;Ул. Гилева
Г 034 Ул. Гилева - Узловая автобаза;>;B;1;69;0.483698886;0;0;Ул. Гилева
Г 034 Ул. Гилева - Узловая автобаза;>;B;2;30;0.206867459;69;25;Баланово
Г 034 Ул. Гилева - Узловая автобаза;>;B;3;178;1.239955767;124;25;Переулок Баланово
Г 034 Ул. Гилева - Узловая автобаза;>;B;4;39;0.272236001;327;25;Переулок Павлика Морозова
Г 034 Ул. Гилева - Узловая автобаза;>;B;5;85;0.59229085;391;25;Ул. Гатчинская
Г 034 Ул. Гилева - Узловая автобаза;>;B;6;72;0.500278101;501;20;Ул. Новороссийская
Г 034 Ул. Гилева - Узловая автобаза;>;B;7;79;0.547646328;593;25;Музей 112 Башкирской кавалерийской дивизии
Г 034 Ул. Гилева - Узловая автобаза;>;B;8;49;0.343402388;697;25;"Дворец детского и юношеского творчества ""Орион"""
Г 034 Ул. Гилева - Узловая автобаза;>;B;9;360;2.497769825;771;25;Ул. Правды
Г 034 Ул. Гилева - Узловая автобаза;>;B;10;223;1.546502551;1156;25;Мкр. «Яркий»
Г 034 Ул. Гилева - Узловая автобаза;>;B;11;77;0.535257479;1404;25;Ул. Демьяна Бедного
Г 034 Ул. Гилева - Узловая автобаза;>;B;12;45;0.312679392;1506;25;Озеро Кустаревское
Г 034 Ул. Гилева - Узловая автобаза;>;B;13;39;0.272764677;1576;25;Ул. Глазовская
Г 034 Ул. Гилева - Узловая автобаза;>;B;14;0;0;1640;0;Узловая автобаза
Г 035 ст. Шакша - ДК УМПО;>;B;1;462;3.208209058;0;0;Дворец культуры Уфимского моторостроительного производственного объединения (ДК УМПО)
Г 035 ст. Шакша - ДК УМПО;>;B;2;138;0.960845999;462;20;Тарная база
Г 035 ст. Шакша - ДК УМПО;>;B;3;75;0.520273922;620;20;Черниковское лесничество
Г 035 ст. Шакша - ДК УМПО;>;B;4;113;0.785248444;715;20;"Торгово-ярмарочный комплекс ""Юлдаш"""
Г 035 ст. Шакша - ДК УМПО;>;B;5;191;1.325629461;848;20;Водоканал
Г 035 ст. Шакша - ДК УМПО;>;B;6;176;1.225213635;1059;20;Правая Уфимка
Г 035 ст. Шакша - ДК УМПО;>;B;7;185;1.288570939;1255;20;Сады Локомотив
Г 035 ст. Шакша - ДК УМПО;>;B;8;35;0.24387986;1460;20;Уфимский завод металлических и пластмассовых изделий (УЗМПИ)
Г 035 ст. Шакша - ДК УМПО;>;B;9;104;0.726816594;1515;20;Шакша
Г 035 ст. Шакша - ДК УМПО;>;B;10;89;0.623911185;1639;20;Ул. Малая
Г 035 ст. Шакша - ДК УМПО;>;B;11;292;2.034264692;1748;20;Сад №40
Г 035 ст. Шакша - ДК УМПО;>;B;12;113;0.787679084;2060;20;"ОАО ""Крупнопанельное домостроение"" (КПД)"
Г 035 ст. Шакша - ДК УМПО;>;B;13;118;0.820321741;2193;20;Керамзитный завод
Г 035 ст. Шакша - ДК УМПО;>;B;14;42;0.291781515;2331;20;"Автоцентр ""КАМАЗ"""
Г 035 ст. Шакша - ДК УМПО;>;B;15;136;0.950690524;2393;20;"Индустриальный парк ООО ""ПромЦентр"""
Г 035 ст. Шакша - ДК УМПО;>;B;16;96;0.668437046;2549;20;Керамический завод
Г 035 ст. Шакша - ДК УМПО;>;B;17;44;0.305122732;2665;20;Пожарное депо
Г 035 ст. Шакша - ДК УМПО;>;B;18;108;0.75645607;2729;20;"Рынок ""Шакшинский"""
Г 035 ст. Шакша - ДК УМПО;>;B;19;0;0;2857;0;Станция Шакша
Г 035 ст. Шакша - ДК УМПО;<;B;1;99;0.692227702;0;0;Станция Шакша
Г 035 ст. Шакша - ДК УМПО;<;B;2;60;0.420893434;99;20;"Рынок ""Шакшинский"""
Г 035 ст. Шакша - ДК УМПО;<;B;3;95;0.66196308;179;20;Пожарное депо
Г 035 ст. Шакша - ДК УМПО;<;B;4;104;0.724622156;294;20;Керамический завод
Г 035 ст. Шакша - ДК УМПО;<;B;5;74;0.513103255;418;20;"Индустриальный парк ООО ""ПромЦентр"""
Г 035 ст. Шакша - ДК УМПО;<;B;6;122;0.851606257;512;20;"Автоцентр ""КАМАЗ"""
Г 035 ст. Шакша - ДК УМПО;<;B;7;98;0.678;654;20;Керамзитный завод
Г 035 ст. Шакша - ДК УМПО;<;B;8;305;2.127938241;772;20;"ОАО ""Крупнопанельное домостроение"" (КПД)"
Г 035 ст. Шакша - ДК УМПО;<;B;9;76;0.530775662;1097;20;Сад №40
Г 035 ст. Шакша - ДК УМПО;<;B;10;103;0.721127968;1193;20;Ул. Малая
Г 035 ст. Шакша - ДК УМПО;<;B;11;49;0.340625772;1316;20;Шакша
Г 035 ст. Шакша - ДК УМПО;<;B;12;190;1.326879791;1385;20;Уфимский завод металлических и пластмассовых изделий (УЗМПИ)
Г 035 ст. Шакша - ДК УМПО;<;B;13;150;1.044;1595;20;Сады Локомотив
Г 035 ст. Шакша - ДК УМПО;<;B;14;192;1.334962139;1765;20;Правая Уфимка
Г 035 ст. Шакша - ДК УМПО;<;B;15;112;0.777680804;1977;20;Водоканал
Г 035 ст. Шакша - ДК УМПО;<;B;16;78;0.535766643;2109;20;"Торгово-ярмарочный комплекс ""Юлдаш"""
Г 035 ст. Шакша - ДК УМПО;<;B;17;123;0.854506733;2207;20;Черниковское лесничество
Г 035 ст. Шакша - ДК УМПО;<;B;18;719;4.99865708;2350;20;Тарная база
Г 035 ст. Шакша - ДК УМПО;<;B;19;0;0;3089;0;Дворец культуры Уфимского моторостроительного производственного объединения (ДК УМПО)
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;1;82;0.652863269;0;0;"Гостиница ""Башкортостан"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;2;72;0.501701948;82;20;Трансагентство
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;3;79;0.544626995;174;20;"Кинотеатр ""Родина"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;4;58;0.402;273;20;Агентство аэрофлота
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;5;50;0.346947727;351;20;Дом профсоюзов
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;6;59;0.405654228;421;20;Ул. Революционная
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;7;42;0.291740747;500;20;Парк им. Ивана Якутова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;8;109;0.762754573;562;20;Дворец культуры железнодорожников
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;9;125;0.872017691;691;25;Бульвар Ибрагимова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;10;68;0.472101976;841;25;ПроходнаяУфимского завода эластомерных материалов и конструкций (проходная УЗЭМИК)
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;11;199;1.385720957;934;25;"Завод ""Магнетрон"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;12;63;0.440320506;1158;20;Южный автовокзал
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;13;92;0.634375543;1241;20;Башкирский медицинский колледж
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;14;91;0.648178458;1353;25;Дворец Спорта
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;15;48;0.397563277;1469;20;Спортивная
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;16;77;0.558067171;1537;20;Юношеская библиотека
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;17;88;0.614479608;1634;25;Ул. Комсомольская
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;18;42;0.293259794;1747;25;Ул. Лесотехникума
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;19;102;0.704450877;1814;20;"Кинотеатр ""Искра"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;20;127;0.883672512;1936;20;Глумилино
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;21;64;0.442580054;2083;20;Ул. Кольская
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;22;130;0.900694491;2167;25;"Кинотеатр ""Смена"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;23;48;0.33634109;2322;25;Художественно-промышленный колледж
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;24;98;0.679447441;2395;25;"Завод ""Авиаспецмонтаж"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;25;57;0.394835521;2518;25;Ул. Ватутина
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;26;91;0.631355451;2600;25;Уфимское автотранспортное предприятие №6
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;27;76;0.522897563;2716;20;Ул. Баязита Бикбая
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;28;61;0.420380387;2812;20;Ул. Маршала Жукова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;29;49;0.345590151;2893;20;АЗС №12
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;30;65;0.456409929;2962;25;Ул. Н. Ковшовой
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;31;87;0.605632518;3052;25;Школа №37
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;B;32;0;0;3164;0;Ул. Юрия Гагарина
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;1;66;0.459612488;0;0;Ул. Юрия Гагарина
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;2;47;0.327778697;66;25;Школа №37
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;3;44;0.309604333;138;25;Ул. Н. Ковшовой
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;4;87;0.600858214;207;20;АЗС №12
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;5;51;0.351;314;20;Ул. Маршала Жукова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;6;108;0.753405527;385;20;Ул. Баязита Бикбая
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;7;52;0.355929907;513;25;Уфимское автотранспортное предприятие №6
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;8;99;0.690434955;590;25;Ул. Ватутина
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;9;58;0.401917414;714;25;"Завод ""Авиаспецмонтаж"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;10;140;0.973524423;797;25;Художественно-промышленный колледж
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;11;68;0.469444231;962;20;"Кинотеатр ""Смена"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;12;89;0.617638221;1050;20;Ул. Кольская
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;13;29;0.20047116;1159;20;Глумилино
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;14;75;0.520571944;1208;25;Бульвар Тюлькина
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;15;148;1.032587824;1308;20;"Кинотеатр ""Искра"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;16;60;0.433306577;1476;25;Ул. Комсомольская
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;17;83;0.662971196;1561;20;Юношеская библиотека
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;18;85;0.583831195;1664;25;Спортивная
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;19;79;0.553807835;1774;25;Дворец Спорта
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;20;69;0.483838598;1878;20;Башкирский медицинский колледж
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;21;184;1.275953381;1967;25;Южный автовокзал
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;22;61;0.42373729;2176;25;"Завод ""Магнетрон"""
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;23;57;0.397714975;2262;25;Проходная Уфимского завода эластомерных материалов и конструкций (проходная УЗЭМИК)
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;24;107;0.748779192;2344;25;Метрологическая
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;25;66;0.459420915;2476;25;Бульвар Ибрагимова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;26;58;0.406616123;2567;20;Дворец культуры железнодорожников
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;27;41;0.283511545;2645;20;Парк им. Ивана Якутова
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;28;47;0.323516352;2706;20;Ул. Революционная
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;29;89;0.612016632;2773;20;Дом профсоюзов
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;30;55;0.381692643;2882;20;Агентство аэрофлота
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;31;86;0.66795006;2957;25;Уфимский государственный авиационный технический университет (УГАТУ)
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;<;B;32;0;0;3068;0;"Гостиница ""Башкортостан"""
Г 043 Северный автовокзал - Новые Черкассы;<;B;1;433;3.009633163;0;0;Новые Черкассы
