ROUTE_N_NAME;DIR;PERIOD;COND;SINCE;TILL;SEASON
М 3(г) ТЭЦ-1 - Белореченский мкрн.;>;12;ПН-ПТ;9:00;16:00;Круглогодично
М 4(г) Уфа-АвтоВАЗ - Белореченский мкрн.;>;6;ПН-ПТ;9:00;16:00;Круглогодично
М 5(г) ОК Сипайловский - ТСК Пушкинский;>;6;ПН-ПТ;9:00;16:00;Круглогодично
М 7(г) Уфимский ДОК - ТЭЦ-1;>;12;ПН-ПТ;9:00;16:00;Круглогодично
М 9(г) НПО Иммунопрепарат - Лесопарковая;>;4;ПН-ПТ;9:00;16:00;Круглогодично
М11(г) ул. Дзержинского - ул. Софьи Перовской - Белореченский мкрн.;>;10;ПН-ПТ;9:00;16:00;Круглогодично
М12(г) ул. Дзержинского - Белореченский мкрн.;>;16;ПН-ПТ;9:00;16:00;Круглогодично
М13(г) МЕГА-Уфа - Южный Автовокзал;>;12;ПН-ПТ;9:00;16:00;Круглогодично
Н-01 ТК Центральный - Елкибаево;>;12;ПН-ПТ;9:00;16:00;Круглогодично
Н-02 Клиника БГМУ - Жилино;>;20;ПН-ПТ;9:00;16:00;Круглогодично
Н-03 Ж.д. ст. Дёма-2 - Романовка;>;30;ПН-ПТ;9:00;16:00;Круглогодично
Г 001(Тм) Железнодорожный вокзал - Санаторий «Зеленая роща»;>;38;ПН-ПТ;9:00;16:00;Круглогодично
Г 008(Тм) Ул. Интернациональная - Парк им. Калинина;>;14;ПН-ПТ;9:00;16:00;Круглогодично
Г 016(Тм) Санаторий «Зеленая роща» - Ул. Пушкина;>;46;ПН-ПТ;9:00;16:00;Круглогодично
М 1(г) Инорс - ТСК Пушкинский;>;6;ПН-ПТ;9:00;16:00;Круглогодично
М 6(г) Театр кукол - Белореченский мкрн.;>;6;ПН-ПТ;9:00;16:00;Круглогодично
М 8(г) Уфимский ДОК - стадион Нефтяник - Северный автовокзал;>;8;ПН-ПТ;9:00;16:00;Круглогодично
М10(г) Кадетский корпус - ТК Центральный;>;4;ПН-ПТ;9:00;16:00;Круглогодично
Г 009 Северный автовокзал - Пос. Турбаслы;>;13;ПН-ПТ;16:00;18:00;Круглогодично
Г 010 ДК УМПО - пос. Максимовка;>;3;ПН-ПТ;16:00;18:00;Круглогодично
Г 015 Северный автовокзал - Северное кладбище;>;30;ПН-ПТ;16:00;18:00;Круглогодично
Г 016А Ул. Крайняя - ул. Дагестанская;>;15;ПН-ПТ;16:00;18:00;Круглогодично
Г 022 Ледовый дворец «Уфа-Арена» - Нижегородка;>;23;ПН-ПТ;16:00;18:00;Круглогодично
Г 022А Ледовый дворец «Уфа-Арена» - Нижегородка;>;27;ПН-ПТ;16:00;18:00;Круглогодично
Г 024 Левый берег р. Белой - Школа №128;>;30;ПН-ПТ;17:00;18:00;Круглогодично
Г 027 Оздоровительный комплекс «Сипайловский» - ТЭЦ-1;>;10;ПН-ПТ;16:00;18:00;Круглогодично
Г 034 Ул. Гилева - Узловая автобаза;>;60;ПН-ПТ;16:00;18:00;Круглогодично
Г 035 ст. Шакша - ДК УМПО;>;9;ПН-ПТ;16:00;18:00;Круглогодично
Г 039 Гостиница «Башкортостан» - Ул. Ю. Гагарина;>;9;ПН-ПТ;16:00;18:00;Круглогодично
Г 043 Северный автовокзал - Новые Черкассы;>;11;ПН-ПТ;16:00;18:00;Круглогодично
Г 055 мкр Белореченский - ТК Центральный;>;15;ПН-ПТ;16:00;18:00;Круглогодично
Г 057А Уфимское управление буровых работ - Больница №21;>;19;ПН-ПТ;16:00;18:00;Круглогодично
Г 071 Уфимский ДОК- ТРЦ Планета;>;20;ПН-ПТ;16:00;18:00;Круглогодично
Г 073 Больница №21 - ТЦ МЕГА-УФА;>;10;ПН-ПТ;16:00;18:00;Круглогодично
Г 200 Адмирала Макарова - Южный микрорайон;>;10;ПН-ПТ;16:00;18:00;Круглогодично
Г 202 Школа-лицей №2 - Городской Дворец культуры;>;5;ПН-ПТ;16:00;18:00;Круглогодично
Г 203 Кузнецовский затон - ТРЦ Планета;>;15;ПН-ПТ;16:00;18:00;Круглогодично
Г 204 Улица Вологодская - Больница №18;>;11;ПН-ПТ;16:00;18:00;Круглогодично
Г 205 Улица Парковая - Телецентр;>;8;ПН-ПТ;16:00;18:00;Круглогодично
Г 206 Паромная переправа -Базилевские сады;>;40;ПН-ПТ;17:00;18:00;Летнее
Г 207 Уфимский ДОК - ТРЦ Планета;>;11;ПН-ПТ;16:00;18:00;Круглогодично
Г 209 ОК Сипайловский - АБЗ;>;8;ПН-ПТ;16:00;18:00;Круглогодично
Г 217 Северный автовокзал - п. Максимовка;>;8;ПН-ПТ;16:00;18:00;Круглогодично
Г 218 Микрорайон Дема (Ул. Гилева) - Дема-2;>;14;ПН-ПТ;16:00;18:00;Круглогодично
Г 220 Профилакторий «Радуга» - Южный автовокзал;>;8;ПН-ПТ;16:00;18:00;Круглогодично
Г 222 Оздоровительный комплекс «Сипайловский» - Больница №18;>;9;ПН-ПТ;16:00;18:00;Круглогодично
Г 229 Оздоровительный комплекс «Сипайловский» - Торгово-сервисный комплекс «Северный» - Химпром;>;9;ПН-ПТ;16:00;18:00;Круглогодично
Г 236 Филиал «Уфагаз» ОАО «Газсервис» (Уфагаз) - Ледовый дворец «Уфа-Арена» - Микрорайон Шакша;>;12;ПН-ПТ;16:00;18:00;Круглогодично
Г 238 Микрорайон Молодёжный - ул. Дзержинского;>;11;ПН-ПТ;16:00;18:00;Круглогодично
Г 242 ТСК «8-ое Марта» - Аптека №2 - ТСК «8-ое Марта» (ч/з ул. Революционная);>;6;ПН-ПТ;16:00;18:00;Круглогодично
Г 242А ТСК «8-ое Марта» - Аптека №2 - ТСК «8-ое Марта» (ч/з ул. Революционная);>;7;ПН-ПТ;16:00;18:00;Круглогодично
Г 246 Мега-Икеа - Микрорайон Мечта;>;23;ПН-ПТ;16:00;18:00;Круглогодично
Г 251 Оздоровительный комплекс «Сипайловский» - Железнодорожный вокзал - Ул. Дзержинского;>;6;ПН-ПТ;16:00;18:00;Круглогодично
