М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
П 121 к Кабаково - Уфа (п.Якутова);"Кабаково, Сальзигутово, Конезавод, ""Сады """"Уршак"""""", Металлобаза, д. Мокроусово, ""Кафе """"Отдых"""""", Ул. Школьная, Ул. Новомостовая, ""Ледовый дворец """"Уфа-Арена""""""";"""Ледовый дворец """"Уфа-Арена"""""", Ул. Новомостовая, Ул. Школьная, ""Кафе """"Отдых"""""", д. Мокроусово, Металлобаза, ""Сады """"Уршак"""""", Конезавод, Сальзигутово, Кабаково"
П 121 Нефтекамск - Калегино;Нефтекамск АВ, Кутлинка, Кариево, пер. Кутерем, Калегино;Калегино, пер. Кутерем, Кариево, Кутлинка, Нефтекамск АВ
П 121 соц Уфа (Южный автовокзал) - Тимкино;"Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", БГАУ, Ул. Школьная, ""Кафе """"Отдых"""""", Поворот Аэропорт, Булгаково, Сихонкино, Н.Тимкино";"Н.Тимкино, Сихонкино, Булгаково, Поворот Аэропорт, ""Кафе """"Отдых"""""", Ул. Школьная, БГАУ, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 122 Авдон - Уфа;"Южный автовокзал, Ул. им. города Галле, ""Фирма """"Мир"""""", Дом печати, ""Банк """"Уралсиб"""""", ""Гостиница """"Башкортостан"""""", Гостиный двор, Советская площадь, Национальный музей РБ, Ул. Новомостовая, Ул. Школьная, СУ - 820, пов. на Жуково, Авдон";"Авдон, пов. на Жуково, СУ - 820, Ул. Школьная, Ул. Новомостовая, Национальный музей РБ, Советская площадь, Гостиный двор, ""Гостиница """"Башкортостан"""""", ""Банк """"Уралсиб"""""", Дом печати, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 122 Стерлитамак - Кармаскалы;Стерлитамак АВ, Казадаевка, Кармаскалы;Кармаскалы, Казадаевка, Стерлитамак АВ
П 122 Уфа (Бульвар Славы) - Авдон;Городской Дворец культуры, Бульвар Славы, Ул. Школьная, Музей 112 дивизии, СУ - 820, пов. на Жуково, Уптино, Авдон;Авдон, Уптино, пов. на Жуково, СУ - 820, Музей 112 дивизии, Ул. Школьная, Бульвар Славы, Городской Дворец культуры
П 123 Бирск - Каргино;Бирск АВ, Баженово, Зеленый, Бикшиково, Чебыково, Кайраково, Каргино;Каргино, Кайраково, Чебыково, Бикшиково, Зеленый, Баженово, Бирск АВ
П 123 Уфа (Южный АВ) - сады Лесная поляна;"Южный автовокзал, Проходная УЗЭМИК, ""ТК """"Центральный"""""", Поликлиника №5, Трансагентство, Национальный музей РБ, Ул. Школьная, Мелькомбинат, ""Кафе """"Отдых"""""", ""Сады """"Лесная поляна""""""";"""Сады """"Лесная поляна"""""", ""Кафе """"Отдых"""""", Мелькомбинат, Ул. Школьная, ""Автоцентр """"Рено"""""", Ул. Кирова, Ул. Айская, Ул. 8-ое Марта, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 123 ф Нордовка - Салават;Нордовка, Дмитриевка, Зирган, Салават АВ;Салават АВ, Зирган, Дмитриевка, Нордовка
П 124 а Нордовка - Федоровка;Нордовка, Караяр, Гоголевка, В.Яушево, Федоровка гараж;Федоровка гараж, В.Яушево, Гоголевка, Караяр, Нордовка
П 124 Уфа (Бульвар Славы) - Шипово;"Городской Дворец культуры, Бульвар Славы, Горсовет, Спортивная, Ул. им. города Галле, БГАУ, ""ТК """"Центральный"""""", Ул. Октябрьской Революции, Монумент Дружбы, ""Сады """"Агидель"""""", Населенный пункт Жилино, Населённый пункт Зинино, Населенный пункт Нагаево, сады  Акбердино, Акбердино, Куяново, Блохино, Карамалы, Шипово";"Шипово, Карамалы, Блохино, Куяново, Акбердино, сады  Акбердино, Населенный пункт Нагаево, Населённый пункт Зинино, Населенный пункт Жилино, ""Сады """"Агидель"""""", Монумент Дружбы, Ул. Октябрьской Революции, ""ТК """"Центральный"""""", БГАУ, Ул. им. города Галле, Спортивная, Горсовет, Бульвар Славы, Городской Дворец культуры"
П 124 ф Федоровка - Нордовка;Федоровка гараж, Кузьминовка МГ,, Карагуш, Кабакуш, Кундряк, Караяр, Нордовка;Нордовка, Караяр, Кундряк, Кабакуш, Карагуш, Кузьминовка МГ,, Федоровка гараж
П 125 Стерлитамак - Сады Ильмень;Стерлитамак АВ, Колхозный Рынок, Сады Ильмень;Сады Ильмень, Колхозный Рынок, Стерлитамак АВ
П 125 Уфа (Южный АВ) - Федоровка;"Южный автовокзал, Проходная УЗЭМИК, ""ТК """"Центральный"""""", Трансагентство, Ул. Новомостовая, Ул. Школьная, Озёрная, ""Кафе """"Отдых"""""", Правая Белая, Жилино, Студеный ключ, Поворот Фёдоровка (Исаково), Микрорайон «Федоровка»";"Микрорайон «Федоровка», Поворот Фёдоровка (Исаково), Студеный ключ, Жилино, Правая Белая, ""Автоцентр """"Рено"""""", Ул. Айская, Ул. 8-ое Марта, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 126 Стерлитамак - Сады Веселое;Стерлитамак АВ, Колхозный Рынок, ВТС, Ашкадар, Веселое, Сады Веселое, Сады Родничок;Сады Родничок, Сады Веселое, Веселое, Ашкадар, ВТС, Колхозный Рынок, Стерлитамак АВ
П 126 Уфа - сады Автомобилист;"Южный автовокзал, Проходная УЗЭМИК, ""ТК """"Центральный"""""", Трансагентство, Ул. Новомостовая, Ул. Школьная, ""Кафе """"Отдых"""""", Зубово, перекрёсток Нижегородка, Таптыково, перекрёсток Осоргино, Поворот, д. Лекаревка, ""Сады """"Автомобилист""""""";"""Сады """"Автомобилист"""""", д. Лекаревка, Таптыково, перекрёсток Нижегородка, Зубово, ""Автоцентр """"Рено"""""", Ул. Кирова, Ул. Айская, Ул. 8-ое Марта, ""Фирма """"Мир"""""", Ул. им. города Галле, Южный автовокзал"
П 127 Бирск - Баймурзино;Бирск АВ, Баженово, поворот Сосновка, Чураево, поворот Чураево, Баймурзино;Баймурзино, поворот Чураево, Чураево, поворот Сосновка, Баженово, Бирск АВ
П 127 к Алкино-2 - Уфа (Хрусталь);"Алкино-2, поворот Юматово, Сад №2, Сад №1, перекрёсток Авдон, Железнодорожная станция Дема, ""Банк """"Уралсиб""""""";"""Банк """"Уралсиб"""""", Железнодорожная станция Дема, перекрёсток Авдон, Сад №1, Сад №2, поворот Юматово, Алкино-2"
П 127 Нордовка - Б. Четырман;Нордовка, Гавриловка, Златоустовка, Б. Четырман;Б. Четырман, Златоустовка, Гавриловка, Нордовка
П 127 Уфа (Южный автовокзал) - сан. Алкино;Южный автовокзал, Башсбербанк, Ул. Кировоградская, Уфагаз, Центр молодежи, Дом печати, РКБ им. Куватова, Ул. Новомостовая, Ул. Школьная, Железнодорожная станция Дема, перекрёсток Авдон, Сад №1, Сад №2, поворот Юматово, Санаторий Алкино;Санаторий Алкино, поворот Юматово, Сад №2, Сад №1, перекрёсток Авдон, Железнодорожная станция Дема, Ул. Школьная, Ул. Новомостовая, РКБ им. Куватова, Дом печати, Центр молодежи, Уфагаз, Ул. Кировоградская, Башсбербанк, Южный автовокзал
П 128 Месягутово - Шарипово;Месягутово АВ, Сикияз, Шарипово, Мещегарово, Еланыш, Турналы, Чулпан, Ильтаево, Татарский Малояз, Малояз АС;Малояз АС, Татарский Малояз, Ильтаево, Чулпан, Турналы, Еланыш, Мещегарово, Шарипово, Сикияз, Месягутово АВ
П 128 Уфа (Северный АВ) - Карашиды;Северный автовокзал, Колхозный рынок, Новые Черкассы поворот, Развилка, Карашиды;Карашиды, Развилка, Новые Черкассы поворот, Колхозный рынок, Северный автовокзал
