М 109 Кумертау - Тимербаево;Кумертау АВ, Ермолаево, Маячный, Сандин-1, Сандин-2, Якупово, Абдулово, Кинзебизово, Тимербаево;Тимербаево, Кинзебизово, Абдулово, Якупово, Сандин-2, Сандин-1, Маячный, Ермолаево, Кумертау АВ
М 110 Кумертау - Михайловка;Кумертау АВ, Малое Мусино, Новое Мусино, Лена, Ялчикаево, Таймасово, Зяк-Ишметово, Марьевка, Михайловка;Михайловка, Марьевка, Зяк-Ишметово, Таймасово, Ялчикаево, Лена, Новое Мусино, Малое Мусино, В. огонь, Дуслык, Кумертау АВ
М 115 Дюртюли - Бирск (переправа);Дюртюли АВ, Суккулово, Юкалекулево, пер. Москово, Тартыш, д. Чишма, Акудибашево, Пеньково, Новодесяткино, Бирск (переправа), Кусекеево, Кандаковка, Бирск (переправа);Бирск (переправа), Кандаковка, Кусекеево, Новодесяткино, Пеньково, Акудибашево, д. Чишма, Тартыш, пер. Москово, Юкалекулево, Суккулово, Дюртюли АВ
М 115 Нефтекамск - Красный Холм;Нефтекамск АВ, Кутлинка, Кариево, Кутерем, Кельтей, Тыхтем, Кокуш, Качмаш, Калтасы, Калмаш, Киебак, Краснохолмская АС, Красный Холм АС;Красный Холм АС, Краснохолмская АС, Киебак, Калмаш, Калтасы, Качмаш, Кокуш, Тыхтем, Кельтей, Кутерем, Кариево, Кутлинка, Нефтекамск АВ
М 118 Кумертау - Мраково;Кумертау АВ, Ира, Бугульчан, Ковалевка, Худайбердино, Ядгарово, Калдарово, Воскресенское, Давлетша, Ибраево, Мраково АС;Мраково АС, Ибраево, Давлетша, Воскресенское, Калдарово, Ядгарово, Худайбердино, Ковалевка, Бугульчан, Ира МГ, Дуслык, Кумертау АВ
М 122 Сибай - Исяново;Сибай АВ, Хасаново, Галеево, Файзуллино, Баймак АВ, Мерясово, Бахтигареево, Исяново;Исяново, Бахтигареево, Мерясово , Баймак АВ, Файзуллино, Галеево, Хасаново, Сибай АВ
М 145 Стерлитамак - Белое озеро - Антоновка;"Стерлитамак АВ, кольцо ОАО Сода, ""Савхоз """"Мичурина"""" "", Косяковка, Танеевка, Новый Краснояр, Большой Куганак, Покровка, Русский Саскуль, пов. Тат. Саскуль, Уваровка , пов. Белое Озеро , Антоновка";"Антоновка, пов. Белое Озеро , Уваровка, пов. Тат. Саскуль, Русский Саскуль, Покровка, Большой Куганак, Новый Краснояр, Танеевка, Косяковка, ""Савхоз """"Мичурина"""" "", кольцо ОАО Сода, Стерлитамак АВ"
М 149 Стерлитамак - Стерлибашево;Стерлитамак АВ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС;Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ
М 170 Стерлитамак - Стерлибашево - Янгурча;Стерлитамак АВ МГ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС, Тятербашево МГ, Турмаево МГ, Янгурча МГ;Янгурча МГ, Турмаево МГ, Тятербашево МГ, Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ МГ
М 185 Стерлитамак - Стерлибашево - Булаж;Стерлитамак АВ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Пов. Куганакбаш, Ибракаево, Максютово МГ, Поворот на Первомайский, Стерлибашево АС, Мухаметдаминово, Булаж;Булаж, Мухаметдаминово, Стерлибашево АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ
М 190 Стерлитамак - Зилим-Караново;Стерлитамак АВ, Косяковка, Танеевка, Новый Краснояр, Куганак, Покровка, Русский Саскуль, Цапаловка, Табынское, Павловка, Березовка, Бурлы, Явгильды, Зириково, пов. на Юлуково, Зилим Караново;Зилим Караново, пов. на Юлуково, Зириково, Явгильды, Бурлы, Березовка, Павловка, Табынское, Цапаловка, Русский Саскуль, Покровка, Куганак, Новый Краснояр, Танеевка, Косяковка, Стерлитамак АВ
М 201 Стерлитамак - Кабакуш;Стерлитамак АВ, Колхозный Рынок, Повортот Фёдоровка, Помряскино, Айгулово, Веденовка, Поворот Н. Фёдоровка, Поворот Григорьевка, Уметбаево, Елимбетово, Поворот Сарайса, Поворот Шакар, Караяр, Кундряк, Кабакуш;Кабакуш, Кундряк, Караяр, Поворот Шакар, Поворот Сарайса, Елимбетово, Уметбаево, Поворот Григорьевка, Поворот Н. Фёдоровка, Веденовка, Айгулово, Помряскино, Повортот Фёдоровка, Колхозный Рынок, Стерлитамак АВ
М 220 Стерлитамак АВ - Коварды;Стерлитамак АВ, Косяковка, Танеевка, Новый Краснояр, Куганак, Покровка, Русский Саскуль, Цапаловка, Табынское, Павловка, Березовка, Бурлы, Явгильды, Зириково, пов. на Юлуково, Юлуково, Коварды.;Коварды., Юлуково, пов. на Юлуково, Зириково, Явгильды, Бурлы, Березовка, Павловка, Табынское, Цапаловка, Русский Саскуль, Покровка, Куганак, Новый Краснояр, Красный яр, Танеевка, Косяковка, Стерлитамак АВ
М 225 Мелеуз - Мраково;Мелеуз АВ, Ира, Бугульчан, Худайбердино, Ялчино МГ, Нижнесапашево, Валитово, Волостновка, Калдарово, Воскресенское, Ибраево, Мраково АС;Мраково АС, Ибраево, Воскресенское, Калдарово, Волостновка, Валитово, Нижнесапашево, Ялчино МГ, Худайбердино, Бугульчан, Ира, Мелеуз АВ
М 225 Стерлитамак АВ - Юмагузино;Стерлитамак АВ, Колхозный Рынок, Рабочий поселок, Ашкадар, Веселое, Преображеновка, пов. Стерлитамакский, Николаевка, Баимово МГ, Корнеевка, Н.Калкаш, С.Калкаш, Куганакбаш, д. Юмагузино;д. Юмагузино, Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Рабочий поселок, Колхозный Рынок, Стерлитамак АВ
М 229 Мелеуз - Федоровка;Мелеуз АВ, Романовка, Саитово, Б. Четырман, Балыклы, Каралачик, Балыкбаш, Федоровка АС МГ,;Федоровка АС МГ,, Балыкбаш, Каралачик, Балыклы, Б. Четырман, Саитово, Романовка, Мелеуз АВ
М 240 Стерлитамак АВ - Саитбаба;Стерлитамак АВ, Косяковка, Танеевка, Новый Краснояр, Куганак, Покровка, Русский Саскуль, Цапаловка, пов. С-з Родина, Табынское, Павловка, Березовка, Бурлы, Зириково, Усманово, Саитбаба;Саитбаба, Усманово, Зириково, Бурлы, Березовка, Павловка, Табынское, пов. С-з Родина, Цапаловка, Русский Саскуль, Покровка, Куганак, Новый Краснояр, Танеевка, Косяковка, Стерлитамак АВ
М 242 Мелеуз - В. Биккузино;Мелеуз АВ, пов. Смак, Арсланово, Кизрай, Шарипово, Кутлубулатово, Бусурмановка, Восточное, п. Сарышево, Юмагузино АС, Новобиккузино, В.Биккузино;В.Биккузино, Новобиккузино, Юмагузино АС, п. Сарышево, Восточное, Бусурмановка, Кутлубулатово, Шарипово, Кизрай, Арсланово, пов. Смак, Мелеуз АВ
М 244 Стерлитамак АВ - Тавричанка;Стерлитамак АВ, Деревня Рязановка, Поворот Услы, Поворот Чуртан, Поворот Бегеняш, Поворот Константиноградовка, Уразметово, Поворот Тавричанка, Тавричанка;Тавричанка, Поворот Тавричанка, Уразметово, Поворот Константиноградовка, Поворот Бегеняш, Поворот Чуртан, Поворот Услы, Деревня Рязановка, Стерлитамак АВ
М 250 Стерлитамак АВ - Красноармейский;Стерлитамак АВ, Колхозный рынок АС, Стерлитамак АВ, Деревня Рязановка, Поворот Услы, Поворот Чуртан, Поворот Бегеняш, Село Первомайское, МТФ, Деревня Красноармейская;Деревня Красноармейская, МТФ, Село Первомайское, Поворот Бегеняш, Поворот Чуртан, Поворот Услы, Деревня Рязановка, Колхозный рынок АС, Колх.рынок АС, Стерлитамак АВ
М 500 Федоровка - Салават;Федоровка гараж, Кузьминовка МГ,, Карагуш, Кабакуш, Кундряк, Караяр, Нордовка, Корнеевка, Салават АВ;Салават АВ, Корнеевка, Нордовка, Караяр, Кундряк, Кабакуш, Карагуш, Кузьминовка МГ,, Федоровка гараж
М 501 Стерлитамак АВ - Кабакуш - Стерлибашево АС - Николаевка - Стерлитамак;Стерлитамак АВ, Айгулово, Веденовка, Поворот Н. Фёдоровка, Поворот Григорьевка, Уметбаево, Елимбетово, Поворот Сарайса, Поворот Шакар, Караяр, Кундряк, Кабакуш, Карагушево МГ,, Карагуш, Карагушево МГ,, Бахча, Стерлибаш АС, Поворот на Первомайский, Максютово МГ, Ибракаево, Пов. Куганакбаш, С.Калкаш, Н.Калкаш, Корнеевка, Баимово МГ, Николаевка, пов. Стерлитамакский, Преображеновка, Веселое, Ашкадар, Стерлитамак АВ;NULL
М 503 Федоровка АС - Стерлитамак АВ ч\з Стерлибашево АС;Федоровка АС МГ,, Кузьминовка МГ,, Карагуш, Бахча, Стерлибаш АС, Максютово МГ, С.Калкаш, Н.Калкаш, Покровка МГ, Баимово МГ, Николаевка, Стерлитамак АВ;Стерлитамак АВ, Николаевка, Баимово МГ, Покровка МГ, Н.Калкаш, С.Калкаш, Максютово МГ, Стерлибаш АС, Карагуш, Кузьминовка МГ,, Федоровка АС МГ,
М 510 Стерлитамак АВ - Наумкино - Толбазы АС;Стерлитамак АВ, пов. Марьевка, Буриказган, поворот Талачево, Садовка, Семенкино, Асавбашево, Амзя, Наумкино, Балыклыкуль, Толбазы АС М/Г.;Толбазы АС М/Г., Балыклыкуль, Наумкино, Амзя, Асавбашево, Семенкино, Садовка, поворот Талачево, Буриказган, пов. Марьевка, Стерлитамак АВ
М 530 Р Уфа - Белебей через Раевку;"Южный автовокзал, Железнодорожная станция Дема, Алкино, Чишминский пер., Чишмы АС, Шингаккуль, Вперед, Давлеканово пер., Раевка МГ, пер.Шафраново МГ, Аксеново перекресток, Слакбаш, ""Станция """"Глуховская"""""", ""Санаторий """"Глуховская"""" МГ"", Швейцария, Максим Горький МГ, Аксаково, Белебей АВ";"Белебей АВ, Аксаково, Максим Горький МГ, Швейцария, ""Санаторий """"Глуховская"""" МГ"", ""Станция """"Глуховская"""""", Слакбаш, Аксеново перекресток, пер.Шафраново МГ, Раевка МГ, Давлеканово пер., Вперед, Шингаккуль, Чишмы АС, Чишминский пер., Алкино, Железнодорожная станция Дема, Южный автовокзал"
М 530 Уфа - Белебей;Южный автовокзал, Чишминский перекресток М/Г, Покровка перекресток М/Г, Буздякский перекресток, Кандринский пер. М/Г, Белебей АВ;Белебей АВ, Кандринский пер. М/Г, Буздякский перекресток, Покровка перекресток М/Г, Чишминский перекресток М/Г, Южный автовокзал
М 531 Уфа - Стерлитамак БАТ;Южный автовокзал, Поворот Аэропорт, Булгаково, Старомусино, Александровка, Ишлы, Исмагилово МГ, Кальчирово, Толбазы, Казадаевка, Стерлитамак АВ;Стерлитамак АВ, Казадаевка, Толбазы, Кальчирово, Исмагилово МГ, Ишлы, Александровка, Старомусино, Булгаково, Поворот Аэропорт, Южный автовокзал
М 533 Уфа (Южный АВ) - Чекмагуш;Чекмагуш АС, Старокалмашево, Старобаширово, Кушнаренково АС М/Г, Шарипово, Южный автовокзал;Южный автовокзал, Шарипово, Кушнаренково АС М/Г, Старобаширово, Старокалмашево, Чекмагуш АС
М 534 Уфа - Бирск ч/з Благовещенск;Южный автовокзал, Северный КПП, Благовещенск АС, Уд. Дуваней М/Г, Бирск АВ М/Г;Бирск АВ М/Г, Уд. Дуваней М/Г, Благовещенск АС, Северный КПП, Южный автовокзал
М 536 Уфа (Южный АВ) - Дюртюли;Дюртюли АВ, Москово, Карача - Елга М/Г, Кушнаренково АС М/Г, Шарипово МГ, Южный автовокзал;Южный автовокзал, Шарипово, Кушнаренково АС М/Г, Карача - Елга М/Г, Москово, Дюртюли АВ
М 547 Уфа - В. Татышлы;Старобалтачево АС М/Г, Северный КПП, Благовещенск АС, Уд. Дуваней М/Г, Южный автовокзал, Бирск АВ М/Г, Бураево АС М/Г, Верхние Татышлы;Верхние Татышлы, Старобалтачево АС М/Г, Бураево АС М/Г, Бирск АВ М/Г, Уд. Дуваней М/Г, Благовещенск АС, Северный КПП, Южный автовокзал
М 551 И Уфа - Салават ч/з Ишимбай;Южный автовокзал, Аэропорт МГ, Булгаково, Александровка МГ, Ишлы, Подлесное МГ,, Стерлитамак АВ МГ, Карайганово МГ,, Ишимбай АВ, Салават АВ М/Г,;Салават АВ М/Г,, Ишимбай АВ, Карайганово МГ,, Стерлитамак АВ МГ, Подлесное МГ,, Ишлы, Александровка МГ, Булгаково, Аэропорт МГ, Южный автовокзал
М 552 С Уфа - сан. Красноусольск;Южный автовокзал, Аэропорт МГ, Толбазы АС МГ, Красноусольск АС МГ, Санаторий Красноусольск;Санаторий Красноусольск, Красноусольск АС МГ, Толбазы АС МГ, Аэропорт МГ, Южный автовокзал
М 552 Уфа - Красноусольск;Южный автовокзал, Толбазы АС М/Г., Красноусольск АС МГ;Красноусольск АС МГ, Толбазы АС МГ, Южный автовокзал
М 554 Уфа (Южный АВ) - Красный Холм;Южный автовокзал, Ильмурзино, Уд. Дуваней М/Г, Бирск АВ М/Г, Бураево АС М/Г, Красный Холм АС;Красный Холм АС, Бураево АС М/Г, Бирск АВ М/Г, Уд. Дуваней М/Г, Ильмурзино, Южный автовокзал
М 557 Уфа (Южный АВ) - Мишкино ч/з Зап. развилку;Южный автовокзал, Подымалово, Ильмурзино, Николаевский перекресток, Уд. Дуваней М/Г, Калинники, Угузево, Романовка, Бирск АВ М/Г, Баженово, Зеленый, Бикшиково, Чебыково, Ленинское, Мишкино АС М/Г;Мишкино АС М/Г, Ленинское, Чебыково, Бикшиково, Зеленый, Баженово, Бирск АВ М/Г, Романовка, Угузево, Калинники, Уд. Дуваней М/Г, Николаевский перекресток, Ильмурзино, Подымалово, Южный автовокзал
М 560 Бижбуляк - Уфа ч/з Аксеново;Южный автовокзал, Железнодорожная станция Дема, Чишминский перекресток М/Г, Чишмы АС, Давлеканово пер., Раевка перекресток, пер. Аксёново, Ким, Чехово, Усак-Кичу, Ермолкино, Базлык, Бижбуляк АС;Бижбуляк АС, Базлык, Ермолкино, Усак-Кичу, Чехово, Ким, пер. Аксёново, Раевка перекресток, Давлеканово пер., Чишмы АС, Чишминский перекресток М/Г, Железнодорожная станция Дема, Южный автовокзал
М 564 Уфа (Южный АВ) - Калтасы;Южный автовокзал, Ильмурзино, Николаевский перекресток, Уд. Дуваней, Бирск АВ М/Г, Бураево АС М/Г, Красный Холм АС, Калтасы АС;Калтасы АС, Красный Холм АС, Бураево АС М/Г, Бирск АВ М/Г, Уд. Дуваней, Николаевский перекресток, Ильмурзино, Южный автовокзал
М 567 Уфа - Аскино ч/з Благовещенск;Северный КПП, Благовещенск АС, Уд. Дуваней М/Г, Бирск АВ М/Г, Южный автовокзал, Мишкино АС М/Г, Аскино АС;Аскино АС, Мишкино АС М/Г, Бирск АВ М/Г, Уд. Дуваней М/Г, Благовещенск АС, Северный КПП, Южный автовокзал
М 567 Уфа (Южный АВ) - Аскино ч/з Зап. развилку;Южный автовокзал, Подымалово, Ильмурзино, Николаевский перекресток, Уд. Дуваней М/Г, Калинники, Угузево, Романовка, Бирск АВ М/Г, Баженово, Зеленый, Бикшиково, Чебыково, Ленинское, Мишкино АС М/Г, Елышево, Рефанды, Явгильдино, Артакуль, Евбуляк, Аскино АС;Аскино АС, Евбуляк, Артакуль, Явгильдино, Рефанды, Елышево, Мишкино АС М/Г, Чебыково, Бикшиково, Зеленый, Баженово, Бирск АВ М/Г, Романовка, Угузево, Калинники, Уд. Дуваней М/Г, Николаевский перекресток, Ильмурзино, Подымалово, Южный автовокзал
М 570 К Янаул - Бураево;Янаул АС, Кучаш, Кузбаево, Бураево АС;Бураево АС, Кузбаево, Кучаш, Янаул АС
М 571 Уфа - Федоровка;Булгаково МГ, Ишлы, Толбазы АС, Стерлитамак АВ, Преображеновка, Николаевка, Н.Калкаш, Ибракаево, Карагушево МГ,, Кузьминовка МГ,, Южный автовокзал, Стерлибашево АС, Федоровка АС МГ,;Федоровка АС МГ,, Кузьминовка МГ,, Карагушево МГ,, Стерлибашево АС, Ибракаево, Н.Калкаш, Николаевка, Преображеновка, Стерлитамак АВ, Толбазы АС, Ишлы, Южный автовокзал
М 572 Уфа - Н. Киешки ч/з Кармаскалы, Прибельский;"""Кафе """"Отдых"""""", Булгаково МГ, Суук-Чишма, ""Сады """"Степное"""""", Андреевка, Кармаскалы АС, Прибельский, Южный автовокзал, Новые Киешки";"Новые Киешки, Прибельский, Кармаскалы АС, Андреевка, ""Сады """"Степное"""""", Суук-Чишма, Булгаково МГ, ""Кафе """"Отдых"""""", Южный автовокзал"
М 577 Уфа - Караидель ч/з Благовещенск;Южный автовокзал, Северный КПП, Щепное, Благовещенск АС, Николаевка, Уд. Дуваней М/Г, Калинники, Угузево, Романовка, Бирск АВ М/Г, Баженово, Зеленый, Бикшиково, Чебыково, Ленинское, Мишкино АС М/Г, Елышево, Рефанды, Явгильдино, Базилевкий, Байки, Караидель АС;Караидель АС, Байки, Базилевкий, Явгильдино, Рефанды, Елышево, Мишкино АС М/Г, Ленинское, Чебыково, Бикшиково, Зеленый, Баженово, Бирск АВ М/Г, Романовка, Угузево, Калинники, Уд. Дуваней М/Г, Николаевка, Благовещенск АС, Щепное, Северный КПП, Южный автовокзал
М 577 Уфа (Южный АВ) - Караидель ч/з зап. развилку;Южный автовокзал, Подымалово, Ильмурзино, Уд. Дуваней М/Г, Калинники, Угузево, Романовка, Бирск АВ М/Г, Баженово, Зеленый, Бикшиково, Чебыково, Ленинское, Мишкино АС М/Г, Елышево, Рефанды, Явгильдино, Базилевкий, Байки, Караидель АС;Караидель АС, Байки, Базилевкий, Явгильдино, Рефанды, Елышево, Мишкино АС М/Г, Ленинское, Чебыково, Бикшиково, Зеленый, Баженово, Бирск АВ М/Г, Романовка, Угузево, Калинники, Уд. Дуваней М/Г, Ильмурзино, Подымалово, Южный автовокзал
М 578 Уфа - Акъяр;Южный автовокзал, Аэропорт МГ, Булгаково МГ, Александровка МГ, Толбазы АС МГ, Стерлитамак, Ишимбай АВ, Салават АВ, Зирган, Мелеуз АВ, Ира, Бугульчан, Худайбердино, Калдарово, Воскресенское, Ибраево, Мраково, Мусино, Петровское МГ, Салихово МГ., Исимово, Мукачево МГ, Туембетово МГ, Исянгулово, Кугарчи, Зилаир АС МГ,, Кашкарово, Юлдыбаево АС МГ,, Матраево, Самарское, Бурибай, Садовый МГ, Акъяр АС МГ;Акъяр АС МГ, Садовый МГ, Бурибай, Самарское, Матраево, Юлдыбаево АС МГ,, Кашкарово, Зилаир АС МГ,, Кугарчи, Исянгулово, Туембетово, Мукачево, Исимово, Салихово МГ., Петровское МГ, Мусино, Мраково, Ибраево, Воскресенское, Калдарово, Худайбердино, Бугульчан, Ира, Мелеуз АВ, Зирган, Юлдаш, Юлдаш, Хлебзавод, Салават АВ, Ишимбай АВ, Стерлитамак, Толбазы АС МГ, Южный автовокзал
М 581 Мелеуз - Уфа;Южный автовокзал, Булгаково МГ, Александровка МГ, Ишлы, Кальчирово, Толбазы АС, Подлесное МГ,, Зирган, Мелеуз АВ;Мелеуз АВ, Зирган, Подлесное МГ,, Толбазы АС, Кальчирово, Ишлы, Александровка МГ, Булгаково МГ, Южный автовокзал
М 582 Уфа - Архангельское ч/з Булгаково;Южный автовокзал, Кармаскалинский перекресток, Карламан, Шареево, Архангельское АТП;Архангельское АТП, Шареево, Карламан, Кармаскалинский перекресток, Южный автовокзал
М 584 Уфа (Южный АВ) - Янаул ч/з западную развилку;Южный автовокзал, Затон КПМ, Ильмурзино, Николаевский перекресток, Уд. Дуваней, Бирск АВ М/Г, Бураево АС М/Г, Янаул АС;Янаул АС, Бураево АС М/Г, Бирск АВ М/Г, Уд. Дуваней, Николаевский перекресток, Ильмурзино, Затон КПМ, Южный автовокзал
М 584 Уфа (Южный АВ) - Янаул ч/з Кр. Холм;Южный автовокзал, Затон КПМ, Ильмурзино, Николаевский перекресток, Уд. Дуваней М/Г, Бирск АВ, Бураево АС М/Г, Красный Холм АС, Янаул АС;Янаул АС, Красный Холм АС, Бураево АС М/Г, Бирск АВ, Уд. Дуваней М/Г, Николаевский перекресток, Ильмурзино, Затон КПМ, Южный автовокзал
М 586 Уфа (Южный АВ) - Агидель;Южный автовокзал, Шарипово, Кушнаренково, Карача-Елга, Дюртюли АС, Ангасяк М/Г, Арлан, Агидель АВ;Агидель АВ, Арлан, Ангасяк М/Г, Дюртюли АС, Карача-Елга, Кушнаренково, Шарипово, Южный автовокзал
М 588 Уфа (Южный АВ) - Нефтекамск АВ;Южный автовокзал, КПМ (Затон), Шарипово МГ, Кушнаренково АС М/Г, Карача - Елга М/Г, Дюртюли АВ, Ангасяк М/Г, Арлан, Нефтекамск АВ;Нефтекамск АВ, Арлан, Ангасяк М/Г, Дюртюли АВ, Карача - Елга М/Г, Кушнаренково АС М/Г, Шарипово МГ, КПМ (Затон), Южный автовокзал
М 590 Туймазы - Уфа;Южный автовокзал, Алкино, Чишминский перекресток М/Г, Кашкалаши, Покровка перекресток М/Г, пер.Мирный МГ, Первомайский, Старые Санны, Буздякский перекресток, Старые Богады, Юлдузлы, пер.Тюпкильды МГ, Кандринский пер. М/Г, Туймазы АВ;Туймазы АВ, Кандринский пер. М/Г, пер.Тюпкильды МГ, Юлдузлы, Старые Богады, Буздякский перекресток, Старые Санны, Первомайский, пер.Мирный МГ, Покровка перекресток М/Г, Кашкалаши, Чишминский перекресток М/Г, Алкино, Южный автовокзал
М 591 Уфа - Кумертау;Южный автовокзал, Аэропорт МГ, Александровка, Ишлы, Кальчирово, Толбазы АС, Стерлитамак АВ, Салават АВ, Мелеуз АВ, Ира, Кумертау АВ;Кумертау АВ, Ира, Мелеуз АВ, Салават АВ, Стерлитамак АВ, Толбазы АС, Кальчирово, Ишлы, Александровка МГ, Аэропорт МГ, Южный автовокзал
М 592 Уфа - Валентиновка;Южный автовокзал, Кармаскалинский перекресток, Карламан, Шареево, Архангельское АТП, Валентиновка;Валентиновка, Архангельское АТП, Шареево, Карламан, Кармаскалинский перекресток, Южный автовокзал
М 594 Уфа (Южный АВ) - Бураево ч/з зап. развилку;Южный автовокзал, Подымалово, Старые Камышлы, Ильмурзино, Уд. Дуваней М/Г, Угузево, Бирск АВ М/Г, Баженово, Сосновка, Чураево, Баймурзино, Бураево АС;Бураево АС, Баймурзино, Чураево, Сосновка, Баженово, Бирск АВ М/Г, Угузево, Уд. Дуваней М/Г, Ильмурзино, Старые Камышлы, Подымалово, Южный автовокзал
М 595 Туймазы - Уфа через Кандры;Южный автовокзал, Алкино, Чишминский перекресток М/Г, Кашкалаши, Покровка перекресток М/Г, пер.Мирный МГ, Первомайский, Старые Санны, Буздякский перекресток, Старые Богады, Юлдузлы, пер.Тюпкильды МГ, Кандры АС М/Г, Туймазы АВ;Туймазы АВ, Кандры АС М/Г, пер.Тюпкильды МГ, Юлдузлы, Старые Богады, Буздякский перекресток, Старые Санны, Первомайский, пер.Мирный МГ, Покровка перекресток М/Г, Кашкалаши, Чишминский перекресток М/Г, Алкино, Южный автовокзал
М 600 С Уфа - Октябрьский через Серафимовский;Южный автовокзал, Демский энергоучасток, Алкино, Чишминский пер., Кашкалаши, пер. Покровка, пер.Мирный МГ, Первомайский, Старые Санны, Буздякский перекресток, пер.Тюпкильды МГ, Кандринский перекресток, пер. Туймазинский, пер. Серафимовский МГ, Октябрьский АВ М/Г;Октябрьский АВ М/Г, пер. Серафимовский МГ, пер. Туймазинский, Кандринский пер. М/Г, пер.Тюпкильды МГ, Буздякский перекресток, Старые Санны, Первомайский, пер.Мирный МГ, Покровка перекресток М/Г, Кашкалаши, Чишминский перекресток М/Г, Алкино, Демский энергоучасток, Южный автовокзал
М 600 Т Уфа - Октябрьский через Туймазы;Южный автовокзал, Чишминский перекресток М/Г, Покровка перекресток М/Г, Буздякский перекресток, Кандринский перекресток, Туймазы АВ, Октябрьский АВ М/Г;Октябрьский АВ М/Г, Туймазы АВ, Кандринский перекресток, Буздякский перекресток, Покровка перекресток М/Г, Чишминский перекресток М/Г, Южный автовокзал
М 600 Э Уфа - Октябрьский экспресс;Южный автовокзал, Чишминский перекресток М/Г, Покровка перекресток М/Г, Буздякский перекресток, Кандринский пер. М/Г, Октябрьский АВ М/Г;Октябрьский АВ М/Г, Кандринский перекресток, Буздякский перекресток, Покровка перекресток М/Г, Чишминский перекресток М/Г, Южный автовокзал
М 601 Уфа - Мраково;Южный автовокзал, Булгаково МГ, Александровка МГ, Толбазы АС, Подлесное, Мелеуз АВ, Бугульчан, Худайбердино, Калдарово, Воскресенское, Мраково АС;Мраково АС, Воскресенское, Калдарово, Худайбердино, Бугульчан, Мелеуз АВ, Подлесное МГ,, Толбазы АС, Александровка МГ, Булгаково МГ, Южный автовокзал
М 604 Уфа - Архангельское ч/з Кабаково;Южный автовокзал, Кабаково, Шареево, Архангельское АТП;Архангельское АТП, Шареево, Кабаково, Южный автовокзал
М 611 Исянгулово - Уфа;Исянгулово АС, Назаркино МГ, Туембетово МГ, Мукачево МГ, Исимово МГ, Салихово МГ., Петровское МГ, Мусино МГ., Канакачево МГ, Мраково АС, Воскресенское, Калдарово, Худайбердино, Бугульчан, Мелеуз АВ, Салават АВ, Стерлитамак АВ, Толбазы АС МГ, Кальчирово, Ишлы, Александровка МГ, Аэропорт МГ, Южный автовокзал;Южный автовокзал, Аэропорт МГ, Александровка МГ, Ишлы, Кальчирово, Толбазы АС МГ, Стерлитамак АВ МГ, Салават АВ, Мелеуз АВ, Бугульчан, Худайбердино, Калдарово, Воскресенское, Мраково АС, Канакачево МГ, Мусино МГ., Петровское МГ, Салихово МГ., Исимово МГ, Мукачево МГ, Туембетово МГ, Назаркино МГ, Исянгулово АС
М 618 Бакалы - Октябрьский;Бакалы  АС, Старые Балыклы, Дияшево, Мустафино, Сакатово, Устюмово, Утарово МГ, Новоюзеево, Верхние Ташлы, Картутель, Зириклы, Барсуково, Еремкино, Дюртюли деревня, Покровка МГ, Тюменяк, Агиртамак, Туймазы АВ, Старые Туймазы, Октябрьский АВ М/Г;Октябрьский АВ М/Г, Старые Туймазы, Туймазы АВ, Агиртамак, Тюменяк, Покровка МГ, Дюртюли деревня, Еремкино, Барсуково, Зириклы, Картутель, Верхние Ташлы, Новоюзеево, Утарово МГ, Устюмово, Сакатово, Мустафино, Дияшево, Старые Балыклы, Бакалы  АС
