М 170 Стерлитамак - Стерлибашево - Янгурча;>;"ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Суханова ул. (Стерлитамак), Стерлибашевский тракт, а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Ленина ул. (Стерлибашево), Карла Маркса (Стерлибашево), Островского ул. (Стерлибашево), а.д. 80Н-030 ""Киргиз-Мияки - Стерлибашево"""
М 185 Стерлитамак - Стерлибашево - Булаж;<;"Галеева ул. (Стерлибашево), Ленина ул. (Стерлибашево), а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Стерлибашевский тракт, Суханова ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Мира ул. (Стерлитамак), ул. Худайбердина (Стерлитамак)"
М 185 Стерлитамак - Стерлибашево - Булаж;>;"ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Суханова ул. (Стерлитамак), Стерлибашевский тракт, а.д. 80Н-054 ""Стерлитамак - Стерлибашево - Федоровка"", Ленина ул. (Стерлибашево), Галеева ул. (Стерлибашево)"
М 190 Стерлитамак - Зилим-Караново;<;"а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-052 ""Стерлитамак - Красноусольский"", Ленина ул. (Косяковка), Бабушкина ул. (г. Стерлитамак), Техническая ул., Техническая ул. (Стерлитамак), Западная ул. (Стерлитамак)"
М 190 Стерлитамак - Зилим-Караново;>;"Западная ул. (Стерлитамак), Техническая ул. (Стерлитамак), Техническая ул., Бабушкина ул. (г. Стерлитамак), Ленина ул. (Косяковка), а.д. 80Н-052 ""Стерлитамак - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-004 ""Архангельское - Красноусольский"""
М 201 Стерлитамак - Кабакуш;<;"а.д. 80Н-448 ""Кундяк - Халикеево"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-055 ""Стерлитамак - Федоровка"", Парковая ул. (Елимбетово), а.д. 80Н-055 ""Стерлитамак - Федоровка"", а.д. Р-240 ""Уфа - Оренбург"", Стерлибашевский тракт, Суханова ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Мира ул. (Стерлитамак), ул. Худайбердина (Стерлитамак)"
М 201 Стерлитамак - Кабакуш;>;"ул. Худайбердина (Стерлитамак), Мира ул. (Стерлитамак), Гоголя ул. (Стерлитамак), Суханова ул. (Стерлитамак), Стерлибашевский тракт, а.д. Р-240 ""Уфа - Оренбург"", а.д. 80Н-055 ""Стерлитамак - Федоровка"", Парковая ул. (Елимбетово), а.д. 80Н-055 ""Стерлитамак - Федоровка"", а.д. 80Н-023 ""Зирган - Нордовка - Стерлибашево"", а.д. 80Н-448 ""Кундяк - Халикеево"""
М 220 Стерлитамак АВ - Коварды;<;"а.д. 80Н-227 ""Зилим-Караново - Коварды"", а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-052 ""Стерлитамак - Красноусольский"", Ленина ул. (Косяковка), Бабушкина ул. (г. Стерлитамак), Техническая ул., Техническая ул. (Стерлитамак), Западная ул. (Стерлитамак)"
М 220 Стерлитамак АВ - Коварды;>;"Западная ул. (Стерлитамак), Техническая ул. (Стерлитамак), Техническая ул., Бабушкина ул. (г. Стерлитамак), Ленина ул. (Косяковка), а.д. 80Н-052 ""Стерлитамак - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80Н-227 ""Зилим-Караново - Коварды"""
М 225 Мелеуз - Мраково;<;"Биишевой ул. (Мраково), Совхозная ул. (Мраково), а.д. 80К-12 ""Магнитогорск - Ира"", а.д. 80Н-360 ""Волостновка - а.д. Магнитогорск - Ира"", а.д. Валитово - Волостновка, а.д. 80Н-357 ""Худайбердино - Ялчино - Валитово - Юмагузино - Верхнебиккузино"", а.д. 80К-12 ""Магнитогорск - Ира"", а.д. Р-240 ""Уфа - Оренбург"", Березовая ул. (Каран), Ленина ул. (Мелеуз), Бурангулова ул. (Мелеуз)"
