1;120;Агидель - Нефтекамск;40,5;Агидель АВ, Кузгово, пер. Янзигит, Ашит, Арлан, КНС 13, Подстанция Арлан, Уразаево, Ташкиновский парк, Ташкиново, Нефтекамск АВ;Нефтекамск АВ, Ташкиново, Ташкиновский парк, Уразаево, Подстанция Арлан, КНС 13, Арлан, Ашит, пер. Янзигит, Кузгово, Агидель АВ;"Академика Курчатова ул., Первых Строителей ул. (Агидель), а.д. 80Н-344 ""Ашит - Агидель"", а.д. 80Н-588 ""Арлан - Ашит"", а.д. 80К-038 ""Дюртюли - Нефтекамск"", Дорожная ул. (Нефтекамск), Трактовая ул. (Нефтекамск)";"Трактовая ул. (Нефтекамск), Дорожная ул. (Нефтекамск), а.д. 80К-038 ""Дюртюли - Нефтекамск"", а.д. 80Н-588 ""Арлан - Ашит"", а.д. 80Н-344 ""Ашит - Агидель"", Первых Строителей ул. (Агидель), Академика Курчатова ул.";5;NULL;NULL;5
2;919;Архангельское - Стерлитамак ч/з З.Караново;127;Архангельское АС МГ, Орловка, Зилим Караново МГ, Покровка МГ, Стерлитамак АВ МГ;Стерлитамак АВ МГ, Покровка МГ, Зилим Караново МГ, Орловка, Архангельское АС МГ;"а.д. 80Н-004 ""Архангельское - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-052 ""Стерлитамак - Красноусольский"", Ленина ул. (Косяковка), Бабушкина ул. (г. Стерлитамак), Техническая ул., Техническая ул. (Стерлитамак), Западная ул. (Стерлитамак)";"Западная ул. (Стерлитамак), Техническая ул. (Стерлитамак), Техническая ул., Бабушкина ул. (г. Стерлитамак), Ленина ул. (Косяковка), а.д. 80Н-052 ""Стерлитамак - Красноусольский"", а.д. 80К-028 ""Толбазы - Красноусольский"", а.д. 80Н-004 ""Архангельское - Красноусольский""";1;1;NULL;NULL
3;924;Аскарово - Белорецк;100;Аскарово, Кулукасово МГ, Рыскужино, Казмаш, Амангильдино, Утяганово, Ишкильдино, Саиткулово, Барангулово, Майгашта, Шарипово, Узян-Баш, Хусаиново, Уткалево, Рысыкаево, Сосновка, Белорецк АВ;Белорецк АВ, Сосновка, Рысыкаево, Уткалево, Хусаиново, Узян-Баш, Шарипово, Майгашта, Барангулово, Саиткулово, Ишкильдино, Утяганово, Амангильдино, Казмаш, Рыскужино, Кулукасово МГ, Аскарово;"Рауфа Давлетова ул. (Аскарово), а.д. 80Н-068 ""Подъезд к с. Аскарово"", а.д. 80Н-043 ""Серменево - Амангильдино - Баймак"", а.д. подъезд к д. Шарипово, а.д. 80Н-043 ""Серменево - Амангильдино - Баймак"", Гагарина ул. (Уткалево), а.д. 80Н-153 ""Белорецк - Уткалево"", Магистральная ул. (Рысакаево), Трактовая ул. (Рысакаево), а.д. 80Н-153 ""Белорецк - Уткалево"", Цветочная ул. (Михайловка), а.д. 80К-026 ""Стерлитамак - Белорецк - Магнитогорск"", В.Блюхера ул. (Белорецк), С.Тюленина ул. (Белорецк), С. Кирова ул. (Белорецк)";"С. Кирова ул. (Белорецк), С.Тюленина ул. (Белорецк), В.Блюхера ул. (Белорецк), а.д. 80К-026 ""Стерлитамак - Белорецк - Магнитогорск"", Цветочная ул. (Михайловка), а.д. 80Н-153 ""Белорецк - Уткалево"", Трактовая ул. (Рысакаево), Магистральная ул. (Рысакаево), а.д. 80Н-153 ""Белорецк - Уткалево"", Гагарина ул. (Уткалево), а.д. 80Н-043 ""Серменево - Амангильдино - Баймак"", а.д. подъезд к д. Шарипово, а.д. 80Н-043 ""Серменево - Амангильдино - Баймак"", а.д. 80Н-068 ""Подъезд к с. Аскарово"", Рауфа Давлетова ул. (Аскарово)";2;2;NULL;NULL
4;844;Аскарово - Сибай;98;Сибай АВ, Казанка, Альмухаметово, Халилово, Абдулмамбетово, Махмутово, Тепяново, Ишкулово, Равилово, Кускарово, Айгырбаткан, Аскарово;Аскарово, Айгырбаткан, Кускарово, Равилово, Ишкулово, Тепяново, Махмутово, Абдулмамбетово, Халилово, Альмухаметово, Казанка, Сибай АВ;"Лермонтова ул. (Сибай), пр. Горняков (Сибай), Белова ул. (Сибай), а.д. 80Н-069 ""Аскарово - Альмухаметово - Сибай"", Рауфа Давлетова ул. (Аскарово)";"Рауфа Давлетова ул. (Аскарово), а.д. 80Н-069 ""Аскарово - Альмухаметово - Сибай"", Белова ул. (Сибай), пр. Горняков (Сибай), Лермонтова ул. (Сибай)";3;3;NULL;NULL
5;130;Б.Четырман - Мелеуз;38;Мелеуз АВ, Саитово, Б. Четырман;Б. Четырман, Саитово, Мелеуз АВ;"а.д. 80Н-034 ""Мелеуз - Федоровка""";"а.д. 80Н-034 ""Мелеуз - Федоровка""";1;1;NULL;NULL
6;939;Баймак - Акъяр ч/з Юлдыбаево;68;Акъяр АС, Садовый, Бурибай, Самарское МГ, Бузавлык МГ, Салимово, Матраево МГ, Ямансаз, Юлдыбаево АС МГ,, Абдулкаримово, Воскресенское, Ишмурзино, Мамбетово, Баймак АВ;Баймак АВ, Мамбетово, Ишмурзино, Воскресенское, Абдулкаримово, Юлдыбаево АС МГ,, Ямансаз, Матраево МГ, Салимово, Бузавлык МГ, Самарское МГ, Бурибай, Садовый, Акъяр АС;"Восточная ул. (Акъяр), Тухват Мурата ул. (Акъяр), а.д. 80К-035 ""Юлдыбаево - Акъяр  - Сара"", а.д. 80К-012 ""Магнитогорск - Ира"", Мустая Карима ул. (Баймак), Сосновая ул. (Баймак), Есенина ул. (Баймак)";"Есенина ул. (Баймак), Сосновая ул. (Баймак), Мустая Карима ул. (Баймак), а.д. 80К-012 ""Магнитогорск - Ира"", а.д. 80К-035 ""Юлдыбаево - Акъяр  - Сара"", Тухват Мурата ул. (Акъяр), Восточная ул. (Акъяр)";1;1;NULL;NULL
7;165;Баймак - Уфимский (Уфимка);49;Баймак АВ, Семеновск, Богачевка, Первомайка, Алибаевск, Уфимка;Уфимка, Алибаевск, Первомайка, Богачевка, Семеновск, Баймак АВ;"Есенина ул. (Баймак), Мира ул. (Баймак), Ленина ул. (Баймак), Куйбышева ул. (Баймак), а.д. 80К-012 ""Магнитогорск - Ира"", а.д. Баймак - Самарское";"а.д. Баймак - Самарское, а.д. 80К-012 ""Магнитогорск - Ира"", Куйбышева ул. (Баймак), Ленина ул. (Баймак), Мира ул. (Баймак), Есенина ул. (Баймак)";1;NULL;1;NULL
8;618;Бакалы - Октябрьский;100;Бакалы  АС, Старые Балыклы, Дияшево, Мустафино, Сакатово, Устюмово, Утарово МГ, Новоюзеево, Верхние Ташлы, Картутель, Зириклы, Барсуково, Еремкино, Дюртюли деревня, Покровка МГ, Тюменяк, Агиртамак, Туймазы АВ, Старые Туймазы, Октябрьский АВ М/Г;Октябрьский АВ М/Г, Старые Туймазы, Туймазы АВ, Агиртамак, Тюменяк, Покровка МГ, Дюртюли деревня, Еремкино, Барсуково, Зириклы, Картутель, Верхние Ташлы, Новоюзеево, Утарово МГ, Устюмово, Сакатово, Мустафино, Дияшево, Старые Балыклы, Бакалы  АС;"Красноармейская ул. (Бакалы), Октябрьская ул. (Бакалы), а.д. 80К-002 ""Белебей - Николаевка - Туймазы - Бакалы"", Горького ул. (Туймазы), Гафурова ул. (Туймазы), Советская ул. (Туймазы), 70 лет Октября ул. (Туймазы), Островского ул. (Туймазы), а.д. 80Н-479 ""Октябрьский - Туймазы"", Кооперативная ул. (Октябрьский), Северная ул. (Октябрьский), Губкина ул. (Октябрьский)";"Губкина ул. (Октябрьский), Северная ул. (Октябрьский), Кооперативная ул. (Октябрьский), а.д. 80Н-479 ""Октябрьский - Туймазы"", Островского ул. (Туймазы), 70 лет Октября ул. (Туймазы), Советская ул. (Туймазы), Гафурова ул. (Туймазы), Горького ул. (Туймазы), а.д. 80К-002 ""Белебей - Николаевка - Туймазы - Бакалы"", Октябрьская ул. (Бакалы), Красноармейская ул. (Бакалы)";3;NULL;3;NULL
9;629;Бакалы - Туймазы;77;Туймазы АВ, Тюменяк, Зириклы, Сакатово, Дияшево, Бакал.АВ;Бакал.АВ, Дияшево, Сакатово, Зириклы, Тюменяк, Туймазы АВ;"70 лет Октября ул. (Туймазы), Советская ул. (Туймазы), Гафурова ул. (Туймазы), Горького ул. (Туймазы), а.д. 80К-002 ""Белебей - Николаевка - Туймазы - Бакалы"", Октябрьская ул. (Бакалы)";"Октябрьская ул. (Бакалы), а.д. 80К-002 ""Белебей - Николаевка - Туймазы - Бакалы"", Горького ул. (Туймазы), Гафурова ул. (Туймазы), Советская ул. (Туймазы), 70 лет Октября ул. (Туймазы)";2;2;NULL;NULL
10;132;Белебей - М.Москва;48,7;Белебей АВ, Аксаково, Малый Менеуз, Ново-Михайловка, Кош-Елга, Зириклы-Тамак, Менеуз-Москва;Менеуз-Москва, Зириклы-Тамак, Кош-Елга, Ново-Михайловка, Малый Менеуз, Аксаково, Белебей АВ;"Пионерская ул. (Белебей), Войкова ул. (Белебей), Советская ул. (Белебей), а.д. 80Н-002 ""Аксеново - Аксаково - Белебей"", а.д. 80Н-001 ""Аскаково - Кожай - Икские Вершины"", а.д. 80Н-159 ""Новомихайловка - Ермолкино""";"а.д. 80Н-159 ""Новомихайловка - Ермолкино"", а.д. 80Н-001 ""Аскаково - Кожай - Икские Вершины"", а.д. 80Н-002 ""Аксеново - Аксаково - Белебей"", Советская ул. (Белебей), Войкова ул. (Белебей), Пионерская ул. (Белебей)";1;1;NULL;NULL
