269;"Стерлитамак - Сады ""Веселое""";126;3967;5878;1911
270;"Стерлитамак - Сады ""Ильмень""";125;889;9887;8998
271;"Стерлитамак - Сады ""Каучук 5/3""";157-б;10326;10326;0
272;"Стерлитамак - Сады ""Майские""";109;17589;17590;1
274;"Стерлитамак - Сады ""Подлесное""";159;2919;3758;839
275;"Стерлитамак - Сады ""Рощинский""";162;8762;8766;4
276;"Стерлитамак - Сады ""Сосновка""";132;608;2470;1862
277;"Стерлитамак - Сады ""Строитель 3""";158;39;8264;8225
280;"Стерлитамак - Сады ""Ясное 2""";157-2;11707;13078;1371
281;"Стерлитамак - Сады ""Ясное""";157;45530;45530;0
318;"Уфа - П/т ""Автомобилист""";126;3559;4075;516
322;"Уфа - с/х ""Шемяк""";109;5666;5818;152
325;"Уфа - Сады ""Лесная поляна""";123;1642;1642;0
128;"Уфа - Сады ""Нарат""";152;3821;6664;2843
326;"Уфа - Сады ""Факел""";111 к;3290;3290;0
358;"Уфа фирма МИР - Сады ""Демские""";135;1494;1552;58
160;Агидель-Нефтекамск;120;69486;71272;1786
118;Аскарово- Белорецк;924;2611;3013;402
114;Аскарово- Сибай;844;2618;2841;223
119;Баймак - Акъяр ч/з Юлдыбаево;939;2276;2276;0
85;Бакалы - Октябрьский;618;19219;20751;1532
89;Бакалы - Туймазы;629;1740;1874;134
90;Белебей - Туймазы;633;1785;1785;0
47;Белебей - Уфа;530Р;2403;2403;0
171;Белебей-М.Москва;132;246;465;219
2;Белебей-Приютово;101;48461;63411;14950
172;Белебей-Суккулово;117;3400;5150;1750
173;Белорецк- Миндяк;109;2934;2934;0
91;Бижбуляк - Белебей;645;4527;5152;625
59;Бижбуляк - Уфа ч/з Аксеново;560;5257;5425;168
147;Бирск - Уфа ч/з Зап. развилку;535;15810;15902;92
175;Бирск-Баймурзино;127;732;1625;893
178;Бирск-Мишкино;120;4070;4070;0
183;В. Яркеево-Дюртюли;110;2413;2559;146
105;Верхнеяркеево - Нефтекамск;762;3810;3915;105
115;Верхнеяркеево - Туймазы;917;1553;1723;170
52;Дюртюли - Уфа;536;5255;5385;130
188;Дюртюли- Базитамак;107;6630;6853;223
11;Дюртюли-Бирск (переправа);115;4098;4381;283
84;Исянгулово - Уфа;611;5758;5948;190
5;Ишимбай - Стерлитамак;102;82593;103226;20633
92;Караидель - Бирск;653;368;368;0
120;Караидель - Нефтекамск;968;780;791;11
208;Кумертау-Ермолаево;102;27684;27684;0
123;Кумертау-Кинзебаево;105;3542;3718;176
148;Кумертау-Мелеуз;101;29533;30493;960
9;Кумертау-Михайловка;110;2821;2834;13
15;Кумертау-Мраково;118;1121;1124;3
209;Кутлугуза-Стерлитамак;116;852;852;0
67;Мелеуз - Уфа;581;1713;1730;17
32;Мелеуз-Мраково;225;3749;5399;1650
34;Мелеуз-Федоровка;229;12510;14289;1779
212;Мелеуз-Юмагузино;241;4614;4766;152
217;Нефтекамск - Амзя - 9 км;116-2;52323;52867;544
93;Нефтекамск - Бирск;671;14633;15560;927
96;Нефтекамск - В. Татышлы - Ст. Балтачево;675;204;220;16
219;Нефтекамск - Карманово;112 э;9286;9307;21
125;Нефтекамск - Ст. Янзигит ч/з Ст. Мушта;106;4208;4208;0
74;Нефтекамск АВ - Уфа (Южный автовокзал);588;57466;58397;931
221;Нефтекамск-Амзя;116;30369;30369;0
222;Нефтекамск-Зубовка с/о;111;7978;8903;925
224;Нефтекамск-Калтасы;113;39383;40050;667
225;Нефтекамск-Кармановская ГРЭС;112;55656;55805;149
226;Нефтекамск-Карякино;132;1966;3871;1905
12;Нефтекамск-Красный Холм;115;14524;14982;458
150;Нефтекамск-Куяново;102;4295;5757;1462
227;Нефтекамск-Саузбашево;110;953;953;0
229;Нефтекамск-Ст.Уразаево с/о;108;2317;2333;16
231;Нефтекамск-Янаул;114;76422;118119;41697
86;Октябрьский - Белебей;619;6715;6761;46
87;Октябрьский - Ермекеево;621;4743;4743;0
88;Октябрьский - Нефтекамск;626;4273;4465;192
112;Октябрьский - Стерлитамак через Туймазы;822;13650;14694;1044
236;Октябрьский - Туймазы ч/з Нарышево;106;211304;279190;67886
136;Октябрьский - Уфа экспресс;600;12816;12817;1
127;Октябрьский- Серафимовский;12;4662;5192;530
158;Октябрьский-Туймазы;106;14686;22479;7793
238;Октябрьский-Шахово;113;1405;1954;549
242;Петровск (Петровское)-Стерлитамак;116;1880;1904;24
243;Петровск-Макарово-Стерлитамак;103;3294;4971;1677
100;Приютово - Октябрьский;717;12923;13099;176
142;Приютово - Стерлитамак;623;3375;3654;279
244;Русский Юрмаш - Уфа (Южный автовокзал);130;3321;8927;5606
103;Саит-Баба-Уфа;741;4229;4233;4
139;Салават АВ- Стерлитамак АВ;101;222637;224921;2284
141;Салават-Ишимбай;101 и;68102;68542;440
140;Салават-Мелеуз;102;126985;130376;3391
126;Салават-Сухаревка;106;4308;4308;0
132;сан. Красноусольск - Уфа;552С;13555;14466;911
250;сан. Красноусольск-Стерлитамак ч/з рынок;282 к;34753;34813;60
122;Семилетка-В.Яркеево;105;1348;3194;1846
71;Сибай - Акъяр ч/з Подольск;750;4505;4505;0
102;Сибай - Кумертау;738;1008;1070;62
116;Сибай - Стерлитамак;918;7259;7564;305
10;Сибай-Баймак;113;64657;64658;1
133;Сибай-Исяново;522;52;52;0
256;Сибай-Кусеево;114;9142;9142;0
262;Стерлитамак - Золотоношка;281;11091;11091;0
263;Стерлитамак - Кармаскалы;122;4981;5046;65
265;Стерлитамак - Максимовка - Алга;298;13271;15386;2115
7;Стерлитамак - Мебельный;106;3130;8536;5406
267;Стерлитамак - Наумкино;290;4969;4969;0
268;Стерлитамак - с/х Рощинский;111;20969;25109;4140
283;Стерлитамак - Сады Аэропорт 2;110-2;5824;7709;1885
284;Стерлитамак - Семенкино;115;2850;2860;10
287;Стерлитамак - Шеверли;117;9399;14033;4634
288;Стерлитамак - Янгискаин;119;5335;10044;4709
289;Стерлитамак (кол. Рынок) - Наумовка;109;43957;46513;2556
290;Стерлитамак АВ - Талачево;113;10936;10936;0
292;Стерлитамак АВ - Янгискаин;119 Т;1403;1446;43
30;Стерлитамак АВ-д. Северная;210;573;573;0
26;Стерлитамак АВ-Зилим-Караново;190;855;855;0
28;Стерлитамак АВ-Кабакуш;201;1183;1183;0
31;Стерлитамак АВ-Коварды;220;526;526;0
38;Стерлитамак АВ-Красноармейский;250;94;228;134
13;Стерлитамак АВ-Месели-Манеево;116;2546;2631;85
29;Стерлитамак АВ-Мраково;205;3104;3346;242
35;Стерлитамак АВ-Саитбаба;240;868;868;0
43;Стерлитамак АВ-Салихово ч/з Канакаево;500;283;284;1
41;Стерлитамак АВ-сан. Красноусольский;282;11011;11011;0
20;Стерлитамак АВ-Стерлибашево АС;149;5810;5849;39
97;Стерлитамак АВ-Стерлибашево Ас - Уч. Асан;680;1102;1226;124
24;Стерлитамак АВ-Стерлибашево АС- Янгурча;170;4005;4006;1
37;Стерлитамак АВ-Тавричанка;244;7;15;8
33;Стерлитамак АВ-Юмагузино;225;492;494;2
19;Стерлитамак-Белое озеро-Антоновка;145;435;435;0
295;Стерлитамак-Красноусольск АС;282;3160;3160;0
299;Туймазы - НижнеЗаитово;108;17485;17485;0
77;Туймазы - Уфа;590;14304;14537;233
155;Туймазы - Уфа через Кандры;595;7458;7481;23
1;Туймазы - Якшаево;1;5706;5706;0
27;Туймазы- Октябрьский- Серафимовский;2;23991;44742;20751
73;Уфа - Агидель;586;13347;13630;283
66;Уфа - Акъяр;578;6490;6632;142
23;Уфа - Александровка;154;3319;3594;275
68;Уфа - Архангельское ч/з Булгаково;582;4748;4748;0
83;Уфа - Архангельское ч/з Кабаково;604;3758;3767;9
60;Уфа - Аскино ч/з Благовещенск;567;11711;12002;291
61;Уфа - Аскино ч/з Зап. развилку;567;4428;4629;201
305;Уфа - Балагушево;150;1534;1709;175
48;Уфа - Белебей;530;4731;4741;10
51;Уфа - Бирск ч/з Благовещенск;534;5781;5912;131
134;Уфа - Бураево ч/з Зап. развилку;594;2517;2561;44
53;Уфа - В. Татышлы;547;12630;12977;347
79;Уфа - Валентиновка;592;3845;3846;1
101;Уфа - Кандры;737;1964;1965;1
65;Уфа - Караидель ч/з Благовещенск;577;16427;16861;434
156;Уфа - Караидель ч/з Зап. развилку;577;9204;9211;7
78;Уфа - Кумертау;591;10577;10888;311
315;Уфа - Кумлекулево;113;12703;15248;2545
39;Уфа - Кушнаренково;258;68460;70647;2187
316;Уфа - Лесхоз;108;10544;86015;75471
58;Уфа - Мишкино ч/з Зап. развилку;557;6207;6262;55
82;Уфа - Мраково;601;3453;3453;0
75;Уфа - Нефтекамск б/з в Дюртюли;588;1104;1104;0
152;Уфа - Октябрьский через Серафимовку;600 С;1815;1834;19
81;Уфа - Октябрьский через Туймазы;600 Т;18396;18397;1
109;Уфа - Сибай;798;14173;14708;535
80;Уфа - Учалы;593;3728;3823;95
62;Уфа - Федоровка;571;6299;6309;10
69;Уфа - Янаул;584;6733;7188;455
70;Уфа - Янаул ч/з зап. Развилку;584;22258;22921;663
72;Уфа - Янаул ч/з Кр. Холм;584;890;907;17
18;Уфа (Северный автовокзал)- Тикеево;139;12012;12012;0
3;Уфа (ул. Дзержинского) - Аэропорт;101;224186;225379;1193
346;Уфа (Южный автовокзал) - Б.Славы - Авдон;122;16;17031;17015
17;Уфа (Южный автовокзал) - сан. Алкино;127;2534;5296;2762
351;Уфа (Южный автовокзал) - Ц.Рынок - Миловка;112;4899;19941;15042
352;Уфа (Южный автовокзал) - Шипово;124;584;25894;25310
354;Уфа (Южный автовокзал)-Енгалышево;142;8906;10557;1651
49;Уфа -Стерлитамак;531;4449;4450;1
360;Уфа Южный АВ - Мусино;120;39013;50425;11412
361;Уфа Южный АВ - Первушино;117 к;2633;2912;279
113;Учалы - Стерлитамак;828;5527;5716;189
153;Федоровка АС- Салават АВ;500;8385;10932;2547
44;Федоровка АС-Стерлитамак АВ ч\з Стерлибашево АС;503;10364;10550;186
364;Чекмагуш-Дюртюли;202;10944;14356;3412
21;Чишмы-Уфа;151;3405;15072;11667
111;Шаран - Уфа ч/з Чекмагуш;809;8916;9125;209
386;Шаран-Туймазы;119;78242;78264;22
107;Янаул - Бирск;770;1265;1279;14
135;Янаул - Октябрьский;744;10425;10653;228
372;Янаул - Чургулды;110 Я;4550;4550;0
143;Янаул-Калтасы;102;3370;4078;708
373;Янаул-Кармановская ГРЭС;118;5457;5457;0
374;Янаул-Кр. Холм;109;4989;5467;478
6;Уфа (К.Рынок)-В.Изяк;105;846;1896;1050
25;Стерлитамак АВ-Стерлибашево АС - Булаж;185;445;445;0
36;Мелеуз-В.Биккузино;242;935;1901;966
40;Стерлитамак АВ-пос. Красноусольский;282;21;21;0
45;Стерлитамак АВ-Наумкино - Толбазы АС;510;54;54;0
54;Уфа - Салават через Ишимбай;551И;1151;1153;2
95;Дюртюли - Нефтекамск;674;226;226;0
99;сан. Красноусольск - Салават;698;294;295;1
108;Зилаир - Сибай ч/з Юлдыбаево;792;571;582;11
110;Белорецк - Учалы;805;1697;1881;184
117;Архангельское - Стерлитамак ч/з З.Караново;919;1074;1126;52
121;Нефтекамск-Н. Буртюк;105;153;194;41
131;Красноусольск - Уфа;552;2;2;0
145;Калтасы - Уфа;564;371;377;6
146;Белебей - Стерлитамак через Киргиз Мияки;800К;1674;1799;125
177;Бирск-Каргино;123;1449;1449;0
195;Кармаскалы- Уфа (Южный автовокзал);253 к;7165;9647;2482
196;Кармаскалы-Уфа (Южный автовокзал);253 соц;1643;1873;230
223;Нефтекамск-Калегино;121;153;946;793
228;Нефтекамск-Ст. Буртюк;105а;11383;14688;3305
234;Нордовка-Салават;123 ф;2964;3447;483
285;Стерлитамак - Стерлибашево ч/з Кабакуш;NULL;140;144;4
286;Стерлитамак - Утяково;154;312;342;30
303;Уфа АЦ ВАЗ-Аэропорт;110;21144;293399;272255
323;"Уфа - Сады ""Бачурино""";113 к;182;293;111
324;"Уфа - Сады ""Каряка""";156;1743;2048;305
327;Уфа - Сады УАИ;120 к;125;128;3
331;Уфа - Суровка;107;1237;2766;1529
333;Уфа - Фомичево;157;666;848;182
335;Уфа (К.Рынок)-Иглино;165;188;5168;4980
337;Уфа (К.Рынок)-Ст.Черкассы;111;32;15506;15474
342;Уфа (Северный автовокзал)-Федоровка;132;472;815;343
344;Уфа (фирма МИР) - Кармасан;111;24;1394;1370
348;Уфа (Южный автовокзал) - Нижегородка;164;462;15727;15265
349;Уфа (Южный автовокзал) - Таптыково;164 Т;334;4924;4590
350;Уфа (Южный автовокзал) - Федоровка;125;577;1563;986
356;Уфа (Южный автовокзал)-Тимкино;121 соц;544;1896;1352
357;Уфа ТК Центральный - Алексеевка (Теплиный комплекс);115;26159;29726;3567
359;Уфа южный АВ - Бузовьязы;129;344;803;459
362;"Уфа южный АВ - Сады ""Юматово""";114;655;1038;383
371;Янаул - Бураево;570к;1170;1263;93
